"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","relatedCatalogItem","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","fieldNumber","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1184780","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","xylopiifolia","Annona xylopiifolia","A.St.-Hil. & Tul.","A. M. Amorim","7797","2009","04","09","South America","Brazil","Espírito Santo","Castelo","Parque Estadual do Forno Grande.","-41.075","-20.5194","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478562' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184780","NY01184780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","395940","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","xylopiifolia","Rollinia xylopiifolia","(A.St.-Hil. & Tul.) R.E.Fr.","S. de V. A. Pessôa","132","1986","11","25","South America","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Margem do Rio das Flores","-42.05","-22",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395940","NY00395940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","395941","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","xylopiifolia","Rollinia xylopiifolia","(A.St.-Hil. & Tul.) R.E.Fr.","G. Gardner","307","1837","04",NA,"South America","Brazil","Rio de Janeiro",NA,"Organ Mts.","-43.073169","-22.496706",NA,"sheet","Taken from original at BM <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395941","NY00395941_01 NY00395941_02","P. J. M. Maas; L. Y. T. Westra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:28:48-03","UFRJ","RFA","39610","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Annona","xylopiifolia","Annona xylopiifolia","A.St.-Hil. & Tul.","Finotti R.; Caruzo J.","67",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Propriedade do Sr. Odinho, próximo a Reserva do Guapiaçu (REGUA)","-42.730278","-22.515","50",NA,"Arvoreta de 7 metros de altura e PAP de 47,7 cm.","RFA24612",NA,"Adriana Lobão","42º43'49''W","22º30'54''S","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:43:02-03","NBC","NL-BOTANY","L.1094227","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","xylopiifolia","Rollinia xylopiifolia","(A.St.-Hil. & Tul.) R.E.Fr.","Pereira E; Duarte AP",NA,"1959","02","23","Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1094227 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1094227","NL-L1094227",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:43:02-03","NBC","NL-BOTANY","L.1094228","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","xylopiifolia","Rollinia xylopiifolia","(A.St.-Hil. & Tul.) R.E.Fr.","Pereira E; Duarte AP",NA,"1959","02","23","Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1094228 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1094228","NL-L1094228",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:43:02-03","NBC","NL-BOTANY","L.1094229","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","xylopiifolia","Rollinia xylopiifolia","(A.St.-Hil. & Tul.) R.E.Fr.","Brade AC",NA,"1949","05","05","Southern America","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1094229 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1094229","NL-L1094229",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:43:02-03","NBC","NL-BOTANY","L.1094230","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","xylopiifolia","Rollinia xylopiifolia","(A.St.-Hil. & Tul.) R.E.Fr.","Brade AC",NA,"1949","05","05","Southern America","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1094230 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1094230","NL-L1094230",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:43:02-03","NBC","NL-BOTANY","U.1081571","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","xylopiifolia","Rollinia xylopiifolia","(A.St.-Hil. & Tul.) R.E.Fr.","Brade AC",NA,"1949","05","05","Southern America","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1081571","NL-U1081571",NA,NA,NA,NA,"Magnoliopsidae","U 0143906",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:43:02-03","NBC","NL-BOTANY","U.1081572","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","xylopiifolia","Rollinia xylopiifolia","(A.St.-Hil. & Tul.) R.E.Fr.","Pereira E; Duarte AP",NA,"1959","02","23","Southern America","Brazil",NA,NA,"Brazil",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1081572","NL-U1081572",NA,NA,NA,NA,"Magnoliopsidae","U 0011676",NA,NA,NA,NA,NA,NA,NA,NA
