"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","685102","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","W. Ganev","1377","1992","10","26","South America","Brazil","Bahia","Abaíra","Belo Horizonte, acima do Jambreiro, próximo a Serra do Sumbar?","-41.87","-13.3","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685102","NY00685102_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504470","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","R. Riina","S. A. Mori","12960","1979","11","02","South America","Brazil","Bahia","Lençóis","BR 242, entre km 224 & 228, a cerca 20 km ao NW de Lençois","-41.3897","-12.5633","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504470","NY00504470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","639021","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","R. M. Harley","H51205","1992","01","08","South America","Brazil","Bahia","Abaíra","Tijuquinho","-41.9","-13.27","1650","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639021","NY00639021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","639025","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","W. Ganev","3382","1994","06","17","South America","Brazil","Bahia","Abaíra","Jambeiro","-41.85","-13.3","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639025","NY00639025_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","685103","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","W. Ganev","1366","1992","10","27","South America","Brazil","Bahia","Abaíra","Belo Horizonte, acima do Jambreiro, próximo a Serra do Sumbaré","-41.87","-13.3","1350","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685103","NY00685103_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886252","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","R. Riina","J. G. Jardim","2509","2000","01","26","South America","Brazil","Bahia","Lençóis","Chapada Diamantina. Chapadinha. 7 km N de Lençois. Área típica de restinga.","-41.4414","-12.4667",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886252","NY00886252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504468","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","R. Riina","S. A. Mori","14272","1981","06","10","South America","Brazil","Bahia","Lençóis","Along BR242, ca. 15 km NW of Lençois at km 225","-41.3897","-12.5633","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504468","NY00504468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","639023","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","R. M. Harley","H51519","1992","02","10","South America","Brazil","Bahia","Piata","Serra de Santana","-41.77","-13.15","1360","1360","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639023","NY00639023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","685100","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","W. Ganev","1661","1992","12","16","South America","Brazil","Bahia","Abaíra","Distrito de Catolés, Funil - próximo ao Rio da Água Suja.","-41.75","-13.37","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685100","NY00685100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","504471","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","G. L. Webster","S. A. Mori","13341","1980","03","01","South America","Brazil","Bahia","Lençóis","BR 242, km 225, a 20 km ao NW de Lençois","-41.3897","-12.5633","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504471","NY00504471_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","639022","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","W. Ganev","3010","1994","03","31","South America","Brazil","Bahia","Abaíra","Jambeiro","-41.87","-13.28","1100","1180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639022","NY00639022_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00836746","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","P. E. Berry","A. M. V. de Carvalho","6429","1997","12","29","South America","Brazil","Bahia","Rio de Contas","Ca. 1 km antes do Distrito de Mato Grasso","-41.8114","-13.5792",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836746","NY00836746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00907676","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","A. M. Amorim","4022","2004","04","22","South America","Brazil","Bahia","Rio de Contas","Trilha de acesso ao Pico das Almas, em Campo rupestre do Queiróz","-41.9506","-13.5169",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907676","NY00907676_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","685101","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","luetzelburgii","Croton luetzelburgii","Pax & K.Hoffm.","I. Cordeiro","W. Ganev","622","1992","07","06","South America","Brazil","Bahia","Abaíra","Caminho Tanque do Boi - Anáguas.","-41.9","-13.27","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685101","NY00685101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
