"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843398","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","(Sch.Bip.) Sch.Bip.","J. Semir","G. L. Smith","792","1979","12","13","South America","Brazil","Minas Gerais","About 50 km SE of Belo Horizonte.","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2050418' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843398","NY01843398_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-28 13:11:03-03","MCN-PUC-MINAS","HPUC-MG","ANG4005","S","Plantae",NA,NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala",NA,"M.Valentina W.","M.Valentina W.","184",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"1.4",NA,"Flor roxa. Altura 1,5 m. UTM:7750115 x; 603191 y.",NA,NA,"Nova Lima","-43.966944","-20.208611","43º58'01''W","20°12'31''S","1.4",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-05-19 10:29:38-03","UFBA","ALCB","115463","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","(Sch. Bip.) Sch. Bip.","Roque, N","Roque, N; Guedes, ML; Gandara, A; Campos, L","4288a","2014","08","05","Southern America","Brasil","Bahia","Serra geral, Pedra Preta.",NA,NA,"ca. de 1,5 m de altura, folhas discolores, brácteas castanhas, papus estraíneo.",NA,NA,"Licínio de Almeida","-42.546667","-14.752778","-42.546667","-14.752778",NA,"2014","12",NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:01:40-03","ESALQ","ESA","28427","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Eremanthus","syncephalus","Eremanthus syncephalus",NA,"Loeuille, B.","Souza, V.C. et al.","5553.0","1994","03","17",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"ESA028427",NA,"Retiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:01:40-03","ESALQ","ESA","100839","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Eremanthus","syncephalus","Eremanthus syncephalus",NA,"Loeuille, B.","Paula-Souza, J.","2988.0","2006","01","19",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"ESA100839","ESA100839","Catas Altas","-43.4075012207031","-20.0746994018555",NA,NA,NA,"2012",NA,"11966","auto",NA,NA,NA,NA
"6","2020-11-04 11:01:40-03","ESALQ","ESA","76774","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Eremanthus","syncephalus","Eremanthus syncephalus",NA,"Loeuille, B.","Roth, L.","1659.0","1956","12","13",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"ESA076774","ESA076774","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,NA,"2013",NA,"17082","auto",NA,NA,NA,NA
"7","2020-06-12 12:03:03-03","UFPI","TEPB","17344","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","(Sd. Bip) Sd. Bip",NA,"R. Romero","627","1994","02","20",NA,"Brasil","Minas Gerais","Colina próximo a sede administrativa, PARNA Serra da Canastra",NA,NA,"Subarbusto, ca 1,5m, Brácteas lanosas. Corola, estilete e anteras lilás. Filetes brancos. Ambiente: Campo rupestre",NA,NA,"São Roque de Minas","-46.3657989501953","-20.2453002929688",NA,NA,NA,NA,NA,"57119","auto",NA,NA,NA,NA
"8","2020-12-20 21:15:56-03","UFV","VIC","45237","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala",NA,NA,"Pereira, A.F.S.; Tinti, B.V.","64","2014","12","10",NA,"Brasil","Minas Gerais","Serra de Ouro Branco",NA,NA,"Arbustiva de flores amarelo claro","VIC045237","VIC045237","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA
"9","2020-02-18 09:33:04-03","UNICAMP","UEC","105155","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Feres, FR; Faria, AD; Aona, LYS; Mansanares, ME; Mendonça, TG; Belinello, R","98/42","1998","12","16",NA,"Brazil","Minas Gerais","Fazenda Palácio, km 114.",NA,NA,NA,"UEC125742","UEC125742","Cardeal Mota",NA,NA,NA,NA,NA,"2005",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:38-03","UNICAMP","UEC","117575","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Mansanares, ME; Vitta, FA; Belinello, R","00/44","2000","12","01",NA,"Brazil","Minas Gerais","Serra do Cipó, estrada para Conceição do Mato Dentro, depois da Fazenda Cipó.","1190",NA,"Beira da estrada.","UEC125748","UEC125748","Cardeal Mota","-43.598611","-19.293333","-43.598611","-19.293333","1190",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:24:38-03","UNICAMP","UEC","124539","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Mansanares, ME; Meireles, LD; Verola, CF; Azevedo, MT","232","2002","02","03",NA,"Brazil","Minas Gerais","Estrada para Conselheiro Mata, depois do km 185.",NA,NA,"Arbustos até 2,0m, flores lilases a brancas.","UEC125746","UEC125746","Diamantina","-43.735278","-18.290389","-43.735278","-18.290389",NA,"2005",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:24:38-03","UNICAMP","UEC","126484","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Mansanares, ME; Verola, CF; Azevedo, MT; Meireles, LD","292","2002","07","28",NA,"Brazil","Minas Gerais","Estrada para o Rio Ventania, 5,3 km da cidade.",NA,NA,"Arbustos até 2,0m, folhas pratedas. Frutos.; Beira de estrada.","UEC125741","UEC125741","Grão Mogol","-42.75025","-16.486806","-42.75025","-16.486806",NA,"2005",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:24:38-03","UNICAMP","UEC","137825","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Mansanares, ME; Verola, CF","373","2003","08","18",NA,"Brazil","Minas Gerais","Estrada para Conselheiro Mata, depois do km 185.","1400",NA,"Arbustos até 2,10m, folhas levemente prateadas. Flores brancas a lilases.; Beira de estrada.","UEC125745","UEC125745","Diamantina","-43.735083","-18.290389","-43.735083","-18.290389","1400","2005",NA,NA,NA,NA,NA,NA,NA
"14","2019-08-20 10:06:01-03","UNICAMP","UEC","169523","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J; Volet, DP","Verola, CF; Costa, IR","532007","2007","05","17",NA,"Brazil","Minas Gerais","Estrada Diamantina- Cons Mata.",NA,NA,NA,"UEC063011","UEC063011","Diamantina","-43.721778","-18.270472","-43.721778","-18.270472",NA,"2017","03",NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:24:38-03","UNICAMP","UEC","124546","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Mansanares, ME; Meireles, LD; Verola, CF; Azevedo, MT","202","2002","02","27",NA,"Brazil","Minas Gerais","APA do Morro da Pedreira, Serra do Cipó, estrada para Conceição do Mato Dentro, 300m depois da fazenda Cipó, lado D da estrada.",NA,NA,"Arbusto até 1m, apenas 1 indíviduo.","UEC125744","UEC125744","Cardeal Mota","-43.585361","-19.285083","-43.585361","-19.285083",NA,"2005",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:24:38-03","UNICAMP","UEC","126490","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Mansanares, ME; Verola, CF; Azevedo, MT; Meireles, LD","270","2002","07","25",NA,"Brazil","Minas Gerais","Estrada para a Usina Santa Marta, 8,9 km do asfalto.","1041",NA,"Arbusto candelabriforme, folhas com nervuras reticuladas, planas. Flores lilases esbranquiçadas.","UEC125743","UEC125743","Francisco Sá","-43.375028","-16.522861","-43.375028","-16.522861","1041","2005",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:24:38-03","UNICAMP","UEC","3154","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Gibbs, PE; Abbott, JR; Andrade, JB","5288","1977","05","18",NA,"Brazil","Minas Gerais","Ca. 15 km E de Lavras.",NA,NA,"Capítulos lilás.; Campo rupestre.","UEC125751","UEC125751",NA,NA,NA,NA,NA,NA,"2005",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:24:38-03","UNICAMP","UEC","70489","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Hatschbach, G; Ribas, OS","121635","1988","05","16",NA,"Brazil","Minas Gerais","Arredores.",NA,NA,"Arbusto ramoso no ápice, capítulos lilás.; Campo rupestre, solo arenoso.","UEC125747","UEC125747","Grão Mogol","-42.75025","-16.486806","-42.75025","-16.486806",NA,"2005",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:24:38-03","UNICAMP","UEC","96759","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","syncephala","Lychnophora syncephala","Sch.Bip.","Semir, J","Vaccarelli, VN; Borba, EL; Farinaci, JF","2","1998","02","06",NA,"Brazil","Minas Gerais","Serra do Rola Moça.",NA,NA,"Arbustos até 2m. Folhas pratedas na face inferior. Arquênios em dispersão, flors magenta/púrpuras.; Campo rupestre de Canga.","UEC125752","UEC125752","Brumadinho","-44.032778","-20.060278","-44.032778","-20.060278",NA,"2005",NA,NA,NA,NA,NA,NA,NA
