"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01481918","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","O. Kosovsky","W. R. Anderson","9305","1973","04","21","South America","Brazil","Minas Gerais","Rio Pandeiros, ca. 52 km by road W of Janúaria near road to Serra das Araras","-44.83","-15.45","520","520","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1421517' target='other'> <mi>dwc_moreinfo</mi></a>","NY01481918","NY01481918_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","470602","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","A. Lourteig","H. S. Irwin","31838","1971","03","15","South America","Brazil","Goiás","Serra Geral do Paraná. Ca. 3 km S. of Sao Joao da Aliança, near riacho","-47.5244","-14.7058","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470602","NY00470602_01","São João d'Aliança",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","680019","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","A. Lourteig","H. S. Irwin","18884","1968","01","20","South America","Brazil","Goiás","70 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680019","NY00680019_01","Cocalzinho de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","470600","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","A. Lourteig","G. Martinelli","8037","1982","05","05","South America","Brazil","Espírito Santo","Vila Sao Benito de Urânia, Faz. Zechini","-40.7494","-20.6353","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470600","NY00470600_01","Alfredo Chaves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01481917","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","O. Kosovsky","W. R. Anderson","9227","1973","04","20","South America","Brazil","Minas Gerais","15 km by road W of Januária on road to Serra das Araras","-44.46555","-15.57915","575","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1421516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01481917","NY01481917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1582965","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","O. Kosovsky","W. R. Anderson","36956","1972","03","15","South America","Brazil","Bahia","Espigao Mestre, ca. 13 km S of Cocos and 3 km S of Rio Itaguarí","-44.5344009399414","-14.1838998794556","560","560","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1429516' target='other'> <mi>dwc_moreinfo</mi></a>","NY01582965","NY01582965_01","Cocos","199742","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","470601","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","A. Lourteig","H. S. Irwin","21010","1968","03","02","South America","Brazil","Minas Gerais","Ca. 25km N.E. of Brasília.","-47.87","-15.7","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470601","NY00470601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","470603","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","A. Lourteig","G. G. Hatschbach","31458","1973","02","10","South America","Brazil","Minas Gerais","Vale Verde","-41.9042","-20.5233",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244227' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470603","NY00470603_01","Caparaó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01481914","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","O. Kosovsky","W. R. Anderson","7780","1973","03","23","South America","Brazil","Goiás","3 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.73","1040","1040","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1421513' target='other'> <mi>dwc_moreinfo</mi></a>","NY01481914","NY01481914_01","São João d'Aliança",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00997621","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","A. Lourteig","H. S. Irwin","18884","1968","01","20","South America","Brazil","Goiás","70 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1181026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997621","NY00997621_01","Cocalzinho de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00997620","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","A.St.-Hil.","A. Lourteig","H. S. Irwin","13981","1966","03","15","South America","Brazil","Distrito Federal","Côrrego Landim, ca. 25 km N. of Brasília","-47.91666667","-15.5575","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1181023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997620","NY00997620_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
