"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","barcode","imagecode","class","individualCount","typeStatus","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2369","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm","Carlos A. Ferreira Jr.","2012","08","22","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandez, Fernando Araujo","CAF532","2012","07","12","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","-43.7144012451172","-19.1688995361328","19º 02' 24S","43º 42' 06W","26557","1414","1414","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:44:51-03","EAO","IAN","41031","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Bromeliaceae","Tillandsia","aeris-incola","Tillandsia aeris-incola","Mez",NA,NA,NA,NA,"Ule, EHG","4957",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America","IAN041031",NA,NA,NA,NA,NA,NA
"3","2021-04-07 17:00:40-03","MN","R","225318","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","Neves, B.F.S.","2015","10","23","Neves, B.F.S. 364; Costa, A.F. & Zanella, C.M.",NA,"2015","10","06","Brasil","São Paulo","São Luís do Paraitinga","Parque Estadual da Serra do Mar - Núcleo Santa Virgínia","-45.15025","-23.338556","45°09'00.9W","23°20'18.8S",NA,NA,NA,NA,NA,NA,"R010007148","R010007148",NA,NA,NA,NA,NA
"4","2021-01-14 15:26:05-03","MN","R","239933","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","Kessous, I.M.","2020","03","06","Kessous, I.M. 379; Silva, N.G., Pinto, A.R. & Souza, R.",NA,"2020","03","06","Brasil","Minas Gerais","Santana do Riacho","Estrada Jaboticatubas- Conceição do Mato Dentro. Estrada de terra na beira da estrada. 1350 m.s.m.","-43.519167","-19.158611","43°31'9W","19°9'31S",NA,"1350","1350",NA,NA,NA,"R010071887",NA,NA,NA,NA,NA,NA
"5","2021-03-24 16:39:42-03","MN","R","32442","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","Moura, R.","2001","11","12","Foster, M.B.","274","1939","06","26","Brasil","Espírito Santo","Santa Teresa",NA,"-40.6002998352051","-19.9356002807617",NA,NA,"23813",NA,NA,"Herbario M.B. Foster nº 274","auto",NA,"R010008694","R010008694",NA,NA,NA,NA,NA
"6","2021-04-07 17:00:40-03","MN","R","212498","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","Gonçalves, L.F.","2012","03","15","Gonçalves, L.F. 58; Soares, W.",NA,"2012","03","09","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos (PARNASO)","-42.9655990600586","-22.4122009277344",NA,NA,"38539",NA,NA,NA,"auto",NA,"R010008695","R010008695",NA,NA,NA,NA,NA
"7","2020-12-20 21:16:28-03","UFV","VIC","023656","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Smith",NA,NA,NA,NA,"de Paula, C.C.; Goldschmidt, A.","8","1999","06","30","Brasil","Minas Gerais","Ouro Preto","PEI, Serra do Itacolomi, em altitude em torno de 1500 m.","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,"Planta epífita de folhas verde amareladas de pintas escuras , sendo rara no local.","auto",NA,"VIC023656","VIC023656",NA,NA,NA,NA,NA
"8","2019-11-21 14:32:50-03","UFJF","CESJ","58529","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","L. Menini Neto","2010","09","11","F.E. Alves; L. Menini Neto; B.R. M. Bastos","8","2010","09","11","Brasil","Minas Gerais","Olaria","Serra do Cruz, Capão de mata. 21º53'31,82S, 44º04'53,78O. 1451m.s.m.","-44.081606","-21.892172","-44.081606","-21.892172",NA,"1451","1451","Epífita em capão de mata. Folhas esverdeadas com manchas negras. Inflorescência pêndula, passada.",NA,"América do Sul","CESJ058529",NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:32:50-03","UFJF","CESJ","48232","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A. Spencer & L.B. Sm.","M.G.L. Wanderley","2006","06","01","C.N. Matozinhos; L. Menini Neto; P.L. Viana; N.L. Abreu; T. Mota; T.U.P. Konno; V. Belchior","271","2006","01","21","Brasil","Minas Gerais","Rio Preto","Serra Negra, Ninho da Égua.","-43.8278007507324","-22.0891990661621",NA,NA,"20815","1400","1400","Epífita em Clusia sp., bainha arroxeada, escapo floral e botões florais verdes. 21º53'S 43º53'W.","auto","América do Sul","CESJ048232",NA,NA,NA,NA,NA,NA
"10","2019-11-05 16:46:29-03","UFOP","OUPR","25156","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Racinaea","aerisincola","Racinaea aerisincola","(Mez) M.A.Spencer & L.B.Sm.","Mota, R.C. da","2010","08",NA,"Ferreira, M.T.M.","18","2010","12","12","Brasil","Minas Gerais","Ouro Preto","Serra da Brígida, Parque Natural Municipal das Andorinhas","-43.503056","-20.359167","-43.503056","-20.359167",NA,"1490","1490","Em floresta estacional semidecidual altimontana, cercada por campo rupestre, acentuada declividade, árvores com altura máxima de 8m, episódio frequentes de neblina no período da manhã. Epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA
