"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","144494","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anogramma","biardii","Anogramma biardii","Fée","isotype","A. F. M. Glaziou","3334","South America","Brazil","Brasilia","sheet","This Holotype Fragment came from herb. Cosson. The Collection Number probably should read 3331. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144494","NY00144494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","144496","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anogramma","biardii","Anogramma biardii","Fée","isotype","A. F. M. Glaziou","3331","South America","Brazil","Brasilia","sheet","This Holotype Fragment came from B. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144496","NY00144496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","144495","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Anogramma","biardii","Anogramma biardii","Fée","isotype fragment","A. F. M. Glaziou","3331","South America","Brazil","Brasilia","sheet","This Holotype Fragment came from Fée. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=255259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00144495","NY00144495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","803260","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Eriosorus","biardii","Eriosorus biardii","(Fée) Moldenke",NA,"A. C. Brade","16515","South America","Brazil","Serra dos Orgaõs. Campos das Antas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=802040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00803260","NY00803260_01","H. N. Moldenke","1940","07","31","Rio de Janeiro","2100","2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:39:01-02","BGBM","B","B 20 0072661","S","Plantae",NA,NA,"Polypodiaceae","Eriosorus","biardii","Eriosorus biardii","A.F.Tryon","isotype","A. F. M. Glaziou","3331","Middle and South America","Brazil","Rio de Janeiro.",NA,"<a href=http://herbarium.bgbm.org/object/B200072661 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200072661","B200072661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-06 09:57:19-03","UFOP","OUPR","11412","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","biardii","Jamesonia biardii","(Fée) Christenh.",NA,"Damazio, L.B.","s.n.",NA,"Brasil","Gávea",NA,NA,NA,NA,"Salino, A.",NA,NA,NA,"Rio de Janeiro",NA,NA,"2013","04","17","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA
"7","2015-09-20 01:38:06-03","MNHN","RECOLNAT_MNHN_P","P00603511","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","biardii","Eriosorus biardii","(Fée) A.Tryon",NA,"Glaziou, A.",NA,NA,"Brésil","Serre des Orgues, Rio-Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603511' target='other'> <mi>dwc_moreinfo</mi></a>","P00603511","P00603511_01","Tryon","1869","5","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3331",NA,NA
"8","2015-09-20 01:38:22-03","MNHN","RECOLNAT_MNHN_P","P00603512","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","biardii","Eriosorus biardii","(Fée) A.Tryon",NA,"Glaziou, A.",NA,NA,"Brésil","Serre des Orgues, Rio-Janeiro","hb","Herbier H. Christ 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603512' target='other'> <mi>dwc_moreinfo</mi></a>","P00603512","P00603512_01","Tryon","1869","5","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3331",NA,NA
"9","2015-09-20 01:41:29-03","MNHN","RECOLNAT_MNHN_P","P00603513","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Eriosorus","biardii","Eriosorus biardii","(Fée) A.Tryon",NA,"Glaziou, A.",NA,NA,"Brésil","Serre des Orgues, Rio-Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00603513' target='other'> <mi>dwc_moreinfo</mi></a>","P00603513","P00603513_01","Tryon","1869","5","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3331",NA,NA
"10","2010-04-15 17:18:00-03","MO","MOBOT","3327785","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Eriosorus","biardii","Eriosorus biardii","(Fée) A.F. Tryon",NA,"Alexander C. Brade","Brade 16515","South America","Brazil","Serra dos Orgaós, Campo das Antas,",NA,NA,NA,NA,NA,"1940",NA,NA,"Rio de Janeiro","2100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2018-01-30 16:29:00-02","MO","MOBOT","100199682","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Jamesonia","biardii","Jamesonia biardii","(Fée) Christenh.",NA,"Alexander C. Brade","Brade 19246","South America","Brazil","Município de Castelo. Forno Grande.",NA,NA,NA,NA,"Eric Schuettpelz (US)","1948","8","12","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"12","2016-02-18 11:53:22-02","F","FMNH-PTERIDOPHYTES","C0659982F","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Eriosorus","biardii","Eriosorus biardii","(Fée) A. F. Tryon",NA,"A. C. Brade","16515","South America","Brazil",NA,NA,NA,"C0659982F","C0659982F_01",NA,"1940","7","31",NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Pteridopsida"
"13","2020-09-12 05:00:02-03","US","US","694619","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Anogramma","biardii","Anogramma biardii","Fée","Isotype","A. F. M. Glaziou","3331","South America - Neotropics","Brazil",NA,NA,NA,"US00142117","US00142117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Pteridophyte"
"14","2020-09-12 05:00:02-03","US","US","2083119","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Jamesonia","biardii","Jamesonia biardii","(Fée) Christenh.",NA,"A. C. Brade","16515","South America","Brazil","Campo dos Antas",NA,NA,"US01475708","US01475708_01",NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Pteridophyte"
"15","2020-09-12 05:00:02-03","US","US","1917517","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Jamesonia","biardii","Jamesonia biardii","(Fée) Christenh.",NA,"A. C. Brade","16515","South America - Neotropics","Brazil","Serra dos Orgãos, Campo das Antas",NA,NA,"US01475710","US01475710_01",NA,"1940","7","31","Rio de Janeiro","2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Pteridophyte"
"16","2020-09-12 05:00:02-03","US","US","2083118","PreservedSpecimen","Plantae",NA,"Polypodiales","Pteridaceae","Jamesonia","biardii","Jamesonia biardii","(Fée) Christenh.",NA,"A. C. Brade","16515","South America - Neotropics","Brazil","Serra dos Orgãos, Campo das Antas [interpreted]",NA,NA,"US01475709","US01475709_01",NA,"1940","7","31","Rio de Janeiro","2100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Pteridophyte"
