"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","minimumDepthInMeters","maximumDepthInMeters","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:47-03","E","E","82202","PreservedSpecimen","Plantae","Leguminosae","Mimosa","balduinii","Mimosa balduinii","Hatschbach, G. & Barbosa, E.","60609","1994","04","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91022","<a href=http://data.rbge.org.uk/herb/E00082202 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","418974","PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","A. Sehnem","10989","1970","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418974","Magnoliophyta","Fabales","Burkart","A. Sehnem","Rio Grande do Sul","Cambará do Sul","Fortaleza, Aparados","-50.1444","-29.0481","NY00418974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01345029","PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","R. A. Wasum","716","1985","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1598485' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345029","Magnoliophyta","Fabales","Burkart","R. C. Barneby","Rio Grande do Sul",NA,"Cambará do Sul","-50.143208","-29.047894","NY01345029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","418976","PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","R. A. Wasum","8562","1992","06","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418976","Magnoliophyta","Fabales","Burkart","R. C. Barneby","Rio Grande do Sul","Cambará do Sul","Fortaleza","-49.947606","-29.058184","NY00418976_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","418975","PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","G. G. Hatschbach","60609","1994","04","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418975","Magnoliophyta","Fabales","Burkart","G. G. Hatschbach","Rio Grande do Sul","Cambará do Sul","Fortaleza","-49.950129","-29.044729","NY00418975_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","418978","PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","R. A. Wasum","2194","1986","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418978","Magnoliophyta","Fabales","Burkart","R. C. Barneby","Rio Grande do Sul","Cambará do Sul","Fortaleza","-49.950129","-29.044729","NY00418978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","418977","PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","V. D. Pont","721","1985","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418977","Magnoliophyta","Fabales","Burkart","S. F. Smith","Rio Grande do Sul","Cambará do Sul","Fortaleza","-49.947905","-29.057588","NY00418977_01","1050","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:16:35-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","Dal Pont, V; et al.","s/n","1985","11",NA,"Southern America","Brasil",NA,NA,"em campo.",NA,"Dicotyledon",NA,"Burk.","Smith, SF","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869",NA,"1050","1050","30776","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:16:35-03","UFBA","ALCB","15595","PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","Dal Pont, V; et al.","738","1985","04","20","Southern America","Brasil",NA,NA,NA,"ALCB023645","Dicotyledon",NA,"Burk.","Smith, SF","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869","ALCB023645",NA,NA,"30776","auto","1985","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:16:35-03","UFBA","ALCB","032199","PreservedSpecimen","Plantae","Fabaceae","Mimosa","balduinii","Mimosa balduinii","Hatschbach, G; Barbosa, E","60609","1994","04","16","Southern America","Brasil",NA,NA,"2,0 m. Flores com corola verde pálida, filetes e anteras alvescentes. Da borda dos peraus.","ALCB023646","Dicotyledon",NA,"Burk.","Hatschbach, G","Rio Grande do Sul","Cambará do Sul","Fortaleza","-50.1446990966797","-29.0478000640869","ALCB023646","1500","1500","30776","auto","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
