"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02707656","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G.Sancho","K. A. Freitas","101","2014","03","08","South America","Brazil","Rio Grande do Sul","Porto Alegre","Lami, Cantagalo","-51.0122","-30.2061","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2991571' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707656","NY02707656_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:27:44-03","IAP","PACA-AGP","59268","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Moquinia","molissima","Moquinia molissima","Malme","Camargo, O. R.","25","1956","03","10",NA,"Brasil","RS","Santa Maria","Estação Exp. de Silvicultura","-53.8069000244141","-29.6842002868652",NA,"SEM MATERIAL Habitat: in campestribus dumetosis Fenofase: flor","PACA059268",NA,"Magnoliatae","Emrich-Rambo","1957","04","28","37819","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:27:44-03","IAP","PACA-AGP","41025","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","Rambo, B.","41025","1949","04","13",NA,"Brasil","RS","Porto Alegre","Morro Agudo","-51.2299995422363","-30.0331001281738",NA,"EM PERIGO (PROVAVELMENTE EXTINTO) Habitat: in campestribus dumetosis Fenofase: estéril","PACA041025",NA,"Magnoliatae","Claudio Mondin","1994","01","19","29946","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-01-17 11:24:34-02","PUCRS","MPUC","19091","S","Plantae",NA,"Asterales","Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","L. Bohnen",NA,"2008","04","11","South America","Brasil","RS","Porto Alegre","Canta Galo","-51.2372222222","-30.0191388889",NA,"No topo do morro, em campo",NA,NA,"Magnoliopsida","K.A. Freitas","2014","01","01",NA,NA,"3218","-51.2372222222","-30.0191388889","1",NA,NA,NA
"5","2019-01-17 11:24:34-02","PUCRS","MPUC","19093","S","Plantae",NA,"Asterales","Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","L. Bohnen",NA,"2008","03","20","South America","Brasil","RS","Porto Alegre","Canta Galo","-51.2372222222","-30.0191388889",NA,"No topo do morro, em campo",NA,NA,"Magnoliopsida","K.A. Freitas","2014","01","01",NA,NA,"3217","-51.2372222222","-30.0191388889","1",NA,NA,NA
"6","2019-01-17 11:24:34-02","PUCRS","MPUC","19090","S","Plantae",NA,"Asterales","Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","L. Bohnen",NA,"2008","04","11","South America","Brasil","RS","Porto Alegre","Canta Galo","-51.2372222222","-30.0191388889",NA,"No topo do morro, em campo",NA,NA,"Magnoliopsida","K.A. Freitas","2014","01","01",NA,NA,"3218","-51.2372222222","-30.0191388889","1",NA,NA,NA
"7","2019-01-17 11:24:34-02","PUCRS","MPUC","19089","S","Plantae",NA,"Asterales","Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","L. Bohnen",NA,"2008","04","11","South America","Brasil","RS","Porto Alegre","Canta Galo","-51.2372222222","-30.0191388889",NA,"No topo do morro, em campo",NA,NA,"Magnoliopsida","K.A. Freitas","2014","01","01",NA,NA,"3218","-51.2372222222","-30.0191388889","1",NA,NA,NA
"8","2019-01-17 11:24:34-02","PUCRS","MPUC","19092","S","Plantae",NA,"Asterales","Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","L. Bohnen",NA,"2008","03","20","South America","Brasil","RS","Porto Alegre","Canta Galo","-51.2372222222","-30.0191388889",NA,"No topo do morro, em campo",NA,NA,"Magnoliopsida","K.A. Freitas","2014","01","01",NA,NA,"3218","-51.2372222222","-30.0191388889","1",NA,NA,NA
"9","2020-09-15 11:53:14-03","UFSM","SMDB","16040","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","Schaefer, J","s.n.","2015","03","25",NA,"Brasil","Rio Grande do Sul","Santa Maria","distrito de Santo Antão, Morro Pedra do Lagarto","-53.874722","-29.629444",NA,"Coordenadas: S 29° 37' 46,43, W 53° 52' 28,59. Alt. 226. Material testemunho de Trabalho de Conclusão de Curso - Ciências Biológicas. Aluna: Juliana Schaefer. Orientadora: Liliana Essi.","SMDB016040",NA,NA,"Schaefer, J","2015",NA,NA,NA,NA,NA,"-53.874722","-29.629444",NA,NA,NA,NA
"10","2020-09-15 11:53:14-03","UFSM","SMDB","16041","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","Schaefer, J","446","2015","03","25",NA,"Brasil","Rio Grande do Sul","Santa Maria","distrito de Santo Antão, Morro Pedra do Lagarto","-53.8069000244141","-29.6842002868652",NA,"Material testemunho de Trabalho de Conclusão de Curso - Ciências Biológicas. Aluna: Juliana Schaefer. Orientadora: Liliana Essi","SMDB016041",NA,NA,"Schaefer, J","2015",NA,NA,"37819","auto",NA,NA,NA,NA,NA,NA,NA
"11","2020-08-10 11:15:23-03","UFSM","SMDB","16041","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","mollissimum","Moquiniastrum mollissimum","(Malme) G. Sancho","Schaefer, J","446","2015","03","25",NA,"Brasil","Rio Grande do Sul","Santa Maria","distrito de Santo Antão, Morro Pedra do Lagarto","-53.8069000244141","-29.6842002868652",NA,"Material testemunho de Trabalho de Conclusão de Curso - Ciências Biológicas. Aluna: Juliana Schaefer. Orientadora: Liliana Essi","SMDB016041",NA,NA,"Schaefer, J",NA,NA,NA,"37819","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-20 18:12:47-03","UFSM","SMDB","15808","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","molissimum","Moquiniastrum molissimum","(Malme) G. Sancho","Schaefer, J","458","2015","03","25",NA,"Brasil","Rio Grande do Sul","Santa Maria","distrito de Santo Antão, Morro Pedra do Lagarto","-53.8069000244141","-29.6842002868652",NA,"Material testemunho de Trabalho de Conclusão de Curso - Ciências Biológicas. Aluna: Juliana Schaefer. Orientadora: Liliana Essi","SMDB015808",NA,NA,"Schaefer, J",NA,NA,NA,"37819","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-20 18:12:47-03","UFSM","SMDB","15796","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","molissimum","Moquiniastrum molissimum","(Malme) G. Sancho","Schaefer, J","332","2015","02","03",NA,"Brasil","Rio Grande do Sul","Santa Maria","distrito de Santo Antão, Morro Pedra do Lagarto","-53.8069000244141","-29.6842002868652",NA,"Espécie ameaçada de extinção, e endêmica do Rio Grande do Sul. Material testemunho de Trabalho de Conclusão de Curso - Ciências Biológicas. Aluna: Juliana Schaefer. Orientadora: Liliana Essi","SMDB015796",NA,NA,"Schaefer, J",NA,NA,NA,"37819","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-20 18:12:47-03","UFSM","SMDB","15809","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","molissimum","Moquiniastrum molissimum","(Malme) G. Sancho","Schaefer, J","446","2015","03","25",NA,"Brasil","Rio Grande do Sul","Santa Maria","distrito de Santo Antão, Morro Pedra do Lagarto","-53.8069000244141","-29.6842002868652",NA,"Material testemunho de Trabalho de Conclusão de Curso - Ciências Biológicas. Aluna: Juliana Schaefer. Orientadora: Liliana Essi","SMDB015809",NA,NA,"Schaefer, J",NA,NA,NA,"37819","auto",NA,NA,NA,NA,NA,NA,NA
