"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","fieldNumber","individualCount","typeStatus"
"11","2019-02-22 16:42:06-03","UNEMAT","HERBAM","4004","S","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","Soares, C.R.A.; Piva, J.H.; Rocha Filho, J.A.; Rodrigues, L.; Melo, J.A.M. & Cabral, F.F.","961","2008","06","16",NA,"Brasil","Mato Grosso",NA,NA,"HERBAM004004",NA,"Soares, CRA; Lobato, LC; Silva, CA","2008","UHE São Manoel, Morro.","-57.010278","-9.225556","-57.010278","-9.225556","Paranaíta",NA,NA,NA,NA,NA,NA,"07",NA,NA,NA
"12","2013-04-01 09:19:21-03","IPT","BCTW","16447","S","Plantae","Magnoliophyta",NA,NA,"Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.",NA,NA,NA,NA,NA,NA,"Brasil","Pará",NA,NA,NA,NA,NA,NA,"Jari",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"13","2016-11-09 10:54:21-02","MNHN","RECOLNAT_MNHN_P","P01199235","PreservedSpecimen",NA,NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","Maguire, B.|Pires, J.M.|Maguire, C.K.",NA,"1960","7","21",NA,"Guyane Française",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01199235' target='other'> <mi>dwc_moreinfo</mi></a>","P01199235","P01199235_01","Pennington",NA,"French Guiana, opposite Clevelandia","-51.88333","-3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47097",NA,NA
"14","2010-07-26 11:38:00-03","MO","MOBOT","1164728","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Randall J. Evans","Evans 2709","1997","6","8","South America","Suriname","Sipaliwini",NA,NA,NA,NA,"A. Alvés-Araújo",NA,"Vicinity of Blanche Marie Waterfall on the Nickerie River.","-56.8777778","4.7583333",NA,NA,NA,"50.00000000",NA,NA,NA,NA,NA,NA,"383","12",NA
"15","2010-07-26 11:38:00-03","MO","MOBOT","3186389","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Carlos S. Rosário","Rosário 2104","2003","6","21","South America","Suriname","Sipaliwini",NA,NA,NA,NA,"A. Alvés-Araújo",NA,"Vicinity of camp on W bank of Zuid River, across river from (i.e., W and outside of) Central Suriname Nature Reserve, ca. 15 km straight-line distance NW of Kayserberg Airstrip.","-56.5925","3.1802778",NA,NA,NA,"215.00000000",NA,NA,NA,NA,NA,NA,"21","6",NA
"16","2009-12-18 09:45:00-02","MO","MOBOT","3377211","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","D. Sabatier|M. F. Prévost","Sabatier 2181","1988",NA,NA,"South America","French Guiana","Cayenne",NA,NA,NA,NA,NA,NA,"Fleuve Sinnamry Petit Saut-Bassin du Sinnamary.","-53.05","5.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3377491","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Scott A. Mori","Mori 22780","1992","11","4","South America","French Guiana",NA,NA,NA,NA,NA,"S. Mori",NA,"Saul, Vicinity fo Eaux Claires, Sentier Botanique, between Huberodendron trees and plateau. Non-floode dmoist forest.","-53.2","3.61666",NA,NA,NA,"250.00000000","400.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","3377606","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Scott A. Mori","Mori 8502","1976","10","15","South America","Suriname",NA,NA,NA,NA,NA,"T.D. Pennington",NA,"Lely Mountains. 175 kms. SSE of Paramaribo. Plateau no 1.",NA,NA,NA,NA,NA,"500.00000000","700.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"19","2009-12-29 17:52:00-02","MO","MOBOT","3393311","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","P. Grenand","Grenand 3052","1998","11","4","South America","French Guiana","Cayenne",NA,NA,NA,NA,"D. Sabatier",NA,"Forêt primaire. St. Georges-Régina, entre pk 25,4 et 29,2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2009-12-29 17:52:00-02","MO","MOBOT","3394536","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","P. Grenand","Grenand 3130","1998","11","23","South America","French Guiana","Cayenne",NA,NA,NA,NA,NA,NA,"St. Georges Régina pk 35, foret primaire.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","3318852","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","Bassett Maguire","Maguire 47097","1960","7","21","South America","Brazil","Amapá",NA,NA,NA,NA,"T. Pennington",NA,"Rio Oiapoque. Virgin forest near Mecro, French Guiana, opposite Clevelandia.","-51.88333","3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","3420515","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","PIRES","PIRES 51454","1961","10","2","South America","Brazil","Amapá",NA,NA,NA,NA,NA,NA,"Vicinity Camp 12.","-52.13333","1.18333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-08-31 08:54:59-03","INPA","INPA","158607","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D.Penn.","Silva, NT da","5318","1983","10","13","Southern America","Brasil","Amapá",NA,NA,"INPA0158607",NA,NA,NA,"Rio Jarí, Morro do Felipe 02","-51.2893981933594","-0.115000002086163",NA,NA,"Mazagão",NA,NA,"195641","auto",NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","3313507","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","S. A. Mori, C. A. Gracie, J. Knudsen & B. Ståhl","22780","1992","11","4","South America - Neotropics","French Guiana","Saül",NA,NA,NA,NA,"Mori, S. A.",NA,"Saül, vicinity of Eaux Claires, Sentier Botanique","-53.2","3.61",NA,NA,NA,"250","400",NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"25","2020-09-12 05:00:02-03","US","US","3585532","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","R. Evans, R. Burnham & S. Koemar","2709","1997","6","8","South America - Neotropics","Suriname","Sipaliwini",NA,NA,"US01088464","US01088464_01","Alvés-Araújo, A.",NA,"Blanche Marie Waterfall, vic., on Nickerie R.","-56.87","4.75",NA,NA,NA,"50",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"26","2020-09-12 05:00:02-03","US","US","3585533","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","C. S. Rosário, D. Rosario, J. Pinho & O. Prika","2104","2003","6","21","South America - Neotropics","Suriname","Sipaliwini",NA,NA,"US01088461","US01088461_01","Alvés-Araújo, A.",NA,"Vicinity of camp of W bank of Zuid River, across river from (i.e. W and outside of) Central Suriname Nature Reserve, ca. 15 km straight-line distance NW of Kayerberg Airstrip.","-56.59","3.18",NA,NA,NA,"215",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"27","2020-09-12 05:00:02-03","US","US","3214412","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","S. A. Mori et al.","20979","1989","9","20","South America - Neotropics","French Guiana",NA,NA,NA,"US00606943",NA,"Pennington, T. D., (K)",NA,"Saül, La Fumée Mountain Trail, on La Fumeé NE ca. 200m from Antenne Nord","-53.2","3.61",NA,NA,NA,"400",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"28","2020-09-12 05:00:02-03","US","US","3337090","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","H. S. Irwin, J. M. Pires & L. Y. T. Westra","48893","1960","10","21","South America - Neotropics","Brazil","Amapá",NA,NA,"US02702420","US02702420_01",NA,NA,"Rio Oiapoque. About 5 km. northeast of Clevelandia.","-51.88","3.8",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"29","2020-09-12 05:00:02-03","US","US","3343706","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","J. M. Pires, W. A. Rodrigues & G. Irvine","51454","1961","10","2","South America - Neotropics","Brazil","Amapá",NA,NA,"US02702419","US02702419_01",NA,NA,"Rio Araguari. Vicinity Camp 12.","-52.13","1.18",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA
"30","2020-09-12 05:00:02-03","US","US","3213984","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana","Pires & T.D. Penn.","B. Maguire, J. M. Pires & C. K. Maguire","47097","1960","7","21","South America - Neotropics","Brazil","Amapá",NA,NA,"US00516534","US00516534_01",NA,NA,"Rio Oiapoque, Virgin forest near Mecro, French Guiana.","-51.8833","3.8",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1","Isotype"
"31","2018-05-14 17:33:33-03","F","FMNH-SEEDPLANTS","V0325390F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Pouteria","rodriguesiana","Pouteria rodriguesiana",NA,"J. Murça Pires","51454",NA,NA,NA,"South America","Brazil","Amapá",NA,NA,"V0325390F","V0325390F_01 V0325390F_02","RRC ID Flag",NA,NA,"-52","1",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"51454",NA,NA
