"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:25:10-03","UNESC","CRI","6201","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","R. Trevisan","2010","10","27","Robson dos Santos; Clair M. Martinello","260","1996","07","09","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","13","13","Restinga","CRI002200","CRI002200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","7706","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","R. Trevisan","2010","10","27","T. B. Guimarães; Daniel de Barcelos Falkenberg","434","2004","12","24","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de SC.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: baixada eventualmente alagada, entre dunas na restinga Habito: herbácea","CRI002068","CRI002068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:10-03","UNESC","CRI","12913","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","Renato Colares","2018","03","05","Renato Colares",NA,"2018","02","10","Brasil","Santa Catarina","Sombrio","Boa Esperança","-49.675556","-29.109167","49º40'32''W","29º6'33''S","18","18","Habitat: Terrícola Habito: Herbácea","CRI011521","CRI011521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:25-03","UNESC","CRI","4855","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","R. Trevisan","2010","10","27","Vanilde C. Zanette; Jucelia C. Caetano","2125","1996","03","02","Brasil","Santa Catarina","Florianópolis","Costão do Santinho.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: costão rochoso","CRI002201","CRI002201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:10-03","UNESC","CRI","13406","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","Renato Colares","2018","05","30","Renato Colares",NA,"2018","01","15","Brasil","Santa Catarina","Siderópolis",NA,"-49.404167","-28.614444","49º24'15''W","28º36'52''S","139","139","Habitat: Terrestre Habito: Herbácea","CRI012013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:25-03","UNESC","CRI","8644","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos","(Rottb.) P.Beauv.","R. Trevisan","2010","10","27","Polliana Zocche",NA,"2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI002199","CRI002199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:32-03","E","E","151947","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","flavescens","Cyperus flavescens",NA,NA,NA,NA,NA,"Bang, A. Miguel","2922",NA,NA,NA,"BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151947 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151947",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:159997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:38:38-03","E","E","151979","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Reineck, E.M. & Czermak, J.","437",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151979 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151979",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:38:38-03","E","E","151971","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Reineck, E.M.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151971 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151971",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:38-03","E","E","151975","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Morong, Thomas","566",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151975 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151975",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:38:38-03","E","E","153059","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Hassler, E.","42545","1905","03","27","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153059 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153059",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:38:38-03","E","E","151974","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Morong, Thomas","84",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151974 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151974",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:38:38-03","E","E","151978","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Spruce, R.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151978 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151978",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:38:38-03","E","E","151977","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Saltzmann",NA,"1905","01","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151977",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:38:38-03","E","E","151976","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Clarke, C.B.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151976 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151976",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:38:38-03","E","E","153065","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Scoular, Dr.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153065 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153065",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:38:38-03","E","E","151972","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Sellow, F.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151972 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151972",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:38:38-03","E","E","151980","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","polystachyos","Cyperus polystachyos",NA,NA,NA,NA,NA,"Gardner, George","1214",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151980 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151980",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-23 10:38:39-03","E","E","151983","PreservedSpecimen","Plantae","Cyperaceae","Pycreus","polystachyos","Pycreus polystachyos",NA,NA,NA,NA,NA,"Harley, R.M.","15819","1974","02","01","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151983 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151983",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
