"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","previousCatalogNumber","infraspecificEpithet"
"1","2021-04-05 14:33:37-03","UNESC","CRI","10548","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.","M. Verdi","M. Verdi","5","2011","09","01","Brasil","Santa Catarina","Balneário Arroio do Silva","-49.516667","-29.034722","49º31'0''W","29º2'5''S","4","4","CRI003724","CRI003724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:26-03","UNESC","CRI","11264","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.","M. Verdi","M. Verdi; L.C. Mancino & P. Nitschke","6213","2012","01","16","Brasil",NA,"Brasil","-49.524722","-29.039444","49º31'29''W","29º2'22''S","4","4","CRI003708","CRI003708","2013","02","19","Florestal AS.","Floresta Ombrófila Densa de Terras Baixas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:26-03","UNESC","CRI","5160","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.","V. C. Zanette","V. Citadini-Zanette; T. Ike & T. Komatsubara","2313","1996","11","07","Brasil","Santa Catarina","Capivari de Baixo","-48.958056","-28.445278","48º57'29''W","28º26'43''S",NA,NA,"CRI003721","CRI003721",NA,NA,NA,"Estiva dos pregos.","Habitat: solo encharcado e turfoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:26-03","UNESC","CRI","420","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.","Vanilde Citadini- Zanette","V. Citadini-Zanette; A. Ávila",NA,"1990","03","20","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9","CRI003723","CRI003723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:26-03","UNESC","CRI","5037","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart.","Marcos Sobral","Vanilde Citadini Zanette","2190","1996","11","07","Brasil","Santa Catarina","Capivari de Baixo","-48.958056","-28.445278","48º57'29''W","28º26'43''S",NA,NA,"CRI003722","CRI003722",NA,NA,NA,"Estiva do prego.","Habitat: solo arenoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00918562","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","J. B. E. Pohl","3414",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00918562",NA,NA,NA,NA,"Brasilia. Goye (?), Gonzalves (Gonçalves).","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989347' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","504900","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","G. G. Hatschbach","J. C. Lindeman","Ha.13977","1966","03","03","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"NY00504900",NA,NA,NA,NA,"Road from Jaguariaíva to Arapotí","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648545' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00918565","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","L. Riedel","698","1824","10",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"NY00918565","NY00918565_01",NA,NA,NA,"Santa Luzia","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989356' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 21:41:00-03","NY","NYBG","00918563","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa",NA,"L. E. Kopp","L. Riedel","1588","1833","11",NA,"Brazil","São Paulo","Moji das Cruzes","-46.1881","-23.5231",NA,NA,NA,NA,"NY00918563","NY00918563_01",NA,NA,NA,"In humidis prope Mugy [Mogi das Cruces]","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989348' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00918560","PreservedSpecimen","Plantae","Lauraceae","Persea","venosa","Persea venosa","Nees & Mart. ex Nees","L. E. Kopp","H. S. Irwin","29283","1971","01","27","Brazil","Minas Gerais",NA,"-43.4927778","-20.1263",NA,NA,"1500","1500","NY00918560","NY00918560_01",NA,NA,NA,"Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 12 km W. of Barão de Cocais","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989343' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Laurales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
