"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","year","month","day","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:26-03","E","E","62340","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma","isotype","Gardner, George","3304","E. Tropical South America","BR","[near Arrial de Chapada]. Piauhy, Goyaz","herbarium specimen of unspecif","BGBASE:102046","<a href=http://data.rbge.org.uk/herb/E00062340 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:26-03","E","E","202245","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma","isotype","Gardner, George","3304","E. Tropical South America","BR","[near Arrial de Chapada]","herbarium specimen of unspecif","BGBASE:210165","<a href=http://data.rbge.org.uk/herb/E00202245 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:26-03","E","E","62341","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma","isotype","Gardner, George","3873","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:102047","<a href=http://data.rbge.org.uk/herb/E00062341 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062341","Goias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:26-03","E","E","62342","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma","isotype","Gardner, George","3873","E. Tropical South America","BR",NA,"herbarium specimen of unspecif","BGBASE:102048","<a href=http://data.rbge.org.uk/herb/E00062342 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062342","Goias","1905","01","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:26-03","E","E","62344","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma","isotype","Gardner, George","3304","E. Tropical South America","BR","[near Arrial de Chapada]","herbarium specimen of unspecif","BGBASE:102050","<a href=http://data.rbge.org.uk/herb/E00062344 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00062344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","312504","PreservedSpecimen","Plantae","Gesneriaceae","Achimenes","multiflora","Achimenes multiflora","type","G. Gardner","s.n.","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=188277' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312504","Goiás",NA,NA,NA,"Magnoliophyta","Lamiales","Gardner","NY00312504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00749175","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma",NA,"G. G. Hatschbach","36109","South America","Brazil","Vicinity of Buriti. Chapada dos Guimarães","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=889404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749175","Mato Grosso","1975","02","13","Magnoliophyta","Lamiales","Gardner","NY00749175_01","A. Chautems","-55.77825","-15.432","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929895","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma",NA,"W. R. Anderson","9903","South America","Brazil","Ca. 5 km N of Barra do Garças, south face of mountain","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929895","Mato Grosso","1973","05","07","Magnoliophyta","Lamiales","Gardner","NY00929895_01","L. E. Skog","-52.25","-15.83812","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00749200","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma",NA,"W. R. Anderson","7399","South America","Brazil","Chapada dos Veadeiros, 4 km by road S of Terezina.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=889318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749200","Goiás","1973","03","18","Magnoliophyta","Lamiales","Gardner","NY00749200_01","L. E. Skog","-47.2647","-13.81255","1000","1000","Teresina de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","929898","PreservedSpecimen","Plantae","Gesneriaceae","Gloxinia","ichthyostoma","Gloxinia ichthyostoma",NA,"G. G. Hatschbach","34116","South America","Brazil","Serra da Petrolina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929898","Mato Grosso","1974","02","13","Magnoliophyta","Lamiales","Gardner","NY00929898_01","L. E. Skog","-54.6356","-16.4708",NA,NA,"Rondonópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
