"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00958160","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","grazielae","Bauhinia grazielae","Vaz","A. M. S. da F. Vaz","G. G. Hatschbach","59733","1993","11","08","South America","Brazil","Espírito Santo","Domingos Martins","Pedra Branca, rio Jucu Braço Norte","-40.6592","-20.3633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00958160","NY00958160_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0016049","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","grazielae","Bauhinia grazielae","Vaz","A. M. S. da Fonseca Vaz, 1997","G. Hatschbach; M. Hatschbach, J. M. Silva","59733","1993","11","8",NA,"Brazil","Espirito Santo",NA,"Pedra Branca, rio Jucu Braco Norte (mun. Domingos Martins).","-40.658705","-20.362786",NA,"Trepadeira, flor rosada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-22 16:05:55-03","UFES","VIES","47357","S","Plantae",NA,NA,"Fabaceae","Schnella","grazielae","Schnella grazielae","(Vaz) Wunderlin","M.P.Morim","Nepomuceno, A.; Nichio-Amaral, R.; Dutra, S.C.; Oliveira, R.M.; Scheidegger, A.F.A.","977","2019","10","17",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha da Sede Abandonada. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,"VIES047357","VIES047357","2020","10","29","41644","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:25:28-03","MBM","MBM","165352","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Bauhinia","grazielae","Bauhinia grazielae","Vaz","Fonseca Vaz, A.M.S. da","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","59733","1993","11","08","Southern America","Brazil","Espírito Santo","Domingos Martins","Pedra Branca, Rio Jucu, Braço Norte","-40.6591987609863","-20.3633003234863",NA,NA,"MBM165352","MBM165352",NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:35:38-03","UFMG","BHCB","52970","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Bauhinia","grazielae","Bauhinia grazielae","Vaz",NA,"Hatschbach, G; et al.","25785",NA,NA,NA,"Southern America","Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-11 17:19:05-03","UFPR","UPCB","41418","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Schnella","grazielae","Schnella grazielae","(Vaz) Wunderlin","Fonseca Vaz, A.M.S. da","Hatschbach, G.","59733","1993","11","08",NA,"Brasil","Espírito Santo","Domingos Martins","BLOQUEADO",NA,NA,NA,"Trepadeira, flor rosada. Floresce no alto das árvores da mata..",NA,NA,"1997","01","01",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA
"7","2009-12-05 05:17:00-02","MO","MOBOT","3228645","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Bauhinia","grazielae","Bauhinia grazielae","Vaz","A.M.S. da Fonseca Vaz","Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 59733","1993","11","8","South America","Brazil","Espírito Santo",NA,"Pedra Branca, rio Juci Braco Norte ( Mun. Domingos Martina).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-12-05 05:17:00-02","MO","MOBOT","3230326","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Bauhinia","grazielae","Bauhinia grazielae","Vaz","A.M.S. Fonseca Vaz","Gert G. Hatschbach|Maria M. Hatschbach|J.M. Silva","Hatschbach 59733","1993","11","8","South America","Brazil","Espírito Santo",NA,"Pedra Branca, rio Jucu Braco Norte (Mun. Domingos Martins)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2014-12-08 12:57:00-02","MO","MOBOT","100763567","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Schnella","grazielae","Schnella grazielae","(Vaz) Wunderlin",NA,"Apparicio P. Duarte|Gomes","Duarte 3683","1953","11","6","South America","Brazil","Espírito Santo",NA,"Mata de Dourados.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","1",NA,NA,NA,NA
"10","2020-08-31 08:52:03-03","INPA","INPA","203640","S","Plantae","Dicotyledon","Fabales","Leguminosae-Caes","Schnella","grazielae","Schnella grazielae","(Vaz) Wunderlin","Kuntz, J","Hatschbach, GG","59733","1993","11","08","Southern America","Brasil","Espírito Santo","Domingos Martins","Pedra Branca, rio Jucu Braço Norte.","-40.6591987609863","-20.3633003234863",NA,NA,"INPA0203640","INPA0203640 INPA0203640_e","2018","12","02","48150","auto",NA,NA,NA,NA,NA,NA,NA,NA
