"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","typeStatus"
"1","2021-04-05 14:33:41-03","UNESC","CRI","14947","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","mutabile","Pleroma mutabile","(Vell.) Triana","Oliveira, A. A.","2017","08","31","Stival-Santos, A.; Legal, E. & Silveira, S.","1048","2009","10","15","Brasil","Santa Catarina","Gaspar","Gasparinho - aos fundos da capela Santo Antonio. Gasparinho - aos fundos da capela Santo Antonio.","-48.966111","-26.994167","48º57'58''W","26º59'39''S","92","92","Florística IFFSC 638 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; borda do fragmento Habito: arbustiva;","CRI014362","CRI014362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:41-03","UNESC","CRI","14449","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","mutabile","Pleroma mutabile","(Vell.) Triana","Oliveira, A. A.","2017","08","31","Korte, A.","5145","2010","11","24","Brasil","Santa Catarina","Garuva","Estrada Bonita (Serra do Quiriri). Estrada Bonita (Serra do Quiriri).","-48.960556","-26.100278","48º57'38''W","26º6'1''S","800","800","Florística IFFSC 1066b (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Primário Habito: árvore;","CRI013602","CRI013602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:42-03","UNESC","CRI","2978","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Brade",NA,NA,NA,"S. L. Oliveira e Silva","219","1954","09","15","Brasil","São Paulo","São Paulo","Maná.","-46.633056","-23.550278","46º37'59''W","23º33'1''S","735","735","Habito: arbórea","CRI004506","CRI004506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:33-03","UNESC","CRI","1752","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","(Vell.) Cogn.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette",NA,"1998","04","25","Brasil","Santa Catarina","Siderópolis","Jordão Alto.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112",NA,"CRI004507","CRI004507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","558303","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","S. A. C. Chiea",NA,NA,NA,"S. A. C. Chiea","249","1982","11","05","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes fo Ipiranga","-46.621883","-23.654505",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558303","NY00558303_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558310","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","J. J. Wurdack",NA,NA,NA,"H. F. Martins","8384","1968","11","22","Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca, Açude da Solidao","-43.289299","-22.962139",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246186' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558310","NY00558310_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","558305","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","J. J. Wurdack",NA,NA,NA,"G. F. J. Pabst","5769","1961","10","14","Brazil","São Paulo","Santo André","Antiga S. P. - Santos, Alto da Serra","-46.5297","-23.66",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558305","NY00558305_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","558311","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","28404","1931","10","28","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246189' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558311","NY00558311_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","558307","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","A. C. Brade",NA,NA,NA,"A. C. Brade","13037","1933","12",NA,"Brazil","São Paulo",NA,"Vila Emma","-46.543068","-23.587347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558307","NY00558307_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","558302","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","mutabilis","Tibouchina mutabilis","Cogn.","S. A. C. Chiea",NA,NA,NA,"M. Kirizawa","303","1977","10","27","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes fo Ipiranga, Jardim Botanico. Area 6. Planta 114A","-46.618358","-23.646109",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=246182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558302","NY00558302_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
