"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-07-10 11:20:40-03","UEFS","HUEFS","186171","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Ericales","Sapotaceae","Pouteria","synsepala","Pouteria synsepala","Popovkin & Faria","A.Popovkin","2015","08","Parátipo","Popovkin, A.V.","1086","2012","03","28","Brasil","Bahia","Entre Rios","Imbé.","-38","-12.066667","38W0'","12S4'","Atlantic forest.","HUEFS0186171","HUEFS0186171 HUEFS0186171_e1",NA,NA
"2","2020-07-17 08:31:37-03","UEFS","HUEFS","208259","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Ericales","Sapotaceae","Pouteria","synsepala","Pouteria synsepala","Popovkin & Faria","A.Popovkin","2015","08","Parátipo","Popovkin, A.V.","1755",NA,NA,NA,"Brasil","Bahia","Entre Rios","Algodão.","-37.966667","-12.166667","37W58'0''","12S10'",NA,"HUEFS0208259","HUEFS0208259 HUEFS0208259_e1","150","150"
"3","2019-10-07 09:13:00-03","UEFS","HUEFS","217991","PreservedSpecimen","Plantae","Angiospermae","Asteranae","Ericales","Sapotaceae","Pouteria","synsepala","Pouteria synsepala","Popovkin & Faria","Popovkin, A.V.","2016","11","Holótipo","Popovkin, A.V.","1908",NA,NA,NA,"Brasil","Bahia","Entre Rios","Imbé.","-38","-12.083333","38W0'0''","12S5'0''",NA,"HUEFS0217991","HUEFS0217991","150","150"
