"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12928","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Alexandre Medeiros","2017","08","20","Alexandre Medeiros","2017","08","20","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 746. Terrestre com flores verdes. Habitat: Terrestre Habito: Herbácea","CRI011536","CRI011536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:44-03","UNESC","CRI","13952","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Alexandre Medeiros",NA,NA,NA,"Alexandre Medeiros",NA,NA,NA,"Brasil","Santa Catarina","Balneário Camboriú","Estaleiro","-48.585","-27.023333","48º35'6''W","27º1'24''S","Flor verde com amarelo Habitat: Terrestre Habito: Herbácea","CRI012563",NA,"972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:44-03","UNESC","CRI","13951","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Valdemar Boff","1996","01","18","Valdemar Boff","1996","01","18","Brasil","Santa Catarina","São Cristovão","Fazenda Guardião",NA,NA,NA,NA,"Botões e flores brancas Habitat: Terrestre Habito: Herbácea","CRI012562",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:44-03","UNESC","CRI","13912","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Alexandre Medeiros","2018","06","17","Alexandre Medeiros","2018","06","17","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Flores verdes Habitat: Terrestre Habito: Herbácea","CRI012523",NA,"899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:44-03","UNESC","CRI","12915","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","Renato Colares","2018","03","05","Renato Colares","2018","02","10","Brasil","Santa Catarina","Sombrio","Boa Esperança","-49.675556","-29.109167","49º40'32''W","29º6'33''S","Habitat: Terrestre Habito: Herbácea","CRI011523","CRI011523",NA,"18","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:42:10-03","E","E","249215","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora",NA,NA,NA,NA,NA,"Corn. Osten.","1906","11","11","UY","Departamento de Montevideo",NA,"Inendependencia",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00249215 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00249215",NA,"4705",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:263807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1032054","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","nana","Habenaria nana","Schltr.","F. R. R. Schlechter",NA,NA,NA,"P. K. H. Dusén","1912","01","08","Brazil","Paraná",NA,"Guaratuba","-48.580045","-25.892616",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190294' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032054","NY01032054_01","13515",NA,NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4094585","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"J. A. Steyermark","1944","11","13","Venezuela","Bolívar",NA,"Sororopán-tepuí",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413543' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094585",NA,"60059","2225","2255","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4094578","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.",NA,NA,NA,NA,"B. Maguire","1960","06","16","Guyana",NA,NA,"Upper Mazaruni River Basin, Imbaimadai Savanna, near mouth of Partang River, Merume Mountains",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413536' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094578",NA,"43864","460",NA,"South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1032042","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","parviflora","Habenaria parviflora","Lindl.","J. Renz",NA,NA,NA,"R. Reitz","1965","12","12","Brazil","Paraná",NA,"Serra de São Luiz, Balsa Nova",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190262' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032042","NY01032042_01","17437","1100","1100","South America","sheet",NA,"Magnoliophyta","Asparagales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
