"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","previousCatalogNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","487173","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) DC.","M. H. Nee","J. M. Schunke-Vigo","2151","1967","09","14","South America","Peru","Huánuco","Pachitea","Dtto. Honoria. Bosque National de Iparia: Región de bosque seco tropical (sensu Tosi, 1960) a lo largo del Río Pachitea cerca del campamento Miel de Abeja (1 km. arriba del pueblo de Tournavista o unos 20 km. arriba de la confluencia con el Río Ucayali)","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","487171","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) DC.","J. A. Mears","L. Riedel","1353","1828",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","487172","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) DC.","T. C. J. Herzog","P. von Luetzelburg","30","1910","11",NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Gavea","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487172","-43.250118","-22.98261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","487170","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) DC.",NA,"L. Riedel","1353","1828",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","487169","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) DC.","J. A. Mears","L. Riedel","1353","1822",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=46942' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02796076","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) DC.","L. Senna","J. G. Jardim","3118","2000","11","02","South America","Brazil","Bahia","Itororó","Ca. 5Km a E da sede municipal.","293","293","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474719' target='other'> <mi>dwc_moreinfo</mi></a>","NY02796076","-40.0392","-15.0961","NY02796076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:28:30-03","UNESP-IBB","BOTU","29168","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) R.Br.",NA,"Bignotto, R.B.","338","2004","06","25",NA,"Brasil","São Paulo","Botucatu",NA,NA,NA,NA,"Mata mesófila semidecidual secundária, com árvores de até 20m de altura e sub-bosque pouco denso. Erva 0,3m, pétalas brancas, anteras amarelas.; Coleção: Jardim Botânico UNESP Botucatu","BOTU029168","-48.433333","-22.866667","BOTU029168","48°26'w","22°52's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-06 11:41:49-03","UFPI-MRV","HDELTA","861","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) R.Br.",NA,"Lima, A.A.","58","2012","09","24",NA,"Brasil","Piauí","Parnaíba","Lagoa do Bebedouro",NA,NA,NA,"Flores brancas","HDELTA000861","-41.767111","-2.928417",NA,"41°46'01,60''W","02°55'42,30''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-06 11:41:49-03","UFPI-MRV","HDELTA","2648","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) R.Br.","Silva, M. S.","Brito, M. Z. O.","04","2011","11","02",NA,"Brasil","Piauí",NA,NA,NA,NA,NA,NA,"HDELTA002648",NA,NA,NA,NA,NA,"2017","01","09",NA,NA,NA,NA,NA,NA,NA
"10","2021-01-06 11:41:49-03","UFPI-MRV","HDELTA","952","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","sessilis","Alternanthera sessilis","(L.) R.Br.",NA,"Lima, A.A.","138","2013","04","26",NA,"Brasil","Piauí","Parnaíba","Lagoa do Bebedouro",NA,NA,NA,"Erva","HDELTA000952","-41.751303","-2.932556",NA,"41°45'04,69''W","02°55'57,20''S","2013","06","04",NA,NA,NA,NA,NA,NA,NA
