"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","typeStatus","recordNumber","continentOcean","preparationType","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-04-05 14:33:34-03","UNESC","CRI","1470","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta","(Schnizl.) Cuatrec.","L. C. Schimmerlpfeng","R. Negrelle; C. Londero","1993","02","17","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.619444","-27.068611","48º37'10''W","27º4'7''S","UPCB (21233) Flores brancas e botões. Habito: Arbóreo","CRI013747","CRI013747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:55-03","E","E","326637","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta",NA,NA,"Glaziou, Auguste Francois Marie",NA,NA,NA,"BR","Rio Janeiro",NA,"Alto Macahé",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00326637 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00326637",NA,"isotype","16723","E. Tropical South America","herbarium specimen of unspecif","BGBASE:386193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:55-03","E","E","189203","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta",NA,NA,"Harley, R.M.","1992","02","12","BR",NA,NA,"Bahia. Mun. Abaira : Catoles de Cima","-41.883333","13.266667","-41.883333","13.266667","<a href=http://data.rbge.org.uk/herb/E00189203 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00189203",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:197341","1000","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:55-03","E","E","189196","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta",NA,NA,"Harley, R.M., Hind, D.J.N., Lughadha, E.N., Souza, V.C., Sakuragui, C.M. & Ganev, W.","1991","12","24","BR",NA,NA,"Bahia. Mun. Abaira : Arredores de Catoles","-41.85","13.283333","-41.850000","13.283333","<a href=http://data.rbge.org.uk/herb/E00189196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00189196",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:197283","1000","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 10:05:00-03","NY","NYBG","445973","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta",NA,NA,"R. M. Klein","1955","03","17","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445973",NA,NA,"1225","South America","sheet",NA,"350","350","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 10:05:00-03","NY","NYBG","445970","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta",NA,NA,"R. Reitz","1957","07","26","Brazil","Santa Catarina","Garuva","Três Barras, Garuva. Sao Francisco do Sul","-48.8547","-26.0269",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445970","NY00445970_01",NA,"4595","South America","sheet",NA,"200","200","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","445962","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta","(Schnizl.) Cuatrec.","S. A. Mori","T. S. dos Santos","1979","02","13","Brazil","Bahia","Itiruçu","Km 7 da Rodovia Itiruçu/Maracas (BA 554). Folha SD 24 (14-40c).","-40.1503","-13.5319",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445962","NY00445962_01",NA,"3432","South America","sheet",NA,NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","445959","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta","(Schnizl.) Cuatrec.","J. Cuatrecasas","J. S. Blanchet","1841",NA,NA,"Brazil","Bahia","Jacobina","Igreja Velha, Jacobina","-40.5181","-11.1808",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445959",NA,NA,"3305","South America","sheet",NA,NA,NA,"Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","445972","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta","(Schnizl.) Cuatrec.",NA,"G. G. Hatschbach","1967","06","02","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00445972",NA,NA,"16515","South America","sheet",NA,"100","100","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","632001","PreservedSpecimen","Plantae","Humiriaceae","Vantanea","compacta","Vantanea compacta","(Schnizl.) Cuatrec.","D. C. Zappi","W. Ganev","1992","10","23","Brazil","Bahia","Abaíra","Catolés de Cima, próximo ao rio do Calado, próximo a cancela Velha da Agua Limpa","-41.87","-13.28",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632001","NY00632001_01",NA,"1329","South America","sheet",NA,"1150","1150","Magnoliophyta","Malpighiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
