"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","stateProvince","barcode","imagecode","preparationType","continentOcean","class","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2679","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez","Carlos A. Ferreira Jr.","2013","06","20","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","20","Brasil","Catas Altas","Serra do Caraça, Padre Caio","-43.4075012207031","-20.0746994018555","20º 05' 04S","43º 29' 06W","11966","1296","1296","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2686","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez","Carlos A. Ferreira Jr.","2013","06","20","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","20","Brasil","Catas Altas","Serra do Caraça, gruta de Lourdes","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2653","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez","Carlos A. Ferreira Jr.","2013","06","20","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","20","Brasil","Catas Altas","Serra do Caraça, subida para capelinha","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,NA,"254","auto","Minas Gerais",NA,NA,NA,NA,NA,NA,NA
"4","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG4331","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana",NA,NA,NA,NA,NA,"M.F. Vasconcelos","150",NA,NA,NA,"Brasil","Santa Bárbara","Pico da Canjurana - Serra do Caraça","-43.5","-20.133333","43°30'W","20°08'S",NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA
"5","2019-06-05 14:27:59-03","MCN-PUC-MINAS","HPUC-MG","ANG3347","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana",NA,NA,NA,NA,NA,"M.F.Vasconcelos","15-150","2015","04","19","Brasil","Santa Bárbara","Pico da Canjerana, Serra do Caraça - Município de Santa Bárbara","-43.5","-20.133333","43°30'W","20°08'S",NA,NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA
"6","2021-04-07 17:00:40-03","MN","R","213679","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez","Coser, T.S.","2010","10","27","Moura, R. 673; Oliveira, A.",NA,"2008","08","16","Brasil","Presidente Kubitschek","Tijucal, próximo a Cachoeira da Paca","-43.562198638916","-18.6144008636475",NA,NA,"13347",NA,NA,NA,NA,"auto","Minas Gerais","R010011929",NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:16:28-03","UFV","VIC","023659","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Paula, C.C. de; Goldschimdt, A.","5","1999","06","03","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC023659","VIC023659",NA,NA,NA,NA,NA
"8","2020-12-20 21:16:28-03","UFV","VIC","35500","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez","Guarconi, E.","2012","08","14","Souza, P.B. de; Guarçoni, E.","s.n.","2011","08","06","Brasil","Ouro Preto","Serra de Capanema, Afloramento rochoso.","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,"Afloramento rochoso, rupicola em frutificação.","auto","Minas Gerais","VIC035500","VIC035500",NA,NA,NA,NA,NA
"9","2020-12-20 21:16:28-03","UFV","VIC","031929","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Ribeiro, O.B.C.","225A","2008","09","25","Brasil","Santa Bárbara","Serra de Capanema","-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,NA,NA,"auto","Minas Gerais","VIC031929","VIC031929",NA,NA,NA,NA,NA
"10","2020-12-20 21:16:28-03","UFV","VIC","027792","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.; et al.","80","2007","05","09","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027792","VIC027792",NA,NA,NA,NA,NA
"11","2020-12-20 21:16:28-03","UFV","VIC","027793","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.","90","2007","06","27","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027793","VIC027793",NA,NA,NA,NA,NA
"12","2020-12-20 21:16:28-03","UFV","VIC","026456","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Paula, C.C. de; Goldschimdt, A.","s.n.","1999","02",NA,"Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC026456","VIC026456",NA,NA,NA,NA,NA
"13","2020-12-20 21:16:28-03","UFV","VIC","023535","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Paula, C.C. de","s.n.","1999","06","02","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC023535","VIC023535",NA,NA,NA,NA,NA
"14","2020-12-20 21:16:28-03","UFV","VIC","027788","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.; Dayrell, L.S.","59","2007","03","12","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027788","VIC027788",NA,NA,NA,NA,NA
"15","2020-12-20 21:16:28-03","UFV","VIC","027791","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.; et al.","79","2007","05","09","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027791","VIC027791",NA,NA,NA,NA,NA
"16","2020-12-20 21:16:28-03","UFV","VIC","026460","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Paula, C.C. de; Goldschimdt, A.","s.n.","1999","09","10","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC026460","VIC026460",NA,NA,NA,NA,NA
"17","2020-12-20 21:16:28-03","UFV","VIC","025419","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Goldschimdt, A.; Paula, C.C. de","s.n.","2000","04","12","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC025419","VIC025419",NA,NA,NA,NA,NA
"18","2020-12-20 21:16:28-03","UFV","VIC","027787","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.; Paula, C.C. de","23","2006","08","06","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027787","VIC027787",NA,NA,NA,NA,NA
"19","2020-12-20 21:16:28-03","UFV","VIC","027786","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.; Paula, C.C. de","21","2006","08","06","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027786","VIC027786",NA,NA,NA,NA,NA
"20","2020-12-20 21:16:28-03","UFV","VIC","027789","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.; et al.","75","2007","04","19","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027789","VIC027789",NA,NA,NA,NA,NA
"21","2020-12-20 21:16:28-03","UFV","VIC","027790","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.; et al.","78","2007","05","09","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027790","VIC027790",NA,NA,NA,NA,NA
"22","2020-12-20 21:16:28-03","UFV","VIC","027794","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Coser, T.","92","2007","06","27","Brasil","Ouro Preto","PEI","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","Minas Gerais","VIC027794","VIC027794",NA,NA,NA,NA,NA
"23","2019-11-05 16:46:30-03","UFOP","OUPR","25332","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez","Antônio-Silva","2013","06","24","Antônio-Silva; Cardoso, R.C. & Messias, M.C.T.B.","322","2011","06","09","Brasil","Ouro Preto","APA Cachoeira das Andorinhas, Serra de Ouro Preto, Fazenda da Brígida. Campo rupestre quartzítico, associada a afloramento de rocha quartzítica","-40.503944","-20.356722","-40.503944","-20.356722",NA,"1500","1500",NA,"Epífita ou rupícola. Flores atrovináceas, encontradas normalmente com associação a Tillandsia sp. Flores dispostas em uma mesma disposição, folhas verde abacate com ápice vináceo",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-05 16:46:30-03","UFOP","OUPR","8893","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez","Antônio-Silva, L.","2013","02","21","Nogueira, R.E.","89","1999","09","20","Brasil","Ouro Preto","Serra da Brígida, APA Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,"Erva. Campo rupestre.","auto","Minas Gerais",NA,NA,NA,NA,NA,NA,NA
"25","2017-05-11 14:17:42-03","MNHN","RECOLNAT_MNHN_P","P00438680","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Claussen, P.",NA,"1843",NA,NA,"Brésil",NA,"Serra de Caraça, Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00438680' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P00438680","P00438680_01 P00438680_02","hb",NA,NA,NA,NA
"26","2020-12-11 11:43:35-03","UFMG","BHCB","179184","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2728","2015","10","09","Brasil","Itabirito","RPPN Capivari II","-43.663056","-21.6425","-43.663056","-21.6425",NA,NA,NA,NA,"Erva saxícola; folhas verdes acinzentadas com base castanha; inflorescência e frutos castanhos.; Campo Rupestre Quartzítico",NA,"Minas Gerais",NA,NA,NA,"Southern America",NA,NA,NA
"27","2020-12-11 11:43:35-03","UFMG","BHCB","179186","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L","2730","2015","10","09","Brasil","Itabirito","RPPN Capivari II","-43.663056","-21.6425","-43.663056","-21.6425",NA,NA,NA,NA,"Erva saxícola; folhas verdes com face abaxial arroxeada; brácteas castanhas; frutos imaturos verdes.; Campo Rupestre Quartzítico",NA,"Minas Gerais",NA,NA,NA,"Southern America",NA,NA,NA
"28","2020-12-11 11:43:35-03","UFMG","BHCB","191606","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,"2018","08","17","Souza, JAM; Correia, DR; Silva, SHA","134","2017","10","19","Brasil","Itabirito","RPPN Capivari II","-43.655556","-21.5","-43.655556","-21.5",NA,"1398","1398",NA,"Erva, 0,30 m. Frutos passados marrons. Folhas externas secas e cinzas; internas verdes manchadas de roxo.; Campo Rupestre Quartzítico",NA,"Minas Gerais","BHCB191606",NA,NA,"Southern America",NA,NA,NA
"29","2020-12-11 11:43:35-03","UFMG","BHCB","143254","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez",NA,NA,NA,NA,"Machado, TM; Bünger, MO; Borsali, EF; Fernandes, AC","209","2010","09","30","Brasil","Ouro Preto","Parque Estadual do Itacolomi, Trilha do pico, região à direita da Lagoa Seca.","-43.485639","-20.436167","-43.485639","-20.436167",NA,"1624","1624",NA,"Rupícola na sombra. Folhas verdes com o ápice vináceo. Escapo ca. 1,60m, verde com brácteas vináceas. Bráctea floral marrom, sépala verde, fruto marrom.",NA,"Minas Gerais",NA,NA,NA,"Southern America",NA,NA,NA
