"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","coordinatePrecision","geoFlag","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","continentOcean","dayIdentified"
"1","2019-08-20 10:00:41-03","UNICAMP","UEC","139854","S","Plantae","Liliopsida","Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","Breier, TB","2004","09","Breier, TB; Budke, JC","488","2002","08","19","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras.","-47.916667","-24.166667","-47.916667","-24.166667","UEC064309","UEC064309",NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 10:00:41-03","UNICAMP","UEC","139848","S","Plantae","Liliopsida","Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","Breier, TB","2004","09","Breier, TB; Andrade, MAR","124","2002","05","23","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818",NA,NA,"UEC064310","UEC064310","37574","auto",NA,NA,NA,NA,NA
"3","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","42477",NA,"Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Rchb.f.","G. Chiron/Dez.-2013",NA,NA,"Chiron","9601","2009",NA,NA,"Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863",NA,NA,"MBML042477","MBML042477","48150","auto",NA,NA,NA,NA,NA
"4","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","12279",NA,"Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","C.N.Fraga & R.Vervloet/2002",NA,NA,"L. Kollmann; et al","2777","2000","03","30","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","MBML012279","MBML012279",NA,NA,"Mata baixa com solo de areia. Epifita na sombra. Frutos verdes.",NA,NA,NA,NA
"5","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","15421",NA,"Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","Fraga. 09-XI-2002",NA,NA,"L. Kollmann; et al","4842","2001","10","16","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","MBML015421","MBML015421",NA,NA,"Epífita na sombra. Frutos verdes.",NA,NA,NA,NA
"6","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","18176",NA,"Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","L. Kollmann/25-03-2004",NA,NA,"R.R. Vervloet; et al","1124","2002","10","03","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27","MBML018176","MBML018176",NA,NA,"Epífita, em tronco caído, fundo de vale, beira de córrego, frutos imaturos de cor verde, dossel 12m, altitude 800m.",NA,NA,NA,NA
"7","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","23601",NA,"Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","A. P. Fontana/12-05-2005",NA,NA,"L. Kollmann; et al","7538","2005","03","22","Brasil","Espírito Santo","Santa Teresa","Penha","-40.552778","-19.953333","40W33'10","19S57'12","MBML023601","MBML023601",NA,NA,"Epífita na meia sombra, frutos verdes.",NA,NA,NA,NA
"8","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","28918",NA,"Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","L. Kollmann/11-11-2008",NA,NA,"L. Kollmann","9468","2007","01","10","Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas","-40.479167","-20.272778","40W28'45","20S16'22","MBML028918","MBML028918",NA,NA,"Epífita na sombra, frutos verdes.",NA,NA,NA,NA
"9","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","39790",NA,"Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","E. Pessoa/29-VIII-2013",NA,NA,"A. P. Fontana; Kaio A. Brahim, L. Kollmann & C. Esguario","2581","2007","01","10","Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas. Alegre. Trilha do Pau oco. Floresta Ombrófila Densa, mata de encosta.","-40.519028","-20.290556","40W31'8,5","20S17'26","MBML039790","MBML039790",NA,NA,"Epífita. Frutos verdes.","605","605",NA,NA
"10","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","421",NA,"Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","Guido Pabst/Agosto.1976",NA,NA,"W. Emmerich",NA,"1976","07",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","MBML000421","MBML000421",NA,NA,"Curso pós-graduação, biologia das epífitas.",NA,NA,NA,NA
"11","2017-09-11 17:11:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.",NA,NA,NA,"Mosén, CWH","s.n.",NA,NA,NA,"Brazil","São Paulo","Santos","Habitat ad truncos arborum in ripa amnis Rio Ruturvea prope Santos prov. S. Paulo","-46.33","-23.96",NA,NA,NA,NA,"26836","auto","Floret Decembri",NA,NA,"Southern America",NA
"12","2017-09-11 17:11:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.",NA,NA,NA,"Mosén, CWH","s.n.",NA,NA,NA,"Brazil","São Paulo","Santos","Habitat ad truncos arborum in ripa amnis Rio Ruturvea prope Santos prov. S. Paulo","-46.33","-23.96",NA,NA,NA,NA,"26836","auto","Floret Decembri",NA,NA,"Southern America",NA
"13","2019-11-21 10:13:06-03","IBt","SP","247522","S","Plantae",NA,"Orchidaceae","Dichaea","mosenii","Dichaea mosenii","Cogn.","Helfstein, EA","1995","08","Cordeiro, I; et al.","778","1990","12","11","Brasil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Trilha para o pocinho","-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,"08"
