"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:25:41-03","UNESC","CRI","14507","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","Verdi, M","2009","10","17","Verdi, M.; Klettenberg, D.H. & Klemz, G.","2844","2009","10","17","Brasil","Santa Catarina","Timbé do Sul","Vila Belmiro. Vila Belmiro.","-49.86","-28.8","49º51'36''W","28º48'S","360","360","Florística IFFSC 28 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbórea;","CRI013611","CRI013611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","15276","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","Aline Votri Guislon","2020","05","11","Aline V. Guislon; Renato Colares & Felipe Seron",NA,"2018","07","19","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Estevão. Bairro Dagostim. Área L3","-49.360556","-28.746667","49º21'38''W","28º44'48''S","140","140","Individuo de grande porte caído no chão, com ramos ainda vivos. Habito: Arbóreo","CRI014693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","309883","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","M. H. Nee",NA,NA,NA,"M. H. Nee","49001","1998","04","11","Bolivia","Santa Cruz","Florida","Along road from Mairana to Yunga de Mairana, 5.3 km (by road) NE of center of Mairana.","-63.95","-18.1",NA,NA,"1700","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309883",NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","663615","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","C. Farney",NA,NA,NA,"C. Gomes e Mattos filho","1039","1953","07","23","Brazil","Paraná",NA,"Fazenda Remanso, prop. Irmaos Ferraz",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663615","NY00663615_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","663612","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","A. Schinini",NA,NA,NA,"A. Schinini","32993","1997","10","30","Argentina","Salta","Orán","Finca San Andrés. Administración Las Juntas","-64.7519","-23.0731",NA,NA,"500","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663612",NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","663610","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","R. Reitz",NA,NA,NA,"R. M. Klein","5688","1964","08","30","Brazil","Santa Catarina","Itapiranga","Coqueiro, Itapiranga","-53.7119","-27.1694",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663610","NY00663610_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","663617","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","M. H. Nee",NA,NA,NA,"P. R. Legname","3943","1964","10","05","Argentina","Tucumán","Tafi del Valle","Horco Molle",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663617",NA,"Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","663616","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","C. Farney",NA,NA,NA,"Pessoal do Horto Florestal",NA,"1927","04","12","Brazil","Rio de Janeiro",NA,"Matas das Obras Públicas, perto da sede do Horto Florestal",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663616","NY00663616_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","663614","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua","Heimerl","M. H. Nee",NA,NA,NA,"P. Occhioni",NA,"1922","07","25","Brazil","Rio de Janeiro",NA,"Paineiras, Corcovado","-43.212237","-22.951713",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=470253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663614","NY00663614_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","663619","PreservedSpecimen","Plantae","Nyctaginaceae","Pisonia","ambigua","Pisonia ambigua ambigua","Heimerl","L. Y. T. Westra",NA,NA,NA,"R. Reitz","5112","1957","10","11","Brazil","Santa Catarina",NA,"Sabiá, Vidal Ramos",NA,NA,NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=456259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00663619","NY00663619_01","Magnoliophyta","Caryophyllales","South America","sheet","ambigua",NA,NA,NA,NA,NA,NA,NA
