"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:33:32-03","UNESC","CRI","2718","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","A. Burkart","R. Reitz; R. M. Klein","1959","10","22","Brasil","Santa Catarina","Blumenau","Bom Retiro.","-49.066389","-26.92","49º3'59''W","26º55'12''S","63","63","Habitat: mata da Campanhia Hering Habito: árvore","CRI003109","CRI003109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","607989","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","V. E. Rudd","S. G. Beck","1981","10","30","Bolivia","La Paz","Sud Yungas","Chulumani ca. 5 kms. hacia Irupana, entrado por la propiedad del Sr. Portugal",NA,NA,NA,NA,"1850","1850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607989",NA,"Magnoliophyta","Fabales","4862","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","607986","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","H. C. de Lima","M. Kuhlmann","1947","11","21","Brazil","São Paulo",NA,"Ribeirao Preto, margem do Rio Pardo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570991' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607986","NY00607986_01","Magnoliophyta","Fabales","1640","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01041625","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","B. M. Torke","H. S. Irwin","1968","03","23","Brazil","Goiás","Alto Paraíso de Goiás","Ca. 27 km S. of Paraíso.","-47.53","-14.38",NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179517' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041625","NY01041625_01","Magnoliophyta","Fabales","21633","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02694914","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.",NA,"L. P. de Queiroz","2008","10","01","Brazil","Bahia","Itacaré","Estrada da balsa até Maraú, na foz do rio Contas.","-39.0992","-14.2653",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969205' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694914","NY02694914_01","Magnoliophyta","Fabales","13858","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01461873","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","B. M. Torke","F. Rawitscher",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1712323' target='other'> <mi>dwc_moreinfo</mi></a>","NY01461873","NY01461873_01","Magnoliophyta","Fabales","15359","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01041676","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","C. M. Rizzini","A. P. Duarte","1961","11","02","Brazil","Minas Gerais",NA,"Margem do Rio Paracatú",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179644' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041676","NY01041676_01","Magnoliophyta","Fabales","5725","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","607987","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","C. H. Stirton","G. T. Prance","1985","07","25","Brazil","Amazonas",NA,"Margin of Rio Aracá near Serrinha","-63.38","0.42",NA,NA,"80","80","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607987","NY00607987_01","Magnoliophyta","Fabales","29811","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","607985","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","V. E. Rudd","R. P. Belém","1968","05","03","Brazil","Bahia",NA,"Maraú, mata litorânea, margem de Igarapé",NA,NA,NA,NA,NA,NA,"Coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00607985","NY00607985_01","Magnoliophyta","Fabales","3487","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01041677","PreservedSpecimen","Plantae","Fabaceae","Ormosia","fastigiata","Ormosia fastigiata","Tul.","V. E. Rudd","W. R. Anderson","1973","05","11","Brazil","Goiás","Goiás","Serra Dourada, ca. 15 km (straight line) S of Goiás Velho","-50.1333","-16.06885",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179649' target='other'> <mi>dwc_moreinfo</mi></a>","NY01041677","NY01041677_01","Magnoliophyta","Fabales","10083","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
