"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","barcode","monthIdentified","dayIdentified","year","month","day","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","phylum","continentOcean","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude"
"1","2020-06-29 11:29:05-03","UFRJ","RFA","40763","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","trindadense","Asplenium trindadense","(Brade) Sylvestre","L. Sylvestre","2011","R. Vàlka","8550","Brasil","Espírito Santo","Espírito Santo","Ilha de Trindade","RFA32125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:23:50-03","MN","R","187831","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","trindadense","Asplenium trindadense","Sylvestre","Sylvestre, L.S.","2012","Levy, A.K. 10; Domingues, S.A.",NA,"Brasil","Espírito Santo",NA,NA,NA,"05","28","1994","07","21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:23:50-03","MN","R","220129","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","trindadense","Asplenium trindadense","Sylvestre",NA,NA,"Looser",NA,"Chile","Valdivia","Niebla",NA,NA,NA,NA,"1930","03","23","Herbarium Looserianum. Santiago do Chile",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:23:50-03","MN","R","220130","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","trindadense","Asplenium trindadense","Sylvestre","Sylvestre, L.S.","2012","Becker, J.",NA,"Brasil","Espírito Santo",NA,NA,NA,"05","28","1965","12","13",NA,"450","450",NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:23:50-03","MN","R","4885","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","trindadense","Asplenium trindadense","Sylvestre","Sylvestre, L.S.","2012","Domingues, S.A.",NA,"Brasil","Espírito Santo",NA,NA,NA,"05","28","1916","10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:23:50-03","MN","R","51856","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","trindadense","Asplenium trindadense","Sylvestre","Sylvestre, L.S.","2012","Mello Filho, L.E. 936; Segadas-Vianna, F.",NA,"Brasil","Espírito Santo",NA,NA,NA,"05","28","1950","05","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-22 17:47:43-03","UFJF","CESJ","61278","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","trindadense","Asplenium trindadense","(Brade) Sylvestre","V.A.O. Dittrich","2011","V.A.O. Dittrich; P.P.U. Aquino; R.D. Berrêdo","1737","Brasil","Espírito Santo",NA,"Ilha da Trindade","CESJ061278","10",NA,"2011","10","24","Terrícola em área praticamente desprovida de vegetação em canyon rochoso.","337","337","Polypodiopsida","América do Sul","-29.318778","-20.515722","-29.318778","-20.515722"
"8","2020-03-17 21:25:12-03","UFMG","BHCB-SL","164985","PreservedSpecimen","Plantae","Aspleniaceae","Asplenium","trindadense","Asplenium trindadense","(Brade) Sylvestre","Dittrich, VAO; Salino, A","2011","Dittrich, VAO; Aquino, PPU; Berredo, RD","1737","Brasil","Espírito Santo","Ilha da Trindade",NA,"BHCB055796","10",NA,"2011","10","24","Terrícola em área parcialmente desprovida de vegetação em canyon rochoso.","337","337",NA,"América","-29.318889","-20.515833","-29.318889","-20.515833"
