"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","class","relatedCatalogItem","previousCatalogNumber"
"20","2021-02-25 10:12:58-03","CVRD","CVRD","11131","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N. F. Mattos","Geovane S. Siqueira","Folli, D.A.","5989","2008","03","26","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Pequí isaías","CVRD011131",NA,"48094","auto","2016",NA,NA,NA,NA,"10","25",NA,"Magnoliopsida",NA,NA
"21","2021-02-25 10:12:58-03","CVRD","CVRD","5210","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N. F. Mattos","Geovane S. Siqueira","Folli, D.A.","2573","1995","03","21","América do Sul","BRASIL","ES","Linhares","Coleta de flor IAS.226","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Pequí isaías","CVRD005210",NA,"48094","auto","2016",NA,NA,NA,NA,"10","25",NA,"Magnoliopsida",NA,NA
"22","2019-11-13 11:18:00-03","USP","SPF","197901","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.F.Mattos","Marquete, NFS","Santos, MF","347","2008","03","17",NA,"Brasil","Minas Gerais","Itambé do Mato Dentro","APA Parque Nacional da Serra do Cipó","-43.452056","-19.396361",NA,NA,"SPF00197901",NA,NA,NA,"2009","-43.452056","-19.396361",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-07 09:33:44-03","UEFS","HUEFS","188677","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.F.Mattos",NA,"Matos, E.N.de","2606","2011","10","03",NA,"Brasil","Bahia","Ituberá","Pratigi","-39.023889","-13.733333",NA,"Restinga. Floresta.","HUEFS0188677","HUEFS0188677",NA,NA,NA,"39W1'26''","13S43'60''",NA,NA,NA,NA,NA,"Rosanae",NA,NA
"24","2019-10-07 09:33:44-03","UEFS","HUEFS","188679","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.F.Mattos",NA,"Matos, E.N.de","2611","2011","10","20",NA,"Brasil","Bahia","Una","Fazenda Bolandeira","-39.002778","-15.338889",NA,"Restinga. Floresta.","HUEFS0188679","HUEFS0188679",NA,NA,NA,"39W0'10''","15S20'20''",NA,NA,NA,NA,NA,"Rosanae",NA,NA
"25","2019-10-07 09:33:44-03","UEFS","HUEFS","8766","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.F.Mattos","C.A.Stace","Santos, T.S.dos","4371","1988","07","25",NA,"Brasil","Bahia","Belmonte",NA,"-38.8828010559082","-15.8631000518799",NA,NA,"HUEFS0008766","HUEFS0008766","71281","auto","2002",NA,NA,NA,NA,"12",NA,NA,"Rosanae",NA,NA
"26","2019-10-07 09:33:44-03","UEFS","HUEFS","66835","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Combretaceae","Buchenavia","pabstii","Buchenavia pabstii","Marquete & C.Valente",NA,"Jardim, J.G.","4081","2002","11","15",NA,"Brasil","Bahia","Canavieiras","BA 001 entrada para a região do Cotovelo.","-38.966667","-15.65",NA,NA,"HUEFS0066835","HUEFS0066835",NA,NA,"2008","38W58'0''","15S39'0''","50","50","12",NA,NA,"Rosanae",NA,NA
"27","2015-03-07 08:41:29-03","F","FMNH-SEEDPLANTS","V0187927F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0187927F","V0187927F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"28","2020-07-23 12:03:24-03","CEPLAC","CEPEC","128346","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana",NA,"Sem Informação","D. Rocha","1094","2010","05","18",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita, área da fitossociologia.","-39.566111","-15.395833",NA,"Coleta testemunho do inventário na RPPN Serra Bonita (Rocha & Amorim 2011). Indivíduo nº P41-09",NA,NA,NA,NA,NA,"39W33'58","15S23'45","500","500",NA,NA,NA,NA,NA,NA
"29","2020-07-23 12:03:24-03","CEPLAC","CEPEC","152008","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana",NA,NA,"Ferraço, L.F.","8","2012","02","15",NA,"Brasil","Bahia","UNA","Reserva Biológica de Una - Maruim","-39.132222","-15.173056",NA,"Observação de Frutificação: 24/01/2012 (Foto e Fruto seco) <ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"39W7'56","15S10'23",NA,NA,NA,NA,NA,NA,"30/11/2015",NA
"30","2020-07-23 12:03:24-03","CEPLAC","CEPEC","57724","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana",NA,"C. Stace","W. W. Thomas","9548","1993","01","17",NA,"Brasil","Bahia","ILHÉUS","Sambaituba.","-39.083333","-14.666667",NA,NA,NA,NA,NA,NA,NA,"39W5'","14S40'",NA,NA,NA,NA,NA,NA,"30/12/1993",NA
"31","2020-07-23 12:03:24-03","CEPLAC","CEPEC","43942","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana",NA,"T. S. dos Santos","T. S. dos Santos","4371","1988","07","25",NA,"Brasil","Bahia","BELMONTE","Km 47 da Rod. Itapebi/Belmonte, 7Km apos Barrolandia. Estação Ecológica Gregorio Bondar.","-38.8828010559082","-15.8631000518799",NA,"<ll>dwc_commonname:</ll> Piqui-doce",NA,NA,"71281","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1988",NA
"32","2020-07-23 12:03:24-03","CEPLAC","CEPEC","3828","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana",NA,"N. M. F. da Silva","R. P. Belém","3280","1978","03","03",NA,"Brasil","Bahia","BELMONTE","Sem informação.","-38.8828010559082","-15.8631000518799",NA,NA,NA,NA,"71281","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1988",NA
"33","2020-07-23 12:03:24-03","CEPLAC","CEPEC","5419","PreservedSpecimen","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana",NA,"N. M. F. da Silva","J. A. de Jesus","592","1970","02","22",NA,"Brasil","Bahia","CANAVIEIRAS","Estrada p/ Ouricana, marg. do Rio Pardo.","-38.9472007751465","-15.6750001907349",NA,NA,NA,NA,"48203","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/01/1988",NA
"34","2016-08-23 10:59:06-03","NHMLondon","NHM-LONDON-BOT","BM000953701","S","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","Mattos",NA,"Collaboration; Hoehne, Gehrt","s.n.","1939","12","08",NA,"Brasil","Rio Grande do Sul",NA,NA,"-53.180947","-29.779958",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/6fc2f936281d4976e280e7a4f36be4bde3845158/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"-53.180947","-29.779958",NA,NA,NA,NA,"Isotype",NA,NA,"NHMUK:ecatalogue:465970"
"35","2016-08-23 10:59:06-03","NHMLondon","NHM-LONDON-BOT","BM000953699","S","Plantae",NA,NA,"Combretaceae","Buchenavia","pabstii","Buchenavia pabstii","Marquete & C. Valente",NA,"D. A. Folli","384","1982","08","12",NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/102ba61ee91b6dec610cc704015ab9b99a41cd4f/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,"Paratype",NA,NA,"NHMUK:ecatalogue:464970"
"36","2016-08-23 10:59:06-03","NHMLondon","NHM-LONDON-BOT","BM000953700","S","Plantae",NA,NA,"Combretaceae","Buchenavia","pabstii","Buchenavia pabstii","Marquete & C. Valente",NA,"I. A. Silva; I. A. Silva","226","1980","12","15",NA,"Brasil","Espírito Santo",NA,NA,"-40.578294","-19.618978",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/91743e73f8f2dc4fbcfec2f12d6843e8f91e73a8/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"-40.578294","-19.618978",NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:464993"
"37","2020-08-26 10:48:30-03","MCN-FZBRS","HAS","87487","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N. Mattos",NA,"Hoehne, F.C.","s.n.","1939","12",NA,NA,"Brasil","São Paulo","Caraguatatuba","na estrada de São Sebastião","-45.4099998474121","-23.6200008392334",NA,"Árvore grande (SP 41860, Holotypus)","HAS0087487",NA,"30093","auto",NA,NA,NA,NA,NA,NA,NA,"Isotypus",NA,NA,NA
"38","2019-11-21 10:03:13-03","IBt","SP","41860","S","Plantae",NA,NA,"Combretaceae","Buchenavia","hoehneana","Buchenavia hoehneana","N.F.Mattos",NA,"Hoehne, FC; Gehrt, A","s.n.","1939","12","08",NA,"Brasil","São Paulo","Caraguatatuba","Estrada para São Sebastião","-45.4099998474121","-23.6200008392334",NA,"Árvore grande","SP000488","SP000488","30093","auto","1967",NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA
