"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:30-03","UNESC","CRI","9592","PreservedSpecimen","Plantae","Melastomataceae","Leandra","fragilis","Leandra fragilis","Cogn.","A. A. de Oliveira","2010","09","30","A. Stival-Santos; E. Legal & S. Silveira","3096","2010","06","23","Brasil","Santa Catarina","Águas Mornas","Rio Cubatão.","-48.960833","-27.809722","48º57'39''W","27º48'35''S","620","620","Floresta Ombrófila Densa Habitat: entorno do fragmento, beira de estrada Habito: arbusto","CRI004196","CRI004196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:30-03","UNESC","CRI","13192","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","Pastório, FF","2016","03","10","Oliveira, A.A. de","2896","2016","01","18","Brasil","Santa Catarina","Angelina","Arroio Fagundes. Arroio Fagundes.","-48.96","-27.449722","48º57'36''W","27º26'59''S","434","434",NA,"CRI011853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:41-03","UNESC","CRI","15352","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","Isadora Zapelini & José T. Pires","2020","08","08","Alexandre Medeiros","533","2017","07","13","Brasil","Santa Catarina","Balneário Camboriú",NA,"-48.640278","-26.999167","48º38'25''W","26º59'57''S",NA,NA,"Flor vermelha.","CRI014769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:30-03","UNESC","CRI","11246","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","A. A. de Oliveira","2011","03","22","A. Korte","6179","2011","03","09","Brasil","Santa Catarina","Brusque",NA,"-48.96","-27.18","48º57'36''W","27º10'48''S","150","150","Floresta Ombrófila Densa","CRI004182","CRI004182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:30-03","UNESC","CRI","9725","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","A. A. de Oliveira","2010","10","15","A. Stival-Santos; E. Legal & S. Silveira","2980","2010","06","16","Brasil","Santa Catarina","Biguaçu","Instituto Itaúna de Educação Ambiental.","-48.655833","-27.494722","48º39'21''W","27º29'41''S","66","66","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI004181","CRI004181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:30-03","UNESC","CRI","11355","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","A. A. de Oliveira","2009","12","09","A. Stival-Santos; E. Legal & S. Silveira","1187","2009","11","17","Brasil","Santa Catarina","Brusque","Barracão.","-48.869722","-27.005556","48º52'11''W","27º0'20''S","45","45","Floresta Ombrófila Densa Habitat: comum no fragmento Habito: arbustiva","CRI004179","CRI004179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:30-03","UNESC","CRI","9600","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","A. A. de Oliveira","2010","09","22","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2801","2010","05","21","Brasil",NA,"Brasil","Parque Estadual do Tabuleiro.","-48.78","-27.72","48º46'48''W","27º43'12''S","612","612","Floresta Ombrófila Densa Habitat: barranco em beira de estrada Habito: arbusto","CRI004177","CRI004177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:30-03","UNESC","CRI","11085","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","A. A. de Oliveira","2011","05","18","A. Korte","1931","2011","03","14","Brasil","Santa Catarina","Salete","Ribeirão Cipriano.","-49.999722","-26.98","49º59'59''W","26º58'48''S","435","435","Floresta Ombrófila Densa","CRI004180","CRI004180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:41:32-03","E","E","83895","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides",NA,NA,NA,NA,NA,"Munhoz, C. & Rodrigues, N.","326","1996","01","09","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083895 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083895",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:92791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:41:32-03","E","E","161250","PreservedSpecimen","Plantae","Melastomataceae","Leandra","melastomoides","Leandra melastomoides",NA,NA,NA,NA,NA,"Ibáñez García, A. & Bridgewater, S.",NA,"1996","10","27","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161250 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161250",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:168654",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
