"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","typeStatus","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","806926","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C.Chr.) L.E.Bishop","L. E. Bishop","A. C. Brade","9992","1929","11","South America","Brazil","Rio de Janeiro","Theresopolis, Sa Corvallo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806926","NY00806926_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:36:07-03","IAP","PACA-AGP","74383","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C. Chr.) L.E. Bishop","P. Labiak","Sehnem, A.","7964","1961","12",NA,"Brasil","RS","Taimbé",NA,"Habitat: epiphytum ad Dicksonian in silva","PACA074383",NA,"Filicopsida","2000","09","31","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","700","700","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:53:53-03","UFJF","CESJ","69727","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C.Chr.) L.E.Bishop","F. Gonzatti","F. Gonzatti","2497","2016","07","América do Sul","Brasil","Rio Grande do Sul","Estrada para o Cânion Josafá",NA,"epífita em árvores em formação de banhado de mata de araucária, a ca. de 2m de altura","CESJ069727",NA,NA,"2016","08","08","São Francisco de Paula","-50.071111","-29.370278",NA,"940","940",NA,"-50.071111","-29.370278",NA,NA,NA,NA,NA
"4","2019-11-21 14:53:53-03","UFJF","CESJ","47274","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C.Chr.) L.E.Bishop","A. Salino","F.S. Souza; P.L. Viana; O.J. Bastos Neto; N.L. Abreu","217","2006","05","América do Sul","Brasil","Minas Gerais","Serra Negra, Burro de Ouro",NA,"Epífita em interior de mata.","CESJ047274",NA,NA,"2006","09","20","Rio Preto","-43.8278007507324","-22.0891990661621","20815",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:05:35-03","FURB","FURB","27749","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C.Chr.) L.E.Bishop","Gasper, AL de","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","2909","2010","07",NA,"Brasil","Santa Catarina","Cubatão.",NA,"Epífita IFFSC e1065a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita;","FURB00250","FURB00250",NA,"2010","08","06","Joinville","-49.05","-26.1016667",NA,"1169","1169",NA,"-49.0500000","-26.1016667","23",NA,NA,NA,NA
"6","2021-03-16 17:56:50-03","UCS","HUCS","47505","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C. Chr.) L.E. Bishop","Gonzatti, F.","Gonzatti, F.","4170","2018","02",NA,"Brasil","Rio Grande do Sul","Cânion Josafaz, Trilha da Tajuva para a Cachoeira Josafaz",NA,"Erva epífita em árvores na mata nebular","HUCS003735","HUCS003735",NA,"2018","04","24","São Francisco de Paula","-50.032764","-29.350542",NA,"925","925",NA,"-50.032764","-29.350542",NA,NA,NA,NA,NA
"7","2021-03-16 17:56:50-03","UCS","HUCS","45290","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C. Chr.) L.E. Bishop","Gonzatti, F.","Gonzatti, F.","2497","2016","07",NA,"Brasil","Rio Grande do Sul","Estrada para o Cânion Josafá",NA,"Ao sol, frondes ensolaradas, rizomas avermelhados.; epífita em árvores em formação de banhado de mata de araucária, a ca. de 2m de altura","HUCS003737","HUCS003737",NA,"2016","08","08","São Francisco de Paula","-50.071111","-29.370278",NA,"940","940",NA,"-50.071111","-29.370278",NA,NA,NA,NA,NA
"8","2021-03-16 17:56:50-03","UCS","HUCS","47736","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C. Chr.) L.E. Bishop","Gonzatti, F.","Gonzatti, F.","4317","2018","04",NA,"Brasil","São Paulo","Serra da Bocaina, Parque Nacional",NA,"Erva epífita em tronco de árvore, interior de mata úmida","HUCS003738","HUCS003738",NA,"2018","05","29","São José do Barreiro","-44.616639","-22.733889",NA,"1513","1513",NA,"-44.616639","-22.733889",NA,NA,NA,NA,NA
"9","2021-03-16 17:56:50-03","UCS","HUCS","47740","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C. Chr.) L.E. Bishop","Gonzatti, F.","Gonzatti, F.","4406","2018","05",NA,"Brasil","São Paulo","Serra da Bocaina, Parque Nacional",NA,"Erva epífito na mata ciliar","HUCS003734","HUCS003734",NA,"2018","05","01","São José do Barreiro","-44.616639","-22.733889",NA,"1513","1513",NA,"-44.616639","-22.733889",NA,NA,NA,NA,NA
"10","2020-12-21 16:41:50-03","MBM","MBM","429750","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Zygophlebia","longipilosa","Zygophlebia longipilosa","(C. Chr.) L.E. Bishop","Canestraro, B.K.","Canestraro, B.K.; Lozano, E.D.; Lozano, E.D.","1497","2019","01","Southern America","Brazil","São Paulo","Estrada para o Pico do Itapeva",NA,"Epífita, ciófita.; Campos de Altitude/Floresta Ombrófila Mista Altomontana.","MBM429750",NA,NA,"2019",NA,"24","Pindamonhangaba","-45.537167","-22.769139",NA,"1878","1878",NA,"-45.537167","-22.769139",NA,NA,NA,NA,NA
