"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1031860","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb.Rodr.","G. F. J. Pabst","E. P. Heringer","10775","1965","12","05","South America","Brazil","Distrito Federal","Brasília","Lago Israel Pinheiro","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187829' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031860","NY01031860_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1032087","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb.Rodr.","J. Renz","R. Reitz","17619","1965","12","14","South America","Brazil","Paraná",NA,"10 km ao oeste de Guarapuava, Guarapuava","-51.5831495","-25.394435","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190430' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032087","NY01032087_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1031858","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb.Rodr.","G. F. J. Pabst","G. M. Barroso","512","1968","12","21","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187807' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031858","NY01031858_01","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1031859","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb.Rodr.","F. C. Hoehne","F. C. Hoehne","5174","1921","01","27","South America","Brazil","Minas Gerais","Ouro Preto","Miguel Burnier","-43.7730481","-20.4361","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187825' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031859","NY01031859_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1031857","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb.Rodr.","G. F. J. Pabst","G. G. Hatschbach","36080","1975","02","12","South America","Brazil","Minas Gerais",NA,"S. Antonio de Levenger, arredores","-56.074969","-15.86231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187788' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031857","NY01031857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1515836","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb.Rodr.",NA,"Herzog TCJ",NA,"1911","03","01","Southern America","Bolivia",NA,NA,"Im feuchten Wald am Berg noide de, Meson 'bei' Samaipata. *.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515836","NL-L1515836",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:31-03","ESALQ","ESA","87811","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb. Rodr.","Batista, J.A.N.","Batista, J.A.N. et al.","1452.0","2003","11","22",NA,"Brasil","Distrito Federal","Guará",NA,NA,NA,NA,NA,"ESA087811","ESA087811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-31 13:41:03-03","MN","R","142124","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb. Rodr.","Batista, J.A.N.","Chagas e Silva, F.","427","1980","12","15",NA,"Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,"Fundação Instituto Brasileiro de Geografia e Estatística/ Herbário da Reserva Ecológica do IBGE",NA,NA,NA,NA,NA,"1992","05","17","70570","auto",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-31 13:41:03-03","MN","R","13813","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb. Rodr.","Hoehne, F.C.","Hoehne, F.C.",NA,"1919","01","13",NA,"Brasil","Minas Gerais","Poços de Caldas",NA,"-46.5614013671875","-21.7877998352051",NA,"Seção de Botânica/ Museu Paulista",NA,NA,NA,NA,NA,NA,NA,NA,"23696","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:46:54-02","IPA","IPA","17850","S","Plantae","Plantae",NA,"Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha","Barb. Rodr.","Félix, L.P.","Barroso, G.M.; Mª José; Giulietti, A.M.; Mª José; Giulietti, A.M.","512","1968","12","21","Southern America","Brasil","Goiás",NA,"Chapada dos Veadeiros",NA,NA,NA,"Planta com 25cm de altura, com flores alvas, labelo bem distendido. Frequente entre gramineas, droseras, etc.; Brejo.","IPA0017850",NA,NA,NA,NA,"1994","07","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-08-27 13:26:35-03","IAP","PACA-AGP","30932","PreservedSpecimen","Plantae","Magnoliophyta","Orchidales","Orchidaceae","Habenaria","leucosantha","Habenaria leucosantha var. riograndensis","Pabst","J.A.N. Batista","Rambo, B.",NA,"1946","01","02",NA,"Brasil","RS","Caxias do Sul","Vila Oliva","-51.1794013977051","-29.1681003570557",NA,"Conforme Rodriguésia 14(26): 47. 1951 Habitat: In paludosis Fenofase: flor","PACA030932","PACA030932",NA,NA,"Liliatae","2000","06",NA,"49662","auto","var. riograndensis","Isotipo",NA,NA,NA,NA,NA
