"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1145182","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly","D. C. Daly","R. M. Harley","22152","1980","05","16","South America","Brazil","Bahia","Maraú","Near Maraú. Coastal zone. G8.","-39","-14.17","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306824' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145182","NY01145182_01 NY01145182_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1145144","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly","D. C. Daly","S. A. Mori","11415","1979","02","06","South America","Brazil","Bahia","Maraú","Estrada que liga Ponta do Mutá (Porto de Campinhos) a Maraú, a 8 km do Porto. Folha SD (14-39b)","-39.0144","-14.1033",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306592' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145144","NY01145144_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145178","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly","D. C. Daly","R. M. Harley","18423","1977","01","30","South America","Brazil","Bahia","Itacaré","65 km NE of Itabuna, at the mouth of the Rio de Contas on the N bank opposite Itacaré","-39","-14.27",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306657' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145178","NY01145178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1145117","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly","D. C. Daly","M. M. Arbo","7171","1997","01","14","South America","Brazil","Bahia","Valença","Camino a Guaibim, a 6 km de la rodovia Valença-Nazaré, y 1 km a la izquierda","-39.0417","-13.32","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306475' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145117","NY01145117_01","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","566386","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly","D. C. Daly","J. G. Jardim","2620","2000","02","02","South America","Brazil","Bahia","Maraú","Ca. 7 km N do Povoado de Saquaíra, Península de Maraú","-38.9506","-13.9861",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00566386","NY00566386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1145146","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly","D. C. Daly","L. P. de Queiroz","1397","1987","01","04","South America","Brazil","Bahia","Salvador","Dunas de Itapuã, arredores da Lagoa do Abaeté.","-38.35","-12.93",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306595' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145146","NY01145146_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 19:02:00-03","NY","NYBG","720086","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii",NA,NA,"L. A. Mattos Silva","1846","1985","03","07","South America","Brazil","Bahia","Ilhéus","Fazenda Guanabara (junto à Fazenda Barra do Manguinho).Ramal com entrada no km 10 da rod. ILhéus/Olivença, lado direito, 4 km a oeste da rodovia.","-39.0492","-14.7892",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720086","NY00720086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1145159","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly","D. C. Daly","W. W. Thomas","9516","1992","11","15","South America","Brazil","Bahia","Itacaré","Campo Cheiroso, 14 km north of Serra Grande off the road to Itacaré","-39.07","-14.37",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306621' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145159","NY01145159_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1145148","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly","D. C. Daly","L. P. de Queiroz","3129","1993","04","27","South America","Brazil","Bahia","Salvador","Dunas de Itapuã, ao lado do Condomínio Alamedas da Praia, em volta da lagoa do Urubu.","-38.5106","-12.9711",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306598' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145148","NY01145148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","720085","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly",NA,"C. Farney","2836","1991","11","16","South America","Brazil","Sergipe","Santo Amaro das Brotas","Rodovia SE226 - proximo ao Rio Pomonga","-37.0544013977051","-10.7889003753662",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720085","NY00720085_01",NA,"21551","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","720083","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Tetragastris","occhionii","Tetragastris occhionii","(Rizzini) Daly",NA,"J. Almeida","138","1968","10","11","South America","Brazil","Bahia","Maraú","4 km de Maraú","-39.015311","-14.10395",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2528282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720083","NY00720083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
