"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","typeStatus","continentOcean","imagecode","fieldNumber","preparationType","class"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1190","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","glazioui","Cryptanthus glazioui","Mez.","Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça - Padre Caio/Cascatona","-43.4152984619141","-19.959400177002","33136","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","2642","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","glazioui","Cryptanthus glazioui","Mez.","Brasil","Minas Gerais","Catas Altas","Bocaina, Serra do Caraça.","-43.4075012207031","-20.0746994018555","11966","1","254","auto","Carlos A. Ferreira Jr.","2013","06","19","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","19","20º 05' 47S","43º 27' 53W","1310","1310",NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","2683","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","glazioui","Cryptanthus glazioui","Mez.","Brasil",NA,"Catas Altas","Serra do Caraça, Padre Caio","-43.4075012207031","-20.0746994018555","11966","1","254","auto","Carlos A. Ferreira Jr.","2013","06","20","Carlos Alberto F. Jr.; Juliana Ordones","caf","2013","06","20","20º 05' 04S","43º 29' 06W","1296","1296",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:15-03","UFRJ","RFA","Foto 43301","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii","Mez","Brasil","Minas Gerais","Minas Gerais","Serra do Caraça",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1884","02","18",NA,NA,NA,NA,"RFA-Foto45278",NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:37:51-02","BGBM","B","B 10 0157413","S","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii",NA,"Brazil",NA,NA,"Rio de Janeiro.",NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100157413 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,"A. F. M. Glaziou","15672 a",NA,NA,NA,NA,NA,NA,NA,"B100157413","holotype","Middle and South America","B100157413 B100157413_1",NA,NA,NA
"6","2016-02-02 14:37:51-02","BGBM","B","B 10 0157412","S","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Cryptanthus glaziouii Mez <a href=http://herbarium.bgbm.org/object/B100157412 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,"A. F. M. Glaziou","15672 a",NA,NA,NA,NA,NA,NA,NA,"B100157412","type","Middle and South America","B100157412 B100157412_1",NA,NA,NA
"7","2020-12-20 21:16:23-03","UFV","VIC","026376","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","glazioui","Cryptanthus glazioui","Mez.","Brasil","Minas Gerais","Viçosa","UPCB, Projeto Gravatá.","-42.8819007873535","-20.7539005279541","13937",NA,"Folha vinho na face abaxiale verde no centro de margens vinho na face adaxial, sépalas paleáceas e pétalas brancas.","auto",NA,NA,NA,NA,"de Paula, C.C.","s.n.","2002","04","02",NA,NA,NA,NA,"VIC026376",NA,NA,"VIC026376",NA,NA,NA
"8","2021-03-16 17:54:13-03","UCS","HUCS","1479","PreservedSpecimen","Plantae","Angiospermae","Poales","Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii","Mez","Brasil","Bahia","Castro Alves","BR 342, km 30","-39.4282989501953","-12.7656002044678","26883",NA,"Terreste","auto",NA,NA,NA,NA,"Costa, A.L.","s.n.","1975","05","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-03-13 09:19:09-03","MNHN","RECOLNAT_MNHN_P","P00064886","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Cryptanthus","glazioui","Cryptanthus glazioui","Mez","Brésil",NA,NA,"Province de Minas : Caraça",NA,NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00064886' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Ramirez",NA,NA,NA,"Glaziou, A.",NA,"1884","2","18",NA,NA,NA,NA,"P00064886","syntype",NA,"P00064886_01","15672 a","hb",NA
"10","2020-12-11 11:43:29-03","UFMG","BHCB","191519","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii","Mez","Brasil","Minas Gerais","Brumadinho","Fazenda Cachoeira","-44.019167","-20.094722",NA,NA,"Erva, 0,20 m. Frutos imaturos verdes.; Campo Rupestre Quartzítico",NA,NA,"2018","08","17","Paiva, JAM; Souza, JAM; Silva, SHA","1638","2018","01","30","-44.019167","-20.094722","1101","1101","BHCB191519",NA,"Southern America",NA,NA,NA,NA
"11","2020-12-11 11:43:29-03","UFMG","BHCB","191609","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii","Mez","Brasil","Minas Gerais","Brumadinho","Serra da Moeda","-43.992222","-20.115",NA,NA,"Erva, 0,25 m. Flor branca.; Campo Rupestre Quartzítico",NA,NA,"2018","08","17","Souza, JAM; Correia, DR; Silva, SHA","143","2017","11","07","-43.992222","-20.115","1442","1442","BHCB191609",NA,"Southern America",NA,NA,NA,NA
"12","2020-12-11 11:43:29-03","UFMG","BHCB","69772","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii","Mez","Brasil","Minas Gerais","Brumadinho","Retiro das Pedras. Cachoeira Ostra.","-44.1996994018555","-20.1432991027832","26639",NA,"Flor branca","auto",NA,NA,NA,NA,"Leite, FSF","s.n.","2002","11","15",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"13","2020-12-11 11:43:29-03","UFMG","BHCB","58091","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii","Mez","Brasil","Minas Gerais","Santa Bárbara","Serra de Catas Altas.","-43.4152984619141","-19.959400177002","33136",NA,NA,"auto",NA,NA,NA,NA,"Mendes Magalhães","2693","1943","02","02",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
"14","2020-12-11 11:43:29-03","UFMG","BHCB","80030","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii","Mez","Brasil","Minas Gerais","Catas Altas","Serra do Caraça.","-43.4075012207031","-20.0746994018555","11966",NA,"Frutos imaturos verdes; Planta coletada em campo rupestre.","auto",NA,"2010",NA,NA,"Mota, RC da","1856","2002","03","10",NA,NA,NA,NA,"BHCB040222",NA,"Southern America",NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1088367","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","glaziouii","Cryptanthus glaziouii","Mez","Brazil","Minas Gerais",NA,"Caraca.",NA,NA,NA,NA,NA,NA,"I.M. Ramirez (MO)",NA,NA,NA,"Auguste F.M. Glaziou","Glaziou 15672A","1861",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"16","2019-09-04 19:27:28-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Cryptanthus","glaziovii","Cryptanthus glaziovii",NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"A. Glaziou","15672a","1884","2","18",NA,NA,NA,NA,NA,"Isotype","South America",NA,NA,NA,"Monocotyledoneae"
"17","2017-09-11 16:27:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Cryptanthus","glazioui","Cryptanthus glazioui","Mez","Brazil",NA,NA,"Habitat in Brasilia orientali, loco ignoto",NA,NA,NA,NA,"(V. s. in herb. Berol.)",NA,NA,NA,NA,NA,"Glaziou, AFM","15672a",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA
