"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00916457","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","W. R. Anderson","11541","1975","02","23","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço, 40-50 km SW of Diamantina on BR-259","-43.75","-18.52","1130","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916457","NY00916457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00916495","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.",NA,"G. Martinelli","11201","1985","07","20","South America","Brazil","Minas Gerais","Grão Mogol","Estrada Porto Mandacarú - Grão Mogol.","-42.8894","-16.5594","600","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916495","NY00916495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916458","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","W. R. Anderson","35105","1972","02","02","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço, ca. 35 km SW of Gouveia, km 243 on MG-259","-43.98545","-18.6094","1080","1080","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916458","NY00916458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02361284","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.",NA,"F. Sellow","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Itambé.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2547377' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361284","NY02361284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02361283","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.",NA,"F. Sellow","s.n.","1818","09","20","South America","Brazil",NA,NA,"Serra do Ouro Branco.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2547376' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361283","NY02361283_01 NY02361283_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00916474","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","G. G. Hatschbach","28857","1972","01","18","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Fda. Palacio.","-43.7447","-19.5136",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916474","NY00916474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00916499","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","A. Rapini","C. M. Sakuragui","15223","1994","03","19","South America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral 2-8 km NW da cidade na estrada para a Torre de TV e a Fazenda Bocaina.","-44.18639","-17.75153","850","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916499","NY00916499_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00916476","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","R. S. Santos","24300","1963","09","20","South America","Brazil","Minas Gerais",NA,"Entre Riacho Verde e Francisco.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916476","NY00916476_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00916492","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","M. C. H. Mamede","A. M. Giulietti","4517","1984","07","15","South America","Brazil","Minas Gerais","Rio Vermelho","Pedra Menina, Morro do Ambrósio.","-43.044518","-18.106432",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916492","NY00916492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00916454","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","W. R. Anderson","8416","1973","04","09","South America","Brazil","Minas Gerais",NA,"12 km by road W of Diamantina on road to Curvelo. Serra do Espinhaço.","-43.68024","-18.32666","1450","1450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916454","NY00916454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00916441","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","H. S. Irwin","20841","1968","02","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 20km N. of Sêrro on road (MG 2) to Diamantina.","-43.57","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916441","NY00916441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00916460","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","W. R. Anderson","36088","1972","02","17","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, Serra do Cipó","-43.565347","-19.391335","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916460","NY00916460_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00916462","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","J. M. Pires","44672","1959","12","19","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, 3.5 miles from Hotel Chapeu de Sol.",NA,NA,"3700","3700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988483' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916462","NY00916462_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00916446","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","H. S. Irwin","25495","1970","01","28","South America","Brazil","Minas Gerais","Patrocínio","Morro da Pedras, ca. 25 km N.E. of Patrocínio","-46.9925","-18.9439","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916446","NY00916446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00916442","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","H. S. Irwin","22394","1969","01","21","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 20 km S.W. of Diamantina","-43.6836","-18.358","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988242' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916442","NY00916442_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00916464","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","J. M. Pires","44725","1959","12","22","South America","Brazil","Minas Gerais",NA,"49 miles from Diamantina.",NA,NA,"3800","3800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916464","NY00916464_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00916461","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","J. M. Pires","44681","1959","12","19","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, 3.5 miles from Hotel Chapeu de Sol.",NA,NA,"3700","3700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916461","NY00916461_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00916488","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Tetrapterys","microphylla","Tetrapterys microphylla","(A.Juss.) Nied.","W. R. Anderson","L. Emygdio de Mello Filho","3485","1972","07","18","South America","Brazil","Minas Gerais",NA,"Gandarela",NA,NA,"1110","1110","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916488","NY00916488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
