"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","barcode","class","order","occurrenceRemarks","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","eventTime","individualCount","fieldNumber"
"1","2021-03-30 12:49:43-03","EAO","IAN","94596","PreservedSpecimen","Plantae","Dicotiledônea","Scrophulariaceae","Nothochilus","coccineus","Nothochilus coccineus","Radlk.","Brade, AC","1941","Brade, AC","16967","1941","09","13","Southern America","Brasil","Minas Gerais","Serra do Caparaó.","2700","2700","IAN094596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:34:01-03","NBC","NL-BOTANY","U.1727223","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Nothochilus","coccineus","Nothochilus coccineus","Radlk.",NA,NA,"Brade AC",NA,"1941","09","13","Southern America","Brazil",NA,"Est. Minas Gerais - Serra do Ca-paraó.",NA,NA,"NL-U1727223","Magnoliopsidae","Lamiales","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1727223 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1727223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:34:01-03","NBC","NL-BOTANY","U.1727224","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Nothochilus","coccineus","Nothochilus coccineus","Radlk.",NA,NA,"Brade AC",NA,"1941","09","13","Southern America","Brazil",NA,"Est. Minas Gerais - Serra do Ca-paraó.",NA,NA,"NL-U1727224","Magnoliopsidae","Lamiales","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1727224 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1727224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:48-03","ESALQ","ESA","125874","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Nothochilus","coccineus","Nothochilus coccineus",NA,"Rocha, L.C.F.",NA,"Azul","71.0","1905","07","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"ESA125874",NA,NA,NA,NA,"Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:17:48-03","ESALQ","ESA","28084","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Nothochilus","coccineus","Nothochilus coccineus",NA,NA,NA,"Leoni, L.S.","3436.0","1996","08","08",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA028084",NA,NA,NA,"ESA028084","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:48-03","ESALQ","ESA","37376","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Nothochilus","coccineus","Nothochilus coccineus",NA,NA,NA,"Souza, V.C.; Leoni, L.S.; Souza, J.P.; Mazine, F.F.",NA,"1996","09","02",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA037376",NA,NA,NA,"ESA037376","Alto Caparaó","-41.8683013916016","-20.4333000183105","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:48-03","ESALQ","ESA","81087","PreservedSpecimen","Plantae","Magnoliophyta","Orobanchaceae","Nothochilus","coccineus","Nothochilus coccineus",NA,"Souza, V.C.",NA,"Souza, V.C.; Mazine, F.F.; Tsuji, R.","26984.0","2001","08","27",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó. Trilha entre o Terreirão e o Pico da Bandeira. Campo de altitude.",NA,NA,"ESA081087",NA,NA,NA,NA,"Alto Caparaó","-41.8683013916016","-20.4333000183105","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:55:40-03","JBP","HPL","5175","S","Plantae",NA,"Orobanchaceae","Nothochilus","coccineus","Nothochilus coccineus","Radlk.","R. Tsuji","2005","H. Lorenzi","5529","2005","08","25",NA,"Brasil","MG","Coletada na estrada de terra, trilha, que da acesso ao Pico da Bandeira em mata de altitude, pouco comum.","2700","2700",NA,NA,NA,NA,NA,"Alto Caparaó","-41.8683","-20.4333","21645","auto","08","25",NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:33:12-03","IAP","PACA-AGP","3053","PreservedSpecimen","Plantae","Magnoliophyta","Scrophulariaceae","Nothochilus","coccineus","Nothochilus coccineus","Radlk.","Emrich-Rambo",NA,"Rambo, B.",NA,"1938","01","28",NA,"Brasil","RS","Perto de São Luiz.",NA,NA,"PACA003053","Magnoliatae","Scrophulariales","Sem material. Habitat: In campestribus graminosis. Fenofase: flor",NA,"Caaró",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:19:27-03","UFV","VIC","033794","PreservedSpecimen","Plantae",NA,"Scrophulariaceae","Nothochilus","coccineus","Nothochilus coccineus","Radlk",NA,NA,"Valente, G.E.; et al.","2031","2008","03","11",NA,"Brasil","Minas Gerais","Serra de Ouro Branco",NA,NA,"VIC033794",NA,NA,"Planta de cerca de 40 cm, em fresta de rocha quartzitica, de fruos jovens envoltos por um grande cálice laranja.",NA,"Ouro Branco","-43.6918983459473","-20.5207996368408","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
