"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","typeStatus","class","verbatimLongitude","verbatimLatitude","monthIdentified","individualCount","dayIdentified","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","1290597","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","torquata","Mouriri torquata","Morley","S. A. Mori","15779","1983","09","03","South America","Brazil","Amapá","Camaipi. EMBRAPA reserve and vicinity","-51.62","0.17","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01290597","NY01290597_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-12-15 14:59:00-02","NY","NYBG","1290598","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","torquata","Mouriri torquata",NA,"B. M. Boom","8640","1988","11","25","South America","Brazil","Amazonas","Distrito Agropecuario, Reserva 1501 (km 41) of the WWF/INPA MCS project.","-59.74583","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759995' target='other'> <mi>dwc_moreinfo</mi></a>","NY01290598","NY01290598_01","Manaus","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-12-15 14:59:00-02","NY","NYBG","1290599","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","torquata","Mouriri torquata",NA,"B. V. Rabelo","3062","1984","12","23","South America","Brazil","Amapá","Road under construction which will connect Macapá and Monte Dourado, vicinity of Rio Preto, 73-80 km WSW of Macapá","-51.78","-0.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759996' target='other'> <mi>dwc_moreinfo</mi></a>","NY01290599","NY01290599_01","Mazagão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-12-15 14:59:00-02","NY","NYBG","1290600","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Mouriri","torquata","Mouriri torquata",NA,"M. A. Freitas","19","1990","08","22","South America","Brazil","Amazonas","Distrito Agropecuário, Reserva 1501 - km 41 da Smithsonia/INPA - Projeto Dinâmica Biológica dos Fragmentos Florestais.","-54.82083","-2.41625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1759997' target='other'> <mi>dwc_moreinfo</mi></a>","NY01290600","NY01290600_01",NA,"50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:44:46-03","EAO","IAN","101671","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Mouriri","torquata","Mouriri torquata","Morley","Pires, JM","7296",NA,NA,NA,"Southern America","Brasil","Pará","FAO. Árvore n¤s: 157 UUTT; 209 UUTT; 429 RRSS; 63 F15; 339 RRSS; 378 RRSS; 286 RRSS; 20 E UU; 355 RRSS; 277 F10; 341 RRSS; 269 F10; 241 F8; 249 F8; 21 FD11; 60F15; 76 F15; 184 F5; 71 F13; 73 F13; 67 F13; 129 F14; 161 F15.",NA,NA,NA,NA,"IAN101671",NA,NA,NA,NA,"Morley, T","1968","paratipo",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:44:46-03","EAO","IAN","90247","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Mouriri","torquata","Mouriri torquata","Morley","Fróes, RL","32509","1955","12","03","Southern America","Brasil","Pará","Rio Acaraí, afluente do Xingu, região do levantamento estatístico florestal feito pelo IAN, SPVEA e FAO.&nf;Mata de terra firme, flanco do planalto.",NA,NA,NA,"Árvore de 8 m. altura.","IAN090247",NA,NA,NA,NA,NA,NA,"paratipo",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:04:47-03","NBC","NL-BOTANY","U.1389682","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Mouriri","torquata","Mouriri torquata","Morley","Boom BM; Pacheco M; Palheta E; Souza S de",NA,"1988","11","25","Southern America","Brazil",NA,"Amazonas: Distrito Agropecuario, Reserva 1501 (km 41) of the WWF/INPA MCS project, non flooded moist forest.","-59.740833","-2.413083",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1389682 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1389682","NL-U1389682",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","-59.740833","-2.413083",NA,NA,NA,NA,NA
"8","2013-04-01 09:18:36-03","IPT","BCTW","9140","S","Plantae","Magnoliophyta",NA,NA,"Mouriri","torquata","Mouriri torquata","Morley","Pires J.M.","7296",NA,NA,NA,NA,"Brasil","Pará","Fao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"9","2013-04-01 09:18:36-03","IPT","BCTW","18708","S","Plantae","Magnoliophyta",NA,NA,"Mouriri","torquata","Mouriri torquata","T.Morley","Murça Pires, J.","7296",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA
"10","2008-05-27 22:02:00-03","MO","MOBOT","3261320","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Mouriri","torquata","Mouriri torquata","Morley","Benedito V. Rabelo","Rabelo 3062","1984","12","23","South America","Brazil","Amapá","Municipio de Mazagao, road under construction which will connect Macapa and Monte Dourado, vicinity of rio Preto, 73-80 km WSW of Macapa. Non-inundated moist forest.","-51.78333","0.1",NA,NA,NA,NA,NA,NA,NA,"Morley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
