"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount"
"1","2021-04-05 14:24:50-03","UNESC","CRI","9579","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","M. Nadruz","2010","06","11","M. Verdi; N. L. de Souza e G. Klemz","3754","2010","02","24","Brasil","Santa Catarina","Orleans","Taipa.","-49.231944","-28.352778","49º13'55''W","28º21'10''S","345","345","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: hemiepífita","CRI000585","CRI000585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:13-03","UNESC","CRI","9081","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","A. L. Gasper","2010","07","29","T.J. Cadorin; S.M. Clemes & C.P.L. Oliveira","2115","2010","05","10","Brasil",NA,"Brasil","Braço esquerdo.","-49.235556","-26.365","49º14'8''W","26º21'54''S","417","417","Floresta Ombrófila Densa Habitat: próximo a cachoeira Habito: liana","CRI000588","CRI000588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:50-03","UNESC","CRI","13371","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","Aline Guislon, Altamir Antunes, Guilherme Elias, Peterson Padilha & Renato Colares","2018","07","05","Aline Guislon, Altamir Antunes, Guilherme Elias, Peterson Padilha & Renato Colares",NA,"2018","07","05","Brasil","Santa Catarina","Lauro Muller",NA,"-49.515278","-28.393056","49º30'55''W","28º23'35''S","743","743","Habitat: Terrestre Habito: Hemiepífita","CRI011978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:13-03","UNESC","CRI","9053","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","A. L. de Gasper","2010","06","24","A. Korte; A. Kniess","3516","2010","06","01","Brasil","Santa Catarina","Vitor Meireles","Serra Cambará.","-49.834722","-26.881944","49º50'5''W","26º52'55''S","382","382","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI000587","CRI000587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","495395","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","J. F. Barbosa",NA,NA,NA,"A. C. Cervi","2540","1987","11","29","Brazil","Paraná","Foz do Iguaçu","Parque Nacional de Foz do Iguaçu","-54.58","-25.55",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495395","NY00495395_01","Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","495391","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","M. A. Nadruz Coelho",NA,NA,NA,"G. G. Hatschbach","20552","1968","12","07","Brazil","Paraná","Sao Jorge d'Oeste","Rio Iguaçu, Salto Osório","-53.008927","-25.537385",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495391","NY00495391_01","Magnoliophyta","Alismatales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","495394","PreservedSpecimen","Plantae","Araceae","Philodendron","ochrostemon","Philodendron ochrostemon uleanum","Engl.","R. Reitz",NA,NA,NA,"L. B. Smith","9924","1957","01","04","Brazil","Santa Catarina","Concórdia","Rocky banks and bed of Rio Uruguai Estreito do Uruguai, near Barra do Veado","-52.0278","-27.2344",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495394","NY00495394_01","Magnoliophyta","Alismatales","South America","sheet","uleanum",NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:18:55-03","UFRJ","RFA","11980","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","M. Nadruz","2006","12","07","G.G. Hatschbach; O. Guimarães","20565","1968","12","08","Brasil","Paraná","Laranjeiras do Sul","Campo Novo","-52.4160995483398","-25.4078006744385",NA,NA,NA,NA,"Cresce na base das árvores, principalmente do pinheiro","RFA52344",NA,NA,NA,NA,NA,NA,"28404","auto",NA,NA,NA,NA
"9","2020-11-24 17:10:26-03","UTFPR","DVPR","6339","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","Silva, DR","2018","07","13","Silva, DR; Tcatch, BG; Dama, VJ; Moura, AP","389","2018","07","13","Brasil","Paraná","Capanema","Futuro reservatório da UHE Baixo Iguaçu, Mata da sanguinha a esquerda do rio Iguaçu, mais de 600 da balsa.","-53.8088989257812","-25.6718997955322",NA,NA,"245","245","Erva hemiepífita. Folhas glabras, lisas, membranáceas. Espádice variando de alva a verde. Espata verde.; Floresta Estacional Semidecidual em estágio médio de sucessão secundária. Associação entre Latossolo e Nitossolo Vermelhos.","DVPR006339",NA,"Magnoliophyta",NA,NA,NA,NA,"23753","auto",NA,NA,NA,NA
"10","2020-11-24 17:10:26-03","UTFPR","DVPR","3817","PreservedSpecimen","Plantae","Araceae","Philodendron","missionum","Philodendron missionum","(Hauman) Hauman","Caxambu, MG","2015","12","29","Siqueira, EL; Chagas, MP","1843","2015","11","26","Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, Trilha das Bananeiras","-54.25504","-25.39217","-54.25504","-25.39217","206","206","erva hemi-epífita, semi-ciófila, com exsudaado incolor. Espigas alvacentas.; Relevo: suave-ondulado - Vegetação: Floresta Estacional Semidecidual Submontana.","DVPR003817",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
