"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-01 16:33:32-03","UNICAMP","UEC","83954","S","Plantae","Magnoliopsida","Malvaceae","Abutilon","nigricans","Abutilon nigricans","G.L.Esteves & Krapov.","Takeuchi, C","holotypus","Macias, L; Goldenberg, R; Koch, I; Árbocz, GF; Belinello, R","96.142","1996","05","25","Brazil","São Paulo","Piquete","Mata de altitude, alternando com campo montano. Margem da estrada para São Francisco dos Campos.","-45.1699981689453","-22.6100006103516","13434","Arbusto de 2,5m, pecíolos, ponta de ramos e nervuras foliares escuros, quase negros, flores rose-claro com tubo estaminal amarelo.; Mata de altitude alternando com campo montano.","UEC123803","UEC123803","auto",NA,NA,NA,NA,NA,NA,NA
"2","2020-07-23 10:20:51-03","IBt","SP","426942","S","Plantae",NA,"Malvaceae","Abutilon","nigricans","Abutilon nigricans","G.L.Esteves & Krapov.","Takeuchi, C",NA,"Takeuchi, C; Martins, SE","69","2010","05","23","Brasil","São Paulo","Piquete","Estrada para o Pico do Ataque, próximo à Rodovia Lorena-Itajubá","-45.244167","-22.576667",NA,NA,NA,NA,NA,"-45.244167","-22.576667",NA,NA,NA,NA,NA
"3","2020-07-23 10:20:51-03","IBt","SP","370098","S","Plantae",NA,"Malvaceae","Abutilon","nigricans","Abutilon nigricans","G.L.Esteves & Krapov.","Takeuchi, C",NA,"Martins, SE; Moreira, BA","849","2004","07","01","Brasil","São Paulo","Piquete","Estrada do Morro do Ataque","-45.1699981689453","-22.6100006103516","13434",NA,NA,NA,"auto",NA,NA,"2011","03","05","1700","1700"
"4","2019-11-21 10:09:22-03","IBt","SP","299525","S","Plantae",NA,"Malvaceae","Abutilon","nigricans","Abutilon nigricans","G.L.Esteves & Krapov.","Takeuchi, C","Isotype","Macias, L; Goldenberg, R; Koch, I; Árbocz, GF; Belinello, R","96-142","1996","05","25","Brasil","São Paulo","Piquete","Margem da estrada para São Francisco dos Campos","-45.1699981689453","-22.6100006103516","13434",NA,"SP003254","SP003254","auto",NA,NA,NA,NA,NA,NA,NA
