"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","previousCatalogNumber","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00697157","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","L. B. Smith; R. J. Downs","R. Reitz","5142","1957","10","17","South America","Brazil","Santa Catarina","Campo Alegre","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=831627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00697157","NY00697157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","770186","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","S. D. Knapp","P. K. H. Dusén","7103","1908","11","16","South America","Brazil","Paraná",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00770186","NY00770186_01","Itaperuçu","-49.3478","-25.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","172057","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs",NA,"L. B. Smith","7321","1956","11","06","South America","Brazil","Santa Catarina","Campo and pinheiral, 4 km south of Campo Alegre on the road to Jaraguá do Sul","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00172057","NY00172057_01","Campo Alegre","-49.2656","-26.1925","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","15230","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Anonymous","s.n.","1956","11","06","Southern America","Brazil","Santa Catarina","4 km S of Porto Alegre on road to Juruagá do Sul","900","1000",NA,NA,NA,NA,"Porto Alegre",NA,NA,"clonotype","Dicotyledoneae","2002","01","01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","27393","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Dusén, P.","7103","1908","11","16","Southern America","Brazil","Paraná","Itaperuçu",NA,NA,NA,"in apertis silvae primavae",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","2007","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","27394","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Dusén, P.","1005a","1914","09","27","Southern America","Brazil","Paraná","Itaperuçu","880","880",NA,"ad marginem silvae",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","2011","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","27394","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Dusén, P.","1005a","1914","09","27","Southern America","Brazil","Paraná","Itaperuçu","880","880",NA,"ad marginem silvae",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","2011","03",NA,"948226-411",NA,NA,NA,NA,NA,NA,NA
"8","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","54634","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Dusén, P.","8754","1909","09","25","Southern America","Brazil","Paraná","Piraquara",NA,NA,NA,"ad marg. paludis","L0403932",NA,NA,NA,NA,NA,"Dicotyledoneae","2011","03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","7495","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Anonymous","s.n.","1956","11","06","Southern America","Brazil","Santa Catarina","4 km S of Porto Alegre on road to Juruagá do Sul","900","1000",NA,NA,NA,NA,"Porto Alegre",NA,NA,"isotype","Dicotyledoneae","2002","01","01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","15106","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Anonymous","s.n.","1956","11","06","Southern America","Brazil","Santa Catarina","4 km S of Porto Alegre on road to Juruagá do Sul","900","1000",NA,NA,NA,NA,"Porto Alegre",NA,NA,"clonotype","Dicotyledoneae","2002","01","01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","26079","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Brade, A.C.","20138","1949","10","06","Southern America","Brazil","São Paulo","Bananal, Serra da Bocaina, Sertão do Rio Vermelho.","1200","1200",NA,"Pequena árvore 2-3 m de altura, flores alvas.","BM000935454",NA,NA,NA,NA,NA,"Dicotyledoneae","1996","01","01",NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","27395","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Dusén, P.","7186","1908","11","17","Southern America","Brazil","Paraná","Itaperuçu","880","880",NA,"in silvula",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","2007","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","96267","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Barboza, G.E.; Filippa, E.M.; Gutierrez, M.A.","1620","2006","02","24","Southern America","Brazil","Santa Catarina","a 4.9 km de la Prefectura Municipal Campo Alegre, 200 m de la Torre de alta tensión, a la izquierda de camino","960","960",NA,"arbusto o subarbusto de ca. 60 cm; frutos inmaturos verde claro-grisáceos; abunda en los bordes de un bosque de araucarias; en los bordes de un bosque de araucarias","BM001120398",NA,"Campo Alegre","-49.245556","-23.223611",NA,"Dicotyledoneae","2014","01","01",NA,"-49.245556","-23.223611",NA,NA,NA,NA,NA
"14","2015-02-10 11:46:26-02","BM","SOLANACEAE_SOURCE_BR","7496","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp, S.","Anonymous","s.n.","1956","11","06","Southern America","Brazil","Santa Catarina","4 km S of Campo Alegre on the road to Juruagá do Sul","900","1000",NA,NA,NA,NA,"Campo Alegre","-49.2656","-26.1925","holotype","Dicotyledoneae","2002","01","01",NA,NA,NA,"37493","auto",NA,NA,NA
"15","2020-02-08 10:36:17-03","NBC","NL-BOTANY","L.2879752","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs",NA,"Jönsson G",NA,"1914","09","27","Southern America","Brazil",NA,"Parana: Itaperussu, ad marg. silvulae.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2879752 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2879752","NL-L2879752",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:36:17-03","NBC","NL-BOTANY","L.2879753","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Knapp SD","Dusén PKH",NA,"1909","09","25","Southern America","Brazil","Paraná",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2879753 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2879753","NL-L2879753",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,"L 0403932",NA,NA
"17","2020-10-14 10:06:45-03","FURB","FURB","10144","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Sobral, M","Verdi, M.; Dreveck, S. & Godoy, M.B.","160","2008","01","15",NA,"Brasil","Santa Catarina","Minas de Caulim.","1005","1005",NA,"Florística IFFSC 1024. Habitat: Floresta Ombrófila Mista; Estágio médio de regeneração; estepe Habito: Fruto verde; flor sépalas verdes","FURB03600","FURB03600","São Bento do Sul","-49.2283334","-26.2780556",NA,NA,"2008","06","24",NA,"-49.2283334","-26.2780556",NA,NA,NA,NA,NA
"18","2020-10-14 10:06:45-03","FURB","FURB","33767","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","kleinii","Solanum kleinii","L.B.Sm. & Downs","Stehmann, JR","Dreveck, S.; Verdi, M.","2438","2010","10","11",NA,"Brasil","Santa Catarina","Rio Vermelho Estação - APA Rio Vermelho/Humbold.","1010","1010",NA,"Plano de Manejo APA do Rio Vermelho/Humbold Habitat: Floresta Ombrófila Mista; Estágio Médio Habito: arbusto; flor branca","FURB44182","FURB44182","São Bento do Sul","-49.2638889","-26.2705556",NA,NA,"2011","06",NA,NA,"-49.2638889","-26.2705556",NA,NA,NA,NA,NA
