"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-04-05 14:25:29-03","UNESC","CRI","11512","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","A. A. de Oliveira","2010","02","17","A. Korte; A. Kniess","2195","2010","02","17","Brasil","Santa Catarina","Apiúna","Faxinalzinho.","-49.393611","-27.180278","49º23'37''W","27º10'49''S","793","793","Floresta Ombrófila Densa","CRI004170","CRI004170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:29-03","UNESC","CRI","9601","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","A. Korte","2010","09","22","A. Korte; A. Kniess","3372","2010","05","21","Brasil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí.","-49.230833","-27.09","49º13'51''W","27º5'24''S","601","601","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI004101","CRI004101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:29-03","UNESC","CRI","14928","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","Oliveira, AA de","2010","04","22","Verdi, M.; Klettenberg, D.H. & Klemz, G.","4038","2010","03","17","Brasil","Santa Catarina","Imaruí","Forquilha da Aratingaúba / Parque Estadual da Serra do Tabuleiro. Forquilha da Aratingaúba / Parque Estadual da Serra do Tabuleiro.","-48.870278","-28.169444","48º52'13''W","28º10'10''S","604","604","Florística IFFSC 148 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbustiva;","CRI014339","CRI014339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777128","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","R. Goldenberg",NA,NA,NA,"I. Isernhagen","327","2000","01","13","Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-49","-24.68",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451871' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777128","NY00777128_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","478175","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"G. F. J. Pabst","4630","1958","12","07","Brazil","Rio de Janeiro","Teresópolis","Represa Comarí na Serra dos Penitentes prope Teresópolis","-42.9656","-22.4122",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478175","NY00478175_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","478169","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","G. G. Hatschbach",NA,NA,NA,"R. Kummrow","2133","1982","12","28","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno, Serra Azul","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478169","NY00478169_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478178","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"R. M. Klein","1929","1956","03","07","Brazil","Santa Catarina","Ibirama","Horto Florestal I.N.P.","-49.5178","-27.0569",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451882' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478178","NY00478178_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02226439","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.",NA,NA,NA,NA,"M. Reginato","1256","2012","01","07","Brazil","Paraná","Guaratuba","Pedra Branca do Araraquara.","-48.90806","-25.93389",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2498892' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226439","NY02226439_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02098969","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","M. Reginato",NA,NA,NA,"F. Almeda","9767","2009","03","10","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgãos. Trail to Pedra do Sino.","-43.01992","-22.45278",NA,NA,"1626","2000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500337' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098969","NY02098969_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","478172","PreservedSpecimen","Plantae","Melastomataceae","Leandra","acutiflora","Leandra acutiflora","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"L. B. Smith","2075","1968","12","06","Brazil","São Paulo","Salesópolis","Boraceia, Estaçao Biologica","-45.886229","-23.65179",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478172","NY00478172_01","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
