"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","class","order","identifiedBy","typeStatus","locality","relatedCatalogItem","occurrenceRemarks","imagecode","preparationType","fieldNumber","year","month","day","yearIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-30 12:45:44-03","EAO","IAN","18425","PreservedSpecimen","Plantae","Dicotiledônea","Myrtaceae","Calyptranthes","regeliana","Calyptranthes regeliana","Berg","Riedel, L","804","Southern America","Brasil","IAN018425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:05:50-03","NBC","NL-BOTANY","U 0004964","PreservedSpecimen","Plantae",NA,"Myrtaceae","Calyptranthes","regeliana","Calyptranthes regeliana","Berg","Riedel L",NA,"Southern America","Brazil","NL-U0004964","Magnoliopsidae","Myrtales","McVaugh R","isotype","Coperania.","67697 B","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200004964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0004964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-03 19:58:03-03","MNHN","RECOLNAT_MNHN_P","P00723178","PreservedSpecimen",NA,NA,"Myrtaceae","Neomitranthes","regeliana","Neomitranthes regeliana","(O.Berg) M.C.Souza","Riedel, L.",NA,NA,"Brésil","P00723178",NA,NA,"Lourenço",NA,NA,NA,"Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723178' target='other'> <mi>dwc_moreinfo</mi></a>","P00723178_01","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-04 20:36:31-03","MNHN","RECOLNAT_MNHN_P","P05203875","PreservedSpecimen",NA,NA,"Myrtaceae","Neomitranthes","regeliana","Neomitranthes regeliana","(O.Berg) M.C.Souza","Riedel",NA,NA,"Brasil","P05203875",NA,NA,"Lourenço",NA,"Coparanea. Brasil, América do Sul",NA,". . 1859. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05203875' target='other'> <mi>dwc_moreinfo</mi></a>","P05203875_01","hb","304","1859","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:39:01-03","UFMG","BHCB","104654","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Calyptranthes","regeliana","Calyptranthes regeliana","O.Berg","Lino, AM","60","Southern America","Brasil","BHCB000759",NA,NA,NA,NA,"Reserva Florestal de Linhares, próximo da estrada 161.",NA,"Crescendo em mata de tabuleiro sobre um arbusto de +-5 m de altura, com flor branca com botão floral verde claro.","BHCB000759",NA,NA,"1972","05","26","2007","Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA
"6","2019-10-07 09:34:52-03","UEFS","HUEFS","87743","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Calyptranthes","regeliana","Calyptranthes regeliana","O.Berg","Riedel","804",NA,"Brasil","HUEFS0087743","Rosanae","Myrtales",NA,"Isótipo","Caperania.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-07 09:34:52-03","UEFS","HUEFS","87742","PreservedSpecimen","Plantae","Angiospermae","Myrtaceae","Calyptranthes","regeliana","Calyptranthes regeliana","O.Berg","Riedel","804",NA,"Brasil","HUEFS0087742","Rosanae","Myrtales",NA,"Isótipo","Caperania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-09-04 18:42:25-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Myrtaceae","Calyptranthes","regelliana","Calyptranthes regelliana",NA,"L. Riedel","804","South America","Brazil",NA,"Dicotyledoneae",NA,NA,"Possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA
"9","2019-11-01 15:06:43-03","UnB","UB","195041","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Neomitranthes","regeliana","Neomitranthes regeliana","(O.Berg) M.Souza","Folli, DA","3034","Southern America","Brasil",NA,NA,NA,NA,NA,"Reserva Natural da CVRD. Estrada Flamengo, km 4,2. Linha 06 P.55",NA,"Árvore. Flor branca, botão branco. Exsudação de seiva incolor; Mussununga",NA,NA,NA,"1997","06","03",NA,"Espírito Santo","Linhares","-40.0722007751465","-19.3910999298096","48094","auto",NA,NA,NA,NA
"10","2017-09-11 17:11:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Myrtaceae","Calyptranthes","regeliana","Calyptranthes regeliana","O.Berg","Riedel, L","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,"in silvis umbrosis, prope vicum Esperanca",NA,"Oreas; HABITAT: Oreas",NA,NA,NA,NA,NA,NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA
