"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","503486","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis","cordata","Acalypha brasiliensis cordata","Müll.Arg.","L. B. Smith; R. J. Downs","L. B. Smith","11791","1957","02","24","South America","Brazil","Santa Catarina","Itapiranga","Mato branco (without Araucaria) by Rio Peperiguaçu, Linha Coqueiro","-53.7119","-27.1694","200","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=630438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503486","NY00503486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","246099","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis","longipes","Acalypha brasiliensis longipes","Müll.Arg.",NA,"J. B. E. Pohl","21",NA,NA,NA,"South America","Brazil","Goiás",NA,"Brasilia ad Pedro Alves",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=270534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00246099","NY00246099_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03907130","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis",NA,"Acalypha brasiliensis","Müll.Arg.",NA,"J. R. I. Wood","19154","2003","02","20","South America","Bolivia","Cochabamba","Mizque","Peña colorada, 1.5 km al E de Peña Colorada Carretera Saipina hacia Aiquile","-64.7414","-18.325","2352",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4201069' target='other'> <mi>dwc_moreinfo</mi></a>","NY03907130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","870112","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis",NA,"Acalypha brasiliensis","Müll.Arg.","M. H. Nee","J. E. de Paula","1230","1979","07","27","South America","Brazil","Ceará","Pacatuba","Serra do sítio do Pitaguarí","-38.6203","-3.9844",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870112","NY00870112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","870114","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis",NA,"Acalypha brasiliensis","Müll.Arg.","R. L. Liesner","D. C. Daly","D586","1980","10","11","South America","Brazil","Maranhão","Tuntum","Fazenda Côco, 70 km E of Barra do Corda on BR 226.","-44.72","-5.33",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096065' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870114","NY00870114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","503481","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis",NA,"Acalypha brasiliensis","Müll.Arg.","S. M. Silva","R. M. Britez","s.n.","1993","02","22","South America","Brazil","Paraná","Três Barras do Paraná","Margem do Rio Guaraní","-53.1806","-25.4192",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503481","NY00503481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","870117","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis",NA,"Acalypha brasiliensis","Müll.Arg.","E. P. Killip","Y. E. J. Mexia","4219","1930","01","25","South America","Brazil","Minas Gerais","Carangola","Fazenda da Gramma.","-42.0294","-20.7331","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870117","NY00870117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","870113","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis",NA,"Acalypha brasiliensis","Müll.Arg.","M. H. Nee","R. P. Belém","4a","1964","12","10","South America","Brazil","Distrito Federal","Brasília","Fercal","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096059' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870113","NY00870113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","503488","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis",NA,"Acalypha brasiliensis","Müll.Arg.","M. H. Nee","K. Mizoguchi","980","1979","03","11","South America","Brazil","São Paulo","Mairipora","Jardim da Serra. 30 km NW from Sao Paulo City","-46.58","-23.31","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=529328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503488","NY00503488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02104129","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Acalypha","brasiliensis",NA,"Acalypha brasiliensis","Müll.Arg.","J. A. Kallunki","W. W. Thomas","10392","1994","02","14","South America","Brazil","Bahia","Ilhéus","14.7 km west of Olivença on road to Vila Brasil.","-39.0883","-14.9819",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531616' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104129","NY02104129_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
