"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:39:03-03","E","E","346298","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium","isolectotype","Schomburgk, Robert Hermann","590","1905","01","10","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:383742","<a href=http://data.rbge.org.uk/herb/E00346298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00346298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02171771","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"J. M. Pires","52259","1962","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322517' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171771","Magnoliophyta","Malpighiales","A.St.-Hil.","Amapá","Road to Amapa, Km 134, Agua Azul.","NY02171771_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1552020","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"E. J. Lucas","661","2006","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434115' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552020","Magnoliophyta","Malpighiales","A.St.-Hil.","Minas Gerais","Fazenda Santa Rita, trilha principal.","NY01552020_01","J. L. da Costa Lima","Faria Lemos","-42.0567","-20.7603","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2171816","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"D. C. Daly","1709","1981","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322564' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171816","Magnoliophyta","Malpighiales","A.St.-Hil.","Pará","Serra dos Carajás, 25-30 Km NW of Serra Norte mining camp","NY02171816_01",NA,NA,"-50.433333","-5.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00997136","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"Y. E. J. Mexia","5470","1930","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997136","Magnoliophyta","Malpighiales","A.St.-Hil.","Minas Gerais","Fazenda do Dr. Cristioma; Chacurá.","NY00997136_01","T. C. Plowman","Viçosa","-42.8817","-20.7542","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2171750","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"G. T. Prance","28921","1984","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322473' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171750","Magnoliophyta","Malpighiales","A.St.-Hil.","Amazonas","Base of Serra do Aracá, 0-3km South of Central Massif, 3km E of rio Jauarí","NY02171750_01",NA,NA,"-63.4317094","0.874452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2171795","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"I. Cordeiro","82","1985","06","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322543' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171795","Magnoliophyta","Malpighiales","A.St.-Hil.","Amazonas","Margens do Rio Jauarí, afluente do rio Aracá, 15 km da Serra do Aracá.","NY02171795_01",NA,"Barcelos","-63.366667","-0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1183679","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"D. Sasaki","1908","2008","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452172' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183679","Magnoliophyta","Malpighiales","A.St.-Hil.","Mato Grosso","Parque Estadual Cristalino. Campo, floresta alta aberta e floresta baixa na região sudeste do parque. Entrada pela Fazeznda AJJ.","NY01183679_01","J. L. da Costa Lima","Novo Mundo","-55.19144","-9.584","379","379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2171782","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"J. M. Pires","6485a","1956","12","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2322530' target='other'> <mi>dwc_moreinfo</mi></a>","NY02171782","Magnoliophyta","Malpighiales","A.St.-Hil.","Pará","Campo desnaturado ao redor da cidade.","NY02171782_01",NA,"Santarém","-54.7083","-2.44306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","387055","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum citrifolium",NA,"J. P. P. Carauta","5451","1987","12","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381435' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387055","Magnoliophyta","Malpighiales","A.St.-Hil.","Rio de Janeiro","Paracambi; Floresta km 9 na fazenda do seu Antononio de Moura","NY00387055_01","T. C. Plowman","Paracambi","-43.7092","-22.6108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
