"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","class","order","continentOcean","coordinatePrecision","geoFlag","typeStatus","monthIdentified","dayIdentified","individualCount"
"1","2021-04-05 14:34:15-03","UNESC","CRI","10180","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","A.R. Silva; et al.","664","2008","04","19","Brasil","Paraná","Piraquara","Mananciais da Serra.","-49.060833","-25.449722","49º3'39''W","25º26'59''S","Floresta Ombrófila Densa Montana Habito: erva ereta","CRI007980","CRI007980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-24 17:11:09-03","UTFPR","DVPR","4627","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","Motta, JT; Dombrowki, LT; Cordeiro, J; Saridakis, DP","4169","2013","12","18","Brasil","Paraná","Palmeira","Recanto dos Papaguaios","-49.4606","-25.2755","-49.4606","-25.2755","herbácea; flores amarelas.; Campo úmido","DVPR004627",NA,"Magnoliophyta","Lozano, ED","2014","957","957",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:21:08-03","NBC","NL-BOTANY","L.1426086","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","Hatschbach GG",NA,"1961","10","23","Brazil",NA,NA,"Est. Parana(Brasil). Mun. Arapoti. Rio das Cinzas, Barra do Perdizes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426086 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426086","NL-L1426086",NA,NA,NA,NA,NA,"Magnoliopsidae","Poales","Southern America",NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:21:08-03","NBC","NL-BOTANY","L.1426087","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","Hatschbach GG",NA,"1966","11","06","Brazil",NA,NA,"tamandua(mun. Balsa Nova) Paraná.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426087 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426087","NL-L1426087",NA,NA,NA,NA,NA,"Magnoliopsidae","Poales","Southern America",NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:21:08-03","NBC","NL-BOTANY","U.1772383","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","Hatschbach GG; Lindeman JC; Haas H",NA,"1965","12","06","Brazil",NA,NA,"Red. de Cafe, Rio Tibagi (Palmeira) PR.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772383 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1772383","NL-U1772383",NA,NA,NA,NA,NA,"Magnoliopsidae","Poales","Southern America",NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:16:21-03","ESALQ","ESA","135232","PreservedSpecimen","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A Nilsson","J.T Motta","4216.0","2013","12","18","Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,"ESA135232",NA,NA,"E.D. Lozano","2014",NA,NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA
"7","2016-02-02 14:39:17-02","BGBM","B","B 10 0242238","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","F. Sellow","4834",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"Reliquiae de Sello (F.Sello = F.Sellow) <a href=http://herbarium.bgbm.org/object/B100242238 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242238","B100242238",NA,NA,NA,NA,NA,NA,NA,"Middle and South America",NA,NA,"holotype",NA,NA,NA
"8","2016-02-02 14:39:17-02","BGBM","B","B 10 0242239","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","F. Sellow","4834","1836","12",NA,"Brazil",NA,NA,"S. Paulo; Brasilia meridionalis.",NA,NA,NA,NA,"Ex reliquiis Sellowianis, Humboldt ded. 1836 <a href=http://herbarium.bgbm.org/object/B100242239 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100242239","B100242239",NA,NA,NA,NA,NA,NA,NA,"Middle and South America",NA,NA,"syntype",NA,NA,NA
"9","2019-08-27 13:26:42-03","IAP","PACA-AGP","32406","PreservedSpecimen","Plantae","Xyridaceae","Xyris","aff. neglecta","Xyris aff. neglecta","L. A. Nilsson","Rambo, B.",NA,"1946","02","28","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,"Habitat: in humidis graminosis Fenofase: fruto","PACA032406",NA,"Magnoliophyta","Emrich-Rambo","1954",NA,NA,"Liliopsida","Commelinales",NA,"55856","auto",NA,"09","29",NA
"10","2019-08-20 10:01:54-03","UNICAMP","UEC","77880","S","Plantae","Xyridaceae","Xyris","neglecta","Xyris neglecta","L.A.Nilsson","Souza, VC; Souza, JP; Miyagi, PH; Nakagomi, MY","7179","1994","11","13","Brazil","São Paulo","Itararé","Estrada Itararé - Bom Sucesso de Itararé, Fazenda Ibiti (Ripasa). Campo na beira do Rio verde. Local alagável.","-49.3400001525879","-24.1100006103516",NA,NA,"Erva; brácteas castanho-escuras com ala dorsal creme; flores amarelas.","UEC031727","UEC031727","Liliopsida","Lozano, ED","2014",NA,NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA
