"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordedBy","recordNumber","continentOcean","preparationType","barcode","imagecode","class","relatedCatalogItem","typeStatus","fieldNumber","infraspecificEpithet"
"1","2019-06-10 10:10:42-03","FZB-BH","CVJBFZB","1499","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez.","Carlos A. Ferreira Jr.","2010","11","25","2010","11","24","Brasil","Minas Gerais","Santana do Riacho","Trecho rodoviário Santana do Riacho, entrocamento com MG10","-43.7144012451172","-19.1688995361328","43°39.577'","19°17.051'","26557","869","869","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:42-03","FZB-BH","CVJBFZB","1133","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez.",NA,"2008","01","14",NA,NA,NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,"3","254","auto","Fernando Moreira Fernandes;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873161","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez","H. E. Luther",NA,NA,NA,"1970","03","04","Brazil","Minas Gerais","Corinto","Ca. 5 km W of Corinto","-44.4525","-18.36675",NA,NA,NA,"725","725",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953030' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"H. S. Irwin","26931","South America","sheet","NY00873161","NY00873161_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","873180","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez",NA,NA,NA,NA,"1964","10","12","Brazil","Mato Grosso",NA,"Ca. 90 km. N. of Xavantina.","-52.4","-13.83",NA,NA,NA,"300","400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953089' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"H. S. Irwin","6828","South America","sheet","NY00873180","NY00873180_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","873167","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez","L. B. Smith",NA,NA,NA,"1980","02","04","Brazil","Tocantins","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006",NA,NA,NA,"400","500",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953058' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"T. C. Plowman","8362","South America","sheet","NY00873167","NY00873167_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","873179","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez",NA,NA,NA,NA,"1964","10","12","Brazil","Mato Grosso",NA,"Ca. 90 km. N. of Xavantina.","-52.4","-13.83",NA,NA,NA,"300","400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953087' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"H. S. Irwin","6828","South America","sheet","NY00873179","NY00873179_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1032322","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez","T. S. Coser",NA,NA,NA,"1963","09","18","Brazil","Minas Gerais",NA,"entre Pirapora e Montes Claros",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1197322' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"R. S. Santos","s.n.","South America","sheet","NY01032322","NY01032322_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","873177","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez",NA,NA,NA,NA,"1964","10","15","Brazil","Mato Grosso",NA,"Ca. 50 km. N. of Barra do Garças, on rd. to Xavantina.","-52.22","-15.4",NA,NA,NA,"300","400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953083' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"H. S. Irwin","6905","South America","sheet","NY00873177","NY00873177_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","873172","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez","L. B. Smith",NA,NA,NA,"1965","11","13","Brazil","Goiás","Cabeceiras","Serra do Rio Preto, ca. 14 km E. of Cabeceiras","-46.85263","-15.8",NA,NA,NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953072' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"H. S. Irwin","10353","South America","sheet","NY00873172","NY00873172_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","873184","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Bromelia","balansae","Bromelia balansae","Mez","L. B. Smith",NA,NA,NA,"1964","10","30","Brazil","Goiás","Caiapônia","Ca. 40 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.78","-17.27",NA,NA,NA,"800","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953095' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"H. S. Irwin","7585","South America","sheet","NY00873184","NY00873184_01",NA,NA,NA,NA,NA
