"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","occurrenceRemarks","imagecode","phylum","order","infraspecificEpithet","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:39-03","UNESC","CRI","13038","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","glaucescens","Myrceugenia glaucescens","(Cambess.) D.Legrand & Kausel","Sobral, M.","2016","03","15","Oliveira, A.A. de","2728","2015","11","12","Brasil","Santa Catarina","São Joaquim","Chapada Bonita. Chapada Bonita.","-50.040556","-28.348333","50º2'26''W","28º20'54''S","1255","1255","CRI011675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:47-03","UNESC","CRI","3429","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","glaucescens","Myrceugenia glaucescens","(Cambess.) D.Legrand & Kausel","Marcos Sobral",NA,NA,NA,"Robson dos Santos; Clair Maria Martinello","184","1994","12","13","Brasil","Rio Grande do Sul","Cambará do Sul","Interior do Canion do Itaimbezinho.","-50.144167","-29.047778","50º8'39''W","29º2'52''S","1019","1019","CRI005212","Habitat: mata atlântica Habito: arbusto","CRI005212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:39-03","UNESC","CRI","9157","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","glaucescens","Myrceugenia glaucescens","(Cambess.) D.Legrand & Kausel","Marcos Sobral",NA,NA,NA,"Daniel B. Falkenberg; P. Benny","2301","1985","01","31","Brasil",NA,"Brasil",NA,"-49.625","-28.3375","49º37'30''W","28º20'15''S","1300","1300","CRI005211",NA,"CRI005211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:39-03","UNESC","CRI","10371","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","glaucescens","Myrceugenia glaucescens","(Cambess.) D.Legrand & Kausel",NA,NA,NA,NA,"Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete",NA,"2001","10","17","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"CRI005210",NA,"CRI005210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","404870","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bagensis","Eugenia bagensis angustifolia","O.Berg",NA,NA,NA,NA,"F. Sellow","s.n.","1881",NA,NA,"Brazil",NA,NA,"Montevideo",NA,NA,NA,NA,NA,NA,"NY00404870","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404870_01","Magnoliophyta","Myrtales","angustifolia","possible type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","404870","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","bagensis","Eugenia bagensis angustifolia","O.Berg",NA,NA,NA,NA,"F. Sellow","s.n.","1881",NA,NA,"Brazil",NA,NA,"Montevideo",NA,NA,NA,NA,NA,NA,"NY00404870","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404870_01","Magnoliophyta","Myrtales","angustifolia","possible type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","615740","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","glaucescens","Myrceugenia glaucescens latior","(Burret) Landrum","L. R. Landrum",NA,NA,NA,"G. G. Hatschbach","15166","1966","10","20","Brazil","Paraná","Mangueirinha","Rio Iguaçu, Porto Fanor","-52.1756","-25.9411",NA,NA,NA,NA,"NY00615740","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615740_01","Magnoliophyta","Myrtales","latior",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","615747","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","glaucescens","Myrceugenia glaucescens glaucescens","(Cambess.) D.Legrand & Kausel","L. R. Landrum",NA,NA,NA,"L. B. Smith","13072","1964","11","09","Brazil","Santa Catarina","Xaxim",NA,"-52.48","-26.92",NA,NA,"800","800","NY00615747","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615747_01","Magnoliophyta","Myrtales","glaucescens",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 07:53:00-03","NY","NYBG","615746","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","glaucescens","Myrceugenia glaucescens glaucescens","(Cambess.) D.Legrand & Kausel","C. M. D. E. Legrand",NA,NA,NA,"L. R. Landrum","3865","1981","11","22","Uruguay",NA,NA,"Sierra de Animas, ca. 65 km E of Montevideo","-55.5","-34.75",NA,NA,NA,NA,"NY00615746","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207180' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Myrtales","glaucescens",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615745","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","glaucescens","Myrceugenia glaucescens","(Cambess.) D.Legrand & Kausel","C. M. D. E. Legrand",NA,NA,NA,"A. E. Burkart","21844","1960","04","16","Argentina",NA,NA,"Entre Rios: Rincon del Mocoretá a orillas del rio Uruguay",NA,NA,NA,NA,NA,NA,"NY00615745","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392219' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Myrtales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
