"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","stateProvince","locality","imagecode","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","927582","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Mespilodaphne","prolifera","Mespilodaphne prolifera","Nees","photo of holotype","F. Sellow","diary1373","South America","Brazil","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00927582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1551658","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Mespilodaphne","prolifera","Mespilodaphne prolifera","Nees",NA,"G. Gardner","1989","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274772' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551658","Piauí","Prov. Piauhy","NY01551658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02423588","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","prolifera","Ocotea prolifera","(Nees) Mez",NA,"M. L. Brotto","712","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669179' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423588","Paraná","Estação Ecológica do Caiuá","NY02423588_01","2011","05","29","Diamante do Norte","52.8833","-22.6025","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01202983","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","prolifera","Ocotea prolifera","(Nees) Mez",NA,"D. C. Daly","1205","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1414079' target='other'> <mi>dwc_moreinfo</mi></a>","NY01202983","Pará","25-35km SW of Tucurui near road which serves Fezendes. Area to be inundated by dam project. Forest on terra firme and Euterpe palm swamp.","NY01202983_01","1981","11","04",NA,"-49.6735668","-3.9906516",NA,"R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 18:51:00-03","NY","NYBG","720657","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","prolifera","Ocotea prolifera",NA,NA,"L. C. de S. Assis","1100","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720657","Paraná","Centro da cidade, Rua Piaui. Resquicoi de Floresta Estacional Semidecidual.","NY00720657_01","2005","03","07","Londrina","-51.1627998352051","-23.3103008270264",NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-25 11:47:35-03","UNESP-IBB","BOTU","33365","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","prolifera","Ocotea prolifera","(Nees&Mart.) Mez",NA,"Moraes, P.L.R","3669",NA,"Brasil",NA,NA,"BOTU033365","Espírito Santo","Reserva Natural Vale, Municipal Canto Grande",NA,"2014","06","18","Linhares","-40.906667","-19.401944",NA,"Moraes, P.",NA,NA,"2014","06","18","40º54'24w","19º24'07s",NA,NA,NA,NA,NA
"7","2021-03-30 12:39:22-03","EAO","IAN","198018","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Ocotea","prolifera","Ocotea prolifera","(Nees) Mez",NA,"Moraes, PLR de; Vergne, MC; Cruz, M","3669","Southern America","Brasil",NA,"Árvore 18 m, início de frutificação.","IAN198018","Espirito Santo","Linhares-ES. Reserva Natural Vale, Municipal Canto Grande.",NA,"2014","06","18","Linhares","-39.956194","-19.248",NA,"Moraes, P",NA,NA,"2014","06","18","-39.956194","-19.248",NA,NA,NA,NA,NA
"8","2021-03-30 12:39:22-03","EAO","IAN","80178","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Ocotea","prolifera","Ocotea prolifera","(Nees) Mez",NA,"Andrade-Lima, D de","243","Southern America","Brasil",NA,NA,"IAN080178","Ceará","Povoado de D. Bosco. Serra do Araripe.",NA,"1949","06","09",NA,NA,NA,NA,"Teixeira, BC",NA,NA,"1982","03",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:18:16-03","UFBA","ALCB","19025","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","prolifera","Ocotea prolifera","(Nees & Mart.) Mez",NA,"Costa, AL","s/n","Southern America","Brasil",NA,NA,"ALCB063344","Bahia","Paraguaçu, Fazenda Água Branca","ALCB063344","1975","11","29","São Gonçalo dos Campos","-38.966667","-12.433333",NA,"Moraes, PLR de",NA,NA,"2019",NA,NA,"-38.966667","-12.433333",NA,NA,NA,NA,NA
"10","2019-10-09 11:18:16-03","UFBA","ALCB","06031","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","prolifera","Ocotea prolifera","(Nees & Mart.) Mez",NA,"Pinto, GCP","s/n","Southern America","Brasil",NA,NA,"ALCB063346","Bahia","Recôncavo Sul, Escola de Agronomia","ALCB063346","1951","12",NA,"Cruz das Almas","-39.1","-12.666667",NA,"Moraes, PLR de",NA,NA,"2019",NA,NA,"-39.1","-12.666667",NA,NA,NA,NA,NA
