"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","class"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","2862","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","aff. gracilis","Aechmea aff. gracilis","Lindm.","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","444","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","615","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Elton. C. M. Leme","2011","08","1","254","Alvim Seidel;","Seidel1223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","675","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Elton. C. M. Leme","2009","05",NA,"254","Elton M. C. Leme; R. Zormig",NA,"2004","08","07","Brasil","São Paulo","Tapiraí","Estrada Piedade-Tapiraí, entrada para a Cachoeira do Chá","-47.5","-23.9599990844727","41034","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:37-03","UFRJ","RFA","31101","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","L.O.F. Sousa","2003","10",NA,"Erva saxícola, ciófila, folhas coriáceas levemente discolores, frutos róseos","L.O.F. Sousa; T. Wendt; G.K. Brown","468","2003","10","15","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Trilha para Caxadaço","-44.3180999755859","-23.0067005157471","32988","auto","15","RFA20460",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:25-03","PUCPR","HUCP","24192","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Wittmark.",NA,NA,NA,NA,NA,"Madalozzo, B","s.n.","2014","02","20","Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:25-03","PUCPR","HUCP","20972","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Wittmark.","Kersten, RA",NA,NA,NA,NA,"Kersten, RA","1417","2008","11","10","Brasil","Paraná","Morretes","Conjunto Marumbi","-48.834400177002","-25.476900100708","30514","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:25-03","PUCPR","HUCP","4760","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Wittmark.","Jaszczerski, JC","1986","09",NA,NA,"Johnny;","007",NA,NA,NA,"Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708","30514","auto","13","HUCP00004886","HUCP00004886",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:03:42-03","ESALQ","ESA","124090","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis",NA,NA,NA,NA,NA,"Epífita com brácteas rosa.","Kuntz, J. ; Caramez, R.B.","1022.0","2013","04","01","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE - Alecrim. Trilha da Chaminé. Floresta Ombrófila Densa.","-47.599166","-24.249444",NA,NA,NA,"ESA124090",NA,"-47.599166","-24.249444","282","282",NA,NA
"10","2020-11-04 11:03:42-03","ESALQ","ESA","125424","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis",NA,NA,NA,NA,NA,"Epífita com brácteas rosa.","Kuntz, J.","1022.0","2013","04","01","Brasil","São Paulo","Juquiá","Reserva Particular da Votorantim (CBA). UHE - Alecrim. Trilha da Chaminé.","-47.599166","-24.249444",NA,NA,NA,"ESA125424",NA,"-47.599166","-24.249444",NA,NA,NA,NA
"11","2020-11-04 11:03:42-03","ESALQ","ESA","95249","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindman","Forster, W.",NA,NA,NA,NA,"Braidotti, J.C. et al.","138.0","2005","03","31","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818","37574","auto",NA,"ESA095249",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:03:42-03","ESALQ","ESA","17696","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis",NA,"Wanderley, M.G.L.",NA,NA,NA,NA,"Moraes, P.L.R. ; Ivanauskas, N.M.","1141.0","1995","01","19","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334","27904","auto",NA,"ESA017696",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:03:42-03","ESALQ","ESA","26270","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindman","Fl. SP.","2007",NA,NA,"Epífita; cálice róseo; corola violeta-azulada.","Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; L.M.Campos, Dias, A.S.; V.Pereira, Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9011.0","1995","09","03","Brasil","São Paulo","Eldorado","BLOQUEADO","-48.0999984741211","-24.5200004577637","38804","auto",NA,"ESA026270",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:03:42-03","ESALQ","ESA","84575","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Forster, W.","2003","01",NA,"Epífita, brácteas vermelhas, cálice vermelho e pétalas violeta-azuladas","Urbanetz, C.; Déstro, G.F.G.; Moreira-Coneglian, I.R.; Harder, I.C.F.; Muniz, M.R.A.; Paula-Souza, J.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.","123.0","2003","04","21","Brasil","São Paulo","Iporanga","BLOQUEADO","-48.5900001525879","-24.5799999237061","38740","auto","01","ESA084575",NA,NA,NA,"550","550",NA,NA
"15","2020-11-04 11:03:42-03","ESALQ","ESA","84579","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Forster, W.","2003","01",NA,"Epífita","Medeiros, D.A.; Silva, D.G.R.; Damasceno, A.C.F; França, E.J.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.R.A.","68.0","2003","04","19","Brasil","São Paulo","Ribeirão Grande","BLOQUEADO","-48.3600006103516","-24.0900001525879","25028","auto","01","ESA084579",NA,NA,NA,"788","788",NA,NA
"16","2020-11-04 11:03:42-03","ESALQ","ESA","79864","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lind.","Gomes, S.M.","2002","05",NA,"Epífita coletada a 4m de altura. Brácteas da inflorescência vermelhas. Frutos jovens verdes com ápice vermelho.","Gomes, S.M.; Antunes, R.M.; Gomes, P.B.; Nakakura, H.C.C.; Melo, M.S.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","396.0","2002","04","20","Brasil","São Paulo","São Miguel Arcanjo","BLOQUEADO","-47.9900016784668","-23.8700008392334","27904","auto","02","ESA079864",NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:25:32-03","MN","R","211153","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,"Jardim Botânico do Rio de Janeiro - RB 342.244","Martinelli, G. 15772; Wanderley, M.G.L.; Bárbara, T.; Sousa, G.M. & Azoury, R.",NA,"1999","10","01","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.952533","-24.063533",NA,NA,NA,"R010000861","R010000861","47°57'152W","24°03'812S","700","700",NA,NA
"18","2021-01-14 15:25:32-03","MN","R","213691","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Uribbe, F.P.",NA,NA,NA,NA,"Uribbe, F.P. 94; Neves, B.F.S.; Neri, J. & Gonçalves, L.F.",NA,"2012","10","11","Brasil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.990567","-24.066833",NA,NA,NA,"R010000853","R010000853","47°59'434W","24°04'010S","707","707",NA,NA
"19","2021-01-14 15:25:32-03","MN","R","230385","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Almeida, M.M.","2015","05",NA,NA,"Almeida, M.M. 352; Oliveira, R.R.",NA,"2015","05",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçú","-42.726028","-22.38125",NA,NA,NA,"R010036261","R010036261","42°43'33,7''W","22°22'52,5''S","677","677",NA,NA
"20","2021-01-14 15:25:32-03","MN","R","193248","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.",NA,NA,NA,NA,NA,"Silva, B.R.","24","1998","05","09","Brasil","Rio de Janeiro","Paraty",NA,"-44.7131004333496","-23.2178001403809","34470","auto",NA,"R010000857,R010000858","R010000857 R010000858",NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:25:32-03","MN","R","211152","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Martins, S.E.","2007",NA,NA,NA,"Wanderley, M.G.L. 2467; Louzada, R. & Martins, S.E.",NA,"2005","06","23","Brasil","São Paulo","Bertioga",NA,"-46.138599395752","-23.8544006347656","37616","auto",NA,"R010000860","R010000860",NA,NA,NA,NA,NA,NA
"22","2021-01-14 15:25:32-03","MN","R","188789","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Costa, A.","1996",NA,NA,NA,"Costa, A.F. 642; et al.",NA,"1996","05","17","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471","32988","auto",NA,"R010000859","R010000859",NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:25:32-03","MN","R","188790","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Costa, A.","1996",NA,NA,NA,"Costa, A.F. 644; et al.",NA,"1996","05","17","Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471","32988","auto",NA,"R010000862","R010000862",NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:25:32-03","MN","R","223875","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","gracilis","Aechmea gracilis","Lindm.","Neves, B.F.S.","2011","03",NA,NA,"Neves, B.F.S. 9; Uribbe, F.P.",NA,"2011","02","23","Brasil","Rio de Janeiro","Teresópolis","PARNASO","-42.9655990600586","-22.4122009277344","38539","auto","17","R010000846","R010000846",NA,NA,NA,NA,NA,NA
