"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","class","order"
"1","2019-10-09 11:20:15-03","UFBA","ALCB","64557","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","Santos, AKA","2008","02","Rigueira, D","s/n","2003","08","08","Southern America","Brasil","Bahia","Cairu","Baixo Sul, Garapuá","-39.035833","-13.4925","-39.035833","-13.4925","de ca. 40cm. Folhas imbricadas. Flores liláses.; Restinga","ALCB062179",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:34:25-03","UNICAMP","UEC","136718","S","Plantae","Magnoliopsida","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","Martins, AB",NA,NA,"Conceição, AA","951","2000","07","04",NA,"Brazil","Bahia","Mucugê","Guiné, Gerais do Rio Petro","-41.383333","-13","-41.383333","-13","Erva, ca. 40cm alt. Cálice verde a vinho. Pétalas rosas. Filetes rosa-claros e anteras amarelas. Fruto castanho.","UEC080610","1300","1300","UEC080610",NA,NA,NA,NA,NA
"3","2021-03-01 16:34:25-03","UNICAMP","UEC","146037","S","Plantae","Magnoliopsida","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins",NA,"2007","11","Rodrigues, KF; Fortuna-Perez, AP; Silva, MJ","292","2007","03","14",NA,"Brazil","Bahia","Mucugê","Subida para Serra do Gobira, Gobira de Baixo","-41.370833","-13.059722","-41.370833","-13.059722","Subarbusto ca. 1,2 m alt. Flores róseas e estames amarelos.; Subarbusto ca. 1,2m alt.; flores róseas e estames amarelos; Campo rupestre","UEC080627",NA,NA,"UEC080627",NA,NA,NA,NA,NA
"4","2021-03-01 16:34:25-03","UNICAMP","UEC","166268","S","Plantae","Magnoliopsida","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins",NA,NA,NA,"Santos, AKA; Fidanza Rodrigues, K; Perez, APF; Silva, MJ","1098","2007","03","13",NA,"Brazil","Bahia","Mucugê","Trilha para o Pico do Gobira. Gobira de cima.","-41.366667","-13.066667","-41.366667","-13.066667","Arbusto ca. 25 cm alt. Folhas verdes a avermelhadas. Cálice castanho. Flor com corola magenta a lilás, filetes e estiletes róseos, anteras amareladas. Material coletado. DNA.","UEC036278","4699","4699","UEC036278",NA,NA,NA,NA,NA
"5","2021-03-01 16:34:25-03","UNICAMP","UEC","10910","S","Plantae","Magnoliopsida","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","Martins, AB","1990","02","Shepherd, GJ; Kinoshita, LS; Taroda, N; Andrade, JB","4550","1977","03","12",NA,"Brazil","Bahia","Maraú","4km.","-39.0147018432617","-14.103099822998",NA,NA,"Subarbusto até 60cm, flor lilás.; Beira de mata.","UEC055458",NA,NA,"UEC055458","holotypus","47076","auto",NA,NA
"6","2021-03-15 18:28:45-03","USP","SPF","169574","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","Santos, AKA","2009","02","Araújo-Nóbrega, M","107","2000","07","12",NA,"Brasil","Bahia","Ibicoara","Chapada Diamantina, Serra do Sincorá.","-41.266667","-13.35","-41.266667","-13.35",NA,"SPF00169574","1250","1250",NA,NA,NA,NA,NA,NA
"7","2021-03-15 18:28:45-03","USP","SPF","169575","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","Santos, AKA","2009","02","Araújo-Nóbrega, M","126","2000","07","12",NA,"Brasil","Bahia","Ibicoara","Chapada Diamantina, Serra do Sincorá","-41.266667","-13.35","-41.266667","-13.35",NA,"SPF00169575","1250","1250",NA,NA,NA,NA,NA,NA
"8","2021-03-15 18:28:45-03","USP","SPF","164757","PreservedSpecimen","Plantae",NA,"Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","Woodgyer, EM","2007",NA,"Conceição, AA","951","2000","07","04",NA,"Brasil","Bahia","Mucugê","Guiné. Gerais do Rio Preto.","-41.3708000183105","-13.0052995681763",NA,NA,NA,"SPF00164757","1300","1300",NA,NA,"52493","auto",NA,NA
"9","2019-10-07 09:34:20-03","UEFS","HUEFS","169378","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","A.K.A.Santos","2015","08","Oliveira, P.N.de","2","2010","11","06",NA,"Brasil","Bahia","Mucugê","Parque Municipal de Mucugê. Trilha cachoeira do Piabinha.","-41.3708000183105","-13.0052995681763",NA,NA,NA,"HUEFS0169378",NA,NA,"HUEFS0169378",NA,"52493","auto","Rosanae","Myrtales"
"10","2019-10-07 09:34:20-03","UEFS","HUEFS","169274","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","A.K.A.Santos","2015","08","Oliveira, P.N.de","47","2011","03","26",NA,"Brasil","Bahia","Mucugê","Trilha das Ciperáceas.","-41.3708000183105","-13.0052995681763",NA,NA,NA,"HUEFS0169274",NA,NA,"HUEFS0169274",NA,"52493","auto","Rosanae","Myrtales"
"11","2019-10-07 09:34:20-03","UEFS","HUEFS","112715","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins","A.K.A.Santos","2007","05","Conceição, A.S.","866","2005","02","02",NA,"Brasil","Bahia",NA,"Guiné - Paty de fora - Gerais do Rio Preto, Serra da Rampa.","-41.478333","-12.775833","41W28'42''","12S46'33''",NA,"HUEFS0112715","1322","1322","HUEFS0112715",NA,NA,NA,"Rosanae","Myrtales"
"12","2019-10-07 09:34:20-03","UEFS","HUEFS","120354","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Marcetia","shepherdii","Marcetia shepherdii","A.B.Martins",NA,NA,NA,"Santos, A.K.A.","1098","2007","03","13",NA,"Brasil","Bahia","Mucugê","Trilha para o Pico do Gobira. Gobira de cima.","-41.366667","-13.066667","41W22'","13S4'",NA,"HUEFS0120354","4699","4699","HUEFS0120354",NA,NA,NA,"Rosanae","Myrtales"
