"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","day","locality","decimalLongitude","decimalLatitude","county","class","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","fieldNumber","dayIdentified","individualCount","typeStatus"
"11","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901503","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Gardner",NA,NA,NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901503' target='other'> <mi>dwc_moreinfo</mi></a>","P02901503","P02901503_01",NA,NA,"Serra dos Órgãos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"588",NA,NA,NA
"12","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901504","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Guillemin",NA,"1839","5",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901504' target='other'> <mi>dwc_moreinfo</mi></a>","P02901504","P02901504_01",NA,"1","Serra dos Orgãos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"981",NA,NA,NA
"13","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901505","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901505' target='other'> <mi>dwc_moreinfo</mi></a>","P02901505","P02901505_01",NA,NA,"Brésil. Province de Rio Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13080",NA,NA,NA
"14","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901506","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Gardner",NA,"1838","1",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901506' target='other'> <mi>dwc_moreinfo</mi></a>","P02901506","P02901506_01",NA,"1","Montagnes Organ [Serra dos Órgãos].",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"588",NA,NA,NA
"15","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901511","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Glaziou",NA,NA,NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901511' target='other'> <mi>dwc_moreinfo</mi></a>","P02901511","P02901511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3702",NA,NA,NA
"16","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901512","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Glaziou, A.",NA,"1869","3",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901512' target='other'> <mi>dwc_moreinfo</mi></a>","P02901512","P02901512_01",NA,"28","Brésil (Rio Jan.) Serra dos Órgãos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3702",NA,NA,NA
"17","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901509","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Glaziou, A.",NA,"1880","5",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901509' target='other'> <mi>dwc_moreinfo</mi></a>","P02901509","P02901509_01",NA,"2","à la Garganta.","-43.1786003112793","-22.5049991607666","Petrópolis",NA,"36524","auto",NA,NA,NA,NA,NA,NA,"12094",NA,NA,NA
"18","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901508","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Glaziou",NA,"1881","6",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901508' target='other'> <mi>dwc_moreinfo</mi></a>","P02901508","P02901508_01",NA,"7","Au fond de lu valleé du Corrego.","-42.5311012268066","-22.2819004058838","Nova Friburgo",NA,"33190","auto",NA,NA,NA,NA,NA,NA,"13080",NA,NA,NA
"19","2015-09-04 08:26:10-03","MNHN","RECOLNAT_MNHN_P","P02901502","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","Benth. & Hook.f.",NA,"Hatschbach, G.",NA,"1966","4",NA,"Brasil","Paraná","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02901502' target='other'> <mi>dwc_moreinfo</mi></a>","P02901502","P02901502_01",NA,"26","Serra do Leão.","-50.9494018554688","-24.2082996368408","Ortigueira",NA,"46016","auto",NA,NA,NA,NA,NA,NA,"14232",NA,NA,NA
"20","2021-02-11 17:17:46-03","UFPR","UPCB","5927","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Jacobinia","polita","Jacobinia polita","(Nees) Hiern.","Wasshausen, D.C.","Hatschbach, G.","14232","1966","04",NA,"Brasil","Paraná",NA,"Subarbusto 70cm, capoeira. Flores vermelhas com estrias amarelas.",NA,NA,NA,"26","Serra do Leão","-50.9494018554688","-24.2082996368408","Ortigueira",NA,"46016","auto","1967",NA,NA,NA,NA,"01",NA,"01",NA,NA
