"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","stateProvince","locality","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:43:11-03","E","E","161802","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","Elias de Paula, J.","3233","1990","08","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169996","<a href=http://data.rbge.org.uk/herb/E00161802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","502792","PreservedSpecimen","Plantae","Rubiaceae","Exostema","formosum","Exostema formosum","C. Lemos","28678","1931","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502792","Magnoliophyta","Gentianales","Cham. & Schltdl. ex DC.","neotype","São Paulo","Alto da Serra. Arvore da Matta da Estaçao Biologica","NY00502792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-28 16:42:00-02","NY","NYBG","1005870","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","J. M. Pires","9539","1963","04","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005870","Magnoliophyta","Gentianales",NA,NA,"Distrito Federal","Fundação Zoobotânica","NY01005870_01","C. E. B. Bremekamp","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1005876","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","J. M. Pires","9270","1963","04","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099388' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005876","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Distrito Federal","Fund. Zoobotânica","NY01005876_01","P. G. Delprete","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1005865","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","H. S. Irwin","25206","1970","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099357' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005865","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Goiás","Contraforte Central, ca. 26 km N.E. of Catalão","NY01005865_01","J. A. Steyermark","Catalão","-47.77624","-18.0006","875","875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","502794","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","G. G. Hatschbach","42945","1980","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502794","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Minas Gerais","Corrego Barreiras. Rod. BR-365","NY00502794_01","J. H. Kirkbride Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1005867","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","H. S. Irwin","5369","1964","08","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005867","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Distrito Federal","Ca. 50 km E of Brasilia.","NY01005867_01","J. A. Steyermark","Brasília","-47.9294","-15.7797","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02591825","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","S. J. da Silva Neto","1411","2000","06","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2920720' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591825","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Rio de Janeiro","Interior da mata. Reserva da Petrobras","NY02591825_01",NA,"Duque de Caxias","-43.233333","-22.516667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 11:11:00-03","NY","NYBG","23686","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","Martii Herbar. Florae Brasil.","111",NA,NA,NA,"South America","Brazil","sheet",NA,"acc. 1837 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=330394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00023686","Magnoliophyta","Gentianales",NA,"possible type",NA,"Rio de Janerio","NY00023686_01 NY00023686_02 NY00023686_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1550954","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","B. A. S. Pereira","2503","1993","03","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838421' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550954","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Distrito Federal","Area de Proteçao Ambiental (APA) de Cafuringa. Fazenda Dois Irmaos.","NY01550954_01","P. G. Delprete","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-10-28 16:42:00-02","NY","NYBG","1005869","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","P. Clausen","669","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099367' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005869","Magnoliophyta","Gentianales",NA,NA,"Minas Gerais",NA,"NY01005869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1005871","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","V. L. Gomes-Klein","3378","1997","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099377' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005871","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Goiás","márgem do córrego Piçarrão, próximo a represa que abastece a cidade, na base da Reserva Biológica Prof. José Angelo Rizzo - Serra Dourada. Floresta de Galeria.","NY01005871_01","P. G. Delprete","Mossâmedes","-50.215","-16.1269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-10-28 16:42:00-02","NY","NYBG","1005875","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","E. P. Heringer","3188","1980","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099387' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005875","Magnoliophyta","Gentianales",NA,NA,"Distrito Federal","Bacia do Rio São Bartolomeu.","NY01005875_01","J. H. Kirkbride Jr.","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","502796","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","A. P. Duarte","s.n.","1947","03","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502796","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Rio de Janeiro","Guanabara. Gávea","NY00502796_01","B. D. Sucre","Rio de Janeiro","-43.250118","-22.98261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1550957","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","V. L. Gomes-Klein","3378","1997","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1838424' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550957","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Goiás","márgem do córrego Piçarrão, próximo a represa que abastece a cidade, na base da Reserva Biológica Prof. José Angelo Rizzo - Serra Dourada. Floresta de Galeria.","NY01550957_01","P. G. Delprete","Mossâmedes","-50.215","-16.1269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1005866","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","W. R. Anderson","9927","1973","05","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099359' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005866","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Goiás","Serra Dourada, ca. 17 km (straight line) S of Goiás Velho, ca. 6 km NE of Mossamedes; mesophytic woods along stream at base of east side of serra.","NY01005866_01","J. H. Kirkbride Jr.","Goiás","-50.1333","-16.0869","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1005864","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","H. S. Irwin","14160","1966","03","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099354' target='other'> <mi>dwc_moreinfo</mi></a>","NY01005864","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Distrito Federal","Parque Municipal do Gama","NY01005864_01","B. M. Boom","Brasília","-48.05","-16.03","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1146490","PreservedSpecimen","Plantae","Rubiaceae","Rustia","formosa","Rustia formosa","P. G. Delprete","9868","2006","06","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1341678' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146490","Magnoliophyta","Gentianales","(Cham. & Schltdl.) Klotzsch",NA,"Goiás","Faz. Quebra Rabicho, propriedade d e Duila Oliveira ca. 20 km de Pirenópolis, Córrego das Contenas.","NY01146490_01","P. G. Delprete","Pirenópolis","-49.0486","-15.7481","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
