"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","barcode","imagecode","continentOcean","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","3455","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:00:27-03","JBP","HPL","606","S","Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barosso",NA,NA,"E.R. Salviani & H. Lorenzi","1334","2000","03","29","Brasil","RJ","Rio de Janeiro","Sítio R. Burle Marx.","-43.2075","-22.9028","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:00:27-03","JBP","HPL","938","S","Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,NA,"E.R. Salviani & H. Lorenzi","1802","2000","11","21","Brasil","ES","Ibiraçu","Divisa com Fundão mais ou menos 1km a esquerda.","-40.3697","-19.8319","13709","auto","E.R. Salviani & H. Lorenzi","2000","11","21",NA,NA,NA,NA,NA,NA,NA
"4","2019-06-27 10:24:01-03","UFES","VIES","24032","S","Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,NA,"T.F. Sagrillo; A. Assis & C.L. Dalmonech","67","2011",NA,NA,"Brasil","Espírito Santo","Aracruz","Picuã.","-40.2733001708984","-19.8202991485596","37987","auto","C.L. Dalmonech",NA,NA,NA,"VIES024032","VIES024032",NA,NA,NA,NA,NA
"5","2020-04-27 16:08:43-03","UFES","VIES","5390","S","Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M.Barroso",NA,NA,"Fernandes, H.Q.B.","2961","1990","05","28","Brasil","Espírito Santo","Ibiraçu","Estação Ecológica Morro da Vargem.","-40.369701385498","-19.8318996429443","13709","auto","Nadruz, M.A.C.","2000","02","10","VIES005390","VIES005390",NA,NA,NA,NA,NA
"6","2020-12-21 16:13:17-03","MBM","MBM","156223","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,NA,"Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58023","1992","10","13","Brazil","Espírito Santo",NA,"Rod. BR-101, 5km de João Neiva",NA,NA,NA,NA,"Mayo, S.",NA,NA,NA,"MBM156223",NA,"Southern America",NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","2331242","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,NA,"Apparicio P. Duarte","Duarte s.n.",NA,NA,NA,"Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"E. G. Goncalves",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","388982","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,NA,"PLUMMER","PLUMMER 187",NA,NA,NA,"Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","845.00000000",NA,NA,NA
"9","2018-12-10 13:05:00-02","MO","MOBOT","101086741","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Anthurium","xanthophylloides","Anthurium xanthophylloides","G.M. Barroso",NA,NA,"Apparicio P. Duarte","Duarte 9155",NA,NA,NA,"Brazil","Espírito Santo","São Mateus",NA,"-39.8588981628418","-18.716100692749","56510","auto",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"10","2020-07-10 09:43:27-03","MBML","MBML-HERBARIO","17599",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","aff. xanthophylloides","Anthurium aff. xanthophylloides","G.M.Barroso",NA,"Rupícola, a céu aberto, inflorescência vinho, brácteas verde, altitude 600m.","R.R. Vervloet; et al","1187","2002","10","08","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,"R.T. Valadares/15-08-2016",NA,NA,NA,"MBML017599","MBML017599",NA,NA,"40W33'11","19S54'27",NA
"11","2020-07-10 09:43:27-03","MBML","MBML-HERBARIO","26288",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","aff. xanthophylloides","Anthurium aff. xanthophylloides","G.M. Barroso",NA,"Rupícola espata e espádice vinho. Interior de mata em regeneração.","V. Demuner; L.F.S. Magnago, M. Belizário, Elias Bausen","1855","2006","02","16","Brasil","Espírito Santo","Santa Leopoldina","Serra do Ramalhete, Fazenda Caioaba, Prop.: Cláudio Virloni, trilha da divisa, lado esquerdo","-40.470639","-20.058611",NA,NA,"R.T. Valadares/15-08-2016",NA,NA,NA,"MBML026288","MBML026288",NA,"250","40W28'14,3","20S3'31","250"
"12","2020-07-10 09:43:27-03","MBML","MBML-HERBARIO","30309",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","aff. xanthophylloides","Anthurium aff. xanthophylloides","G.M. Barroso",NA,"Rupícola espata e espádice verdes. Interior de mata.","V. Demuner; R. R. Vervloet, T. Cruz e Elias Bausen.","4182","2007","06","12","Brasil","Espírito Santo","Marilândia","Liberdade, propr.: Deoclécio. Lorenccini","-40.515278","-19.354444",NA,NA,"R.T. Valadares/15-08-2016",NA,NA,NA,"MBML030309","MBML030309",NA,"250","40W30'55","19S21'16","250"
"13","2020-07-10 09:43:27-03","MBML","MBML-HERBARIO","1319",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","cf. xanthophylloides","Anthurium cf. xanthophylloides","G.M.Barroso",NA,"Erva, espata verde, espádice com frutos jovens verde claros, semi-sombra, em rocha coberta de humus, capoeirão.","W. Boone","1005","1985","01","10","Brasil","Espírito Santo","Santa Teresa","Valsugana Velha","-40.617778","-19.931111",NA,NA,"R.T. Valadares/28-06-2012",NA,NA,NA,"MBML001319","MBML001319",NA,NA,"40W37'4","19S55'52",NA
"14","2020-07-10 09:43:27-03","MBML","MBML-HERBARIO","30242",NA,"Plantae",NA,NA,NA,"Araceae","Anthurium","cf. xanthophylloides","Anthurium cf. xanthophylloides","G.M. Barroso",NA,"Rupícola espádice e espata verdes. Interior de mata secundária.","V. Demuner; R. R. Vervloet, M. Belisario e Elias Bausen.","4097","2007","05","30","Brasil","Espírito Santo","Santa Leopoldina","Colina Verde (Morro do Agudo), propr.: Israel Elias Ramos (trilha acima do bananal).","-40.44","-20.098056",NA,NA,"R.T. Valadares/15-08-2016",NA,NA,NA,"MBML030242","MBML030242",NA,"300","40W26'24","20S5'53","300"
