"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","fieldNumber","individualCount","class"
"1","2016-11-07 12:13:00-02","NY","NYBG","1802173","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","M. B. Ferreira Canela","47","2004","03","12","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Estrada para as cachoeiras e Maromba.","-44.65833","-22.375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2046858' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802173","NY01802173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442065","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","C. V. Roderjan","s.n.","1994","03","03","South America","Brazil","Paraná",NA,"Morro Anhangava. Serra da Baitaca. Quatro Barras","-49.68","-25.35","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442065","NY00442065_01","(Paxton) Wiehler","S. M. Silva","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442064","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","R. Reitz","6551","1958","03","01","South America","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinville","-48.8456","-26.3044","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554963' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442064","NY00442064_01","(Paxton) Wiehler","A. Chautems","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:44-03","UFABC","HUFABC","000212","PreservedSpecimen","Plantae","Angiospermas",NA,"Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","Bugoni, JV","35","2012","04","23",NA,"Brasil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia, trilha Pirapitinga.",NA,NA,NA,"Erva, flor vermelha.","HUFABC000212","HUFABC000212","(Paxton) Wiehler","Araujo, AO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:25:17-03","PUCPR","HUCP","18604","S","Plantae","Eudicotiledonea",NA,"Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","Selusniaki, M","799","2006","03","19",NA,"Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,"HUCP00012143","HUCP00012143","(Paxton.) Wiehler.",NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:11:16-03","ESALQ","ESA","64355","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23198.0","2000","02","16",NA,"Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Vale Verde. Floresta Aluvial, ao longo do Rio Caparaó","-41.8683013916016","-20.4333000183105",NA,"Erva; flores vermelhas","ESA064355","ESA064355","(Paxten) Wiehler","Chautems, A.",NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:11:16-03","ESALQ","ESA","125953","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","Azul","86.0","1905","07","04",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"ESA125953","ESA125953",NA,"Rossini, J.",NA,NA,"38539","auto","2014","09","22",NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 10:55:50-03","ESALQ","ESA","140632","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","Gibau, A.; Gissi, D.S.; Orlandini, P.","267.0","2017","03","11",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela -","-44.7131004333496","-23.2178001403809",NA,"Erva rupícola. Corola vermelha. Estames amarelados, filetes vermelhos.","ESA140632",NA,"(Paxton) Wiehler","Gibau, A.",NA,NA,"34470","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:11:16-03","ESALQ","ESA","64882","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23734.0","2000","02","22",NA,"Brasil","Espírito Santo","Alegre","Parque Nacional do Caparaó. Mata ciliar do Rio Norte. 20o26'45S; 41o44'07W. 1110msm","-41.5331001281738","-20.763599395752",NA,"Sobre rochas. Erva com tubérculo desenvolvido; corola vermelho-viva","ESA064882","ESA064882","(Paxten) Wiehler","Chautems, A.","1110","1110","26101","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:11:16-03","ESALQ","ESA","121969","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Sinningia","cooperi","Sinningia cooperi","Kuntz, J.","404.0","2012","03","01",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Br 354. Estrada que dá acesso ao Parque, Km 8.","-44.5633010864258","-22.4960994720459",NA,"Erva ca. 40 cm alt., corola vermelha e sépalas verdes.","ESA121969","ESA121969_1 ESA121969_2",NA,"Rossini, J.",NA,NA,"19648","auto","2014","09","22",NA,NA,NA,NA,NA,NA,NA
