"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","typeStatus","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1843431","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","G. L. Smith","1003","1980","10","04","South America","Brazil","Minas Gerais","Serra do Espinhaço. 10 km NE of Diamantina.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2051744' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843431","NY01843431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:37:11-03","EAO","IAN","27773","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","leptospermoides","Vernonia leptospermoides","Mart.","Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN027773","IAN027773_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-05-19 10:29:39-03","UFBA","ALCB","100764","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","Franco, IM; Quaresma, AS; M.M.T.","718","2011","03","17","Southern America","Brasil","Minas Gerais","Campus JK da UFVJM. Afloramentos rochosos próximos ao limite leste do campos",NA,"Ca. 50 cm. em afloramento rochoso. Folhas alvas na face abaxial, devido ao indumento. Flores lilases.",NA,NA,"Franco, IM","2011","03","Diamantina","-43.567778","-18.192222","-43.567778","-18.192222","1303","1303",NA,NA,NA,NA,NA,NA
"4","2020-05-19 10:29:39-03","UFBA","ALCB","101280","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","Franco, IM; Silva, PR; Araújo, TQ","609","2010","10","30","Southern America","Brasil","Minas Gerais","Campus JK da UFVJM, afloramento rochoso à esquerda da estrada de terra que desce atrás do Apiário, em direção ao Córrego do Soberbo",NA,"Ca. 70 cm alt. Flores lilases. População numerosa",NA,NA,"Loeuille, B","2011","04","Diamantina","-43.568889","-18.198333","-43.568889","-18.198333","1342","1342",NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:24:27-03","MN","R","15290","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","Glaziou, A.F.M.","19550","1892","04","18",NA,"Brasil","Minas Gerais",NA,NA,"Plantas do Brasil Central","R000015290","R000015290_001",NA,NA,NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"6","2020-02-10 17:50:40-03","UNICAMP","UEC","137827","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex A.DC.) Sch.Bip.","Mansanares, ME; Verola, CF","371","2003","08","18",NA,"Brazil","Minas Gerais","Estrada para Araçuaí, Km 585, afloramento do outro lado da pista, em frente ao Caminho dos Escravos.",NA,"Arbustos rasteiros até 40 cm. Flores brancas a magenta. Crescendo sobre cascalhos.","UEC127954","UEC127954",NA,"2019","10","Diamantina","-43.708528","-18.207306","-43.708528","-18.207306",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-10 17:50:40-03","UNICAMP","UEC","137847","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex A.DC.) Sch.Bip.","Mansanares, ME; Verola, CF","351","2003","08","15",NA,"Brazil","Minas Gerais","Estrada para Araçuaí, Entrada logo após o Córrego do Soberbo.",NA,"Arbustos rasteiros até 40 cm. Flores brancas a magenta. Crescendo sobre pedras ou cascalhos.","UEC127952","UEC127952",NA,NA,NA,"Diamantina","-43.57725","-18.185333","-43.57725","-18.185333",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:25:01-03","UNICAMP","UEC","203444","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex A.DC.) Sch.Bip.","Monge, M; Shimizu, GH; Bellinelo, R","415","2008","07","23",NA,"Brazil","Minas Gerais","Serra do Cipó, MG-010, Santana do Riacho a Cardeal Mota. Entrada da Estradinha para Velózias Gigantes.",NA,"Arbusto 1,5 m de altura. Flores roxas.","UEC199616","UEC199616",NA,NA,NA,"Santana do Riacho","-43.521222","-19.246472","-43.521222","-19.246472","1317","1317",NA,NA,NA,NA,NA,NA
"9","2021-02-15 11:56:53-03","UNICAMP","UEC","105548","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex A.DC.) Sch.Bip.","Feres, FR; Belinello, R; Crespo, S","9956","1999","03","05",NA,"Brazil","Minas Gerais","BR 367., Sentido Diamantina - Couto de Magalhães de Minas, afloramento rochoso e campo rupestre ao lado direito da estrada, entrada antes da ponte do Córrego Soberbo.",NA,"Arbusto reptante, entre pedras, ca. 30 cm. altura, lígulas lilases, estigma lilás.","UEC069478","UEC069478","Loeuille, B","2011",NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"10","2021-03-01 16:25:01-03","UNICAMP","UEC","196050","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex A.DC.) Sch.Bip.","Barros, F","1124","1985","06","06",NA,"Brazil","Minas Gerais","Estrada Diamantina-Mendanha.",NA,"Subarbusto ca. 30cm alt. Flores arroxeadas.","UEC134281","UEC134281","Semir, J; Volet, DP","2017","03","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"11","2021-02-15 11:56:53-03","UNICAMP","UEC","45999","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex A.DC.) Sch.Bip.","Semir, J; Martins, FR; Leitão Filho, HF; Tamashiro, JY","17543","1985","06","06",NA,"Brazil","Minas Gerais","Estrada Diamantina - Mendanha, Km 585",NA,"Subarbusto até 0,60 m., capítulos com flores roxas.","UEC069502","UEC069502","Loeuille, B","2011",NA,"Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"12","2014-10-14 15:56:24-03","BS","M","M-0029434","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,"Habitat in editis campis ad Tejuco Serro Frio; Provinciae Minas Geraes.",NA,NA,"M0029434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE",NA,NA
"13","2015-09-04 10:21:32-03","MNHN","RECOLNAT_MNHN_P","P04318894","PreservedSpecimen",NA,NA,NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Martius, C.F. von",NA,NA,"5",NA,NA,"Brésil",NA,"Brasilia, Min. Ger., in editis campis ad Tejuco, Serro Frio","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04318894' target='other'> <mi>dwc_moreinfo</mi></a>","P04318894","P04318894_01 P04318894_02","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA
"14","2020-12-11 11:33:23-03","UFMG","BHCB","120963","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Almeida, TE; Souza, DT; Echternacht, LA; Viana, MM","1394","2008","06","20","Southern America","Brasil","Minas Gerais","Distrito de São Gonçalo do Rio das Pedras.",NA,"Herbáceo terrestre. Flores lilás.; Campos limpos e matas de galeria; campo rupestre.","BHCB025584",NA,NA,"2015","06","Serro","-43.476389","-18.431944","-43.476389","-18.431944","1174","1174",NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:33:23-03","UFMG","BHCB","56153","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Barreto, HLM","9516","1937","11","05","Southern America","Brasil","Minas Gerais","Guinda.",NA,"Arbustivo, 0,2m. Flor violácea. Frequência regular.; Campo arenoso.","BHCB025586",NA,NA,"2015","06","Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"16","2020-12-11 11:33:23-03","UFMG","BHCB","107871","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Viana, PL; L. E. Lopes","2798","2005","04","10","Southern America","Brasil","Minas Gerais","Parque Estadual do Rio Preto.",NA,"Arbusto 60cm com capítulos lilases.; Subida pro Pico Dois Irmãos, em campo rupestre.","BHCB025585",NA,NA,"2015","06","São Gonçalo do Rio Preto","-43.3908004760742","-18.0041999816895",NA,NA,NA,NA,"26697","auto",NA,NA,NA,NA
"17","2013-01-13 21:53:00-02","MO","MOBOT","3364417","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","Gerald L. Smith|V.F. Ferreira|John G. Stutts|N.F.F. MacLeish","Smith 1003","1980","10","4","South America","Brazil","Minas Gerais","Serra do Espinhaco. 10 km NE of Diamantina. Rock outcrops in rocky campo of quartzite sand and rock.",NA,NA,NA,NA,"GLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2013-01-20 19:16:00-02","MO","MOBOT","3364518","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","John G. Stutts|F.V. Ferreira|N.F.F. MacLeish","Stutts 922","1980","10","4","South America","Brazil","Minas Gerais","Serra de Espinacho. About 10 km NE of Diamantina. Rocky campo. Thin soil on rock outcrop.",NA,NA,NA,NA,"H. Robinson",NA,NA,NA,NA,NA,NA,NA,"1350.00000000",NA,NA,NA,NA,NA,NA,NA
"19","2009-08-28 05:32:00-03","MO","MOBOT","3364614","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","Robert M. King|Luther E. Bishop","King 8562","1981","1","19","South America","Brazil","Minas Gerais","15 km from Diamantina along road NE to Mendanha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1066.80000000",NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3070812","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","G. Hatschbach & R. Kummrow","49776","1985","9","17","South America - Neotropics","Brazil","Minas Gerais","Diamantina, rod. p/c. Magalhaes",NA,NA,"US01635388","US01635388_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1",NA
"21","2020-09-12 05:00:02-03","US","US","3300825","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","F. Ferreira, G. Smith, N. F. F. MacLeish & J. G. Stutts","922","1980","10","4","South America - Neotropics","Brazil","Minas Gerais","Serra de Espinacho. About 10 km NE of Diamantina.",NA,NA,"US01254047",NA,"Robinson, H.",NA,NA,NA,NA,NA,NA,NA,"1350",NA,NA,NA,"Dicotyledonae",NA,"1",NA
"22","2020-09-12 05:00:02-03","US","US","2922501","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","R. M. King & L. E. Bishop","8562","1981","1","19","South America - Neotropics","Brazil","Minas Gerais","Brasilianae, 15 km from Diamantina along road NE to Mendanha",NA,NA,"US01635387","US01635387_01",NA,NA,NA,NA,NA,NA,NA,NA,"1067",NA,NA,NA,"Dicotyledonae",NA,"1",NA
"23","2020-09-12 05:00:02-03","US","US","3247223","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","J. G. Stutts, F. Ferreira, G. Smith & N. F. F. MacLeish","922","1980","10","4","South America - Neotropics","Brazil","Minas Gerais","Serra de Espinacho, about 10 km NE of Diamantina",NA,NA,"US01635389","US01635389_01",NA,NA,NA,NA,NA,NA,NA,NA,"1350",NA,NA,NA,"Dicotyledonae",NA,"1",NA
"24","2019-11-13 11:16:30-03","USP","SPF","223446","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Franco, IM","609","2010","10","30",NA,"Brasil","Minas Gerais","Campus JK da UFVJM.",NA,NA,"SPF00223446",NA,"Loeuille, B","2015",NA,"Diamantina","-43.568906","-18.198339","-43.568906","-18.198339","1342","1342",NA,NA,NA,NA,NA,NA
"25","2021-03-15 18:25:34-03","USP","SPF","224406","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Siniscalchi, CM","549","2014","09","03",NA,"Brasil","Minas Gerais","Parque Nacional das Sempre-Vivas, Afloramentos rochosos próximos a córrego atrás da casa dos guarda-parques.",NA,"Arbustos ramificados, folhas discolores, verde cinéreas. Brácteas involucrais acinzentadas, flores lilases, pápus estramíneo.; Afloramentos rochosos.","SPF00224406",NA,"Loeuille, B","2014","09","Buenópolis","-43.785556","-17.916667","-43.785556","-17.916667","128","128",NA,NA,NA,NA,NA,NA
"26","2019-09-04 19:58:28-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Vernonia","leptospermoides","Vernonia leptospermoides",NA,"C. F. P. von Martius",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA
"27","2020-04-29 16:29:36-03","UFVJM","HDJF","5658","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch. Bip.","Chaves, DA","182","2013","08","14","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Gouveia sentido Curvelo",NA,NA,"HDJF005658","HDJF005658_01","Chaves, DA","2014","07",NA,"-43.92625","-18.58455","-43.92625","-18.58455","1192","1192",NA,NA,NA,NA,NA,"29"
"28","2019-11-01 14:54:23-03","UnB","UB","207021","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Piptolepis","leptospermoides","Piptolepis leptospermoides","(Mart. ex DC.) Sch.Bip.","Chaves, DA","75","2013","12","16","Southern America","Brasil","Minas Gerais","Cadeia do Espinhaço: Córrego do Soberbo e entorno, Campus II UFVJM",NA,"Complexo Rupestre",NA,NA,"Chaves, DA","2014","07",NA,"-43.56555","-18.199033","-43.56555","-18.199033","1330","1330",NA,NA,NA,NA,NA,"29"
