"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","798193","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Schlechtendalia","luzulaefolia","Schlechtendalia luzulaefolia","Less.","E. M. Zardini","G. G. Hatschbach","35458","1974","11","13","South America","Brazil","Paraná","Jaguariaíva","Rio Samambaia","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798193","NY00798193_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 18:27:00-02","NY","NYBG","798195","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Schlechtendalia","luzulaefolia","Schlechtendalia luzulaefolia",NA,"F. W. Klatt","A. Isabelle","31",NA,NA,NA,"South America","Uruguay",NA,NA,"Cerro",NA,NA,"sheet","Décembre <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798195","NY00798195_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","821558","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Schlechtendalia","luzulaefolia","Schlechtendalia luzulaefolia","Less.","Z. Zhao","T. M. Pedersen","12612","1979","12","02","South America","Brazil","Rio Grande do Sul","Sao Lourenço do Sul","BR 116, main road from Pelotasto Porto Alegre, between arroio S. Isabel & R. Camaqua (km 167).","-51.9781","-31.3656","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821558","NY00821558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","798194","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Schlechtendalia","luzulaefolia","Schlechtendalia luzulaefolia","Less.",NA,"J. E. Leite","2432","1942","01",NA,"South America","Brazil","Rio Grande do Sul",NA,"Porto Alegre, Morro da Policia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798194","NY00798194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","232425","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Schlechtendalia","luzulifolia","Schlechtendalia luzulifolia","Less.",NA,"F. Sellow","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00232425","NY00232425_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-24 17:10:31-03","UTFPR","DVPR","5634","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Schlechtendalia","luzulifolia","Schlechtendalia luzulifolia","Less.","Barboza, E","Silva, JM; Bayeri, I; Noguchi, G","9120","2015","11","22",NA,"Brasil","Paraná","Castro","PCH Rio Iapó. Fazenda Marumbi.","-50.0712","-24.4414",NA,"Erva xilopodifera; capitulo amarelo.; Estepe gramineo-lenhosa (Campo limpo e pedregoso).","DVPR005634",NA,NA,"2016","11","22","-50.0712","-24.4414","980","980",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:51:18-03","NBC","NL-BOTANY","L.3670813","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Schlechtendalia","luzulaefolia","Schlechtendalia luzulaefolia","Less.",NA,"Sellow F",NA,"1833","01","01","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3670813 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3670813","NL-L3670813",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:51:18-03","NBC","NL-BOTANY","L.3670812","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Schlechtendalia","luzulifolia","Schlechtendalia luzulifolia","Less.",NA,"Pedersen TM",NA,"1977","01","16","Southern America","Uruguay",NA,NA,"Cuñapirú, Dep. Rivera.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3670812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3670812","NL-L3670812",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:51:18-03","NBC","NL-BOTANY","U.1146070","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Schlechtendalia","luzulifolia","Schlechtendalia luzulifolia","Less.",NA,"Lindeman JC; Irgang BE; Valls JFM",NA,"1971","10","15","Southern America","Brazil",NA,NA,"Loc: Brasil. Cerro Palomas, 18km E de Livramento, morro de arerito com chapada de basalto.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1146070 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1146070","NL-U1146070",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:51:18-03","NBC","NL-BOTANY","AMD.46089","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Schlechtendalia","luzulifolia","Schlechtendalia luzulifolia","Less.",NA,"Herter WG",NA,"1933","12","02","Southern America","Uruguay",NA,NA,"Dep de Rivera, Galgo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.46089 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD46089","NL-AMD46089",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:51:18-03","NBC","NL-BOTANY","L.3670810","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Schlechtendalia","luzulifolia","Schlechtendalia luzulifolia","Less.",NA,"Pedersen TM",NA,"1979","12","02","Southern America","Brazil",NA,NA,"Rio Grande do Sul, mun. São Lourenco do Sul: Br116, main road from Pelotasto Porto Alegre, between arroio S. Isabel & R. Camaqua (km 167). Steep, eroded banks.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3670810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3670810","NL-L3670810",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:51:18-03","NBC","NL-BOTANY","L.3670811","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Schlechtendalia","luzulifolia","Schlechtendalia luzulifolia","Less.",NA,"Pedersen TM",NA,"1977","01","16","Southern America","Uruguay",NA,NA,"Cuñapirú, Dep. Rivera.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3670811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3670811","NL-L3670811",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
