"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:43:56-03","E","E","83451","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Schultes, R.E.","8620","W. Tropical South America","CO","herbarium specimen of unspecif","BGBASE:92377","<a href=http://data.rbge.org.uk/herb/E00083451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685217","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","R. M. Harley","52195","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685217","Magnoliophyta","Pandanales","Miers","H. Maas-van de Kamer","1992","02","24","Bahia","Abaíra","Tijuquinho","-41.9","-13.27","1700","1800","NY00685217_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:54:32-03","EAO","IAN","60119","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Schultes, RE","8620","Southern America","Brasil",NA,NA,NA,"IAN060119","Monocotiledônea",NA,"Miers","Maas, PJM","1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN060119 IAN060119_d IAN060119_e","1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:54:32-03","EAO","IAN","92883","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Schultes, RE","8620",NA,"Colômbia",NA,NA,NA,"IAN092883","Monocotiledônea",NA,"Miers","Maas, PJM","1946","11",NA,NA,NA,"Trapecio amazónico, Loretoyacu River, in floodland forest along banks of lake Socó. Amazonas.",NA,NA,NA,NA,NA,"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:54:32-03","EAO","IAN","174885","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Souza, MAD de; Brito, JM de","1924","Southern America","Brasil",NA,NA,"Crescendo em solo com muito liteira. Ra¡zes brancas, caule e estigma marrons. Formando popula¦Æo densa, s¢ vista nesse local.","IAN174885","Monocotiledônea",NA,"Miers","Cordeiro, MR","2001","04","17","Pará","Moju","Campo Experimental da Embrapa Amazônia Oriental, km 30 da rodovia PA-150, ramal do km 34.","-48.7689018249512","-1.88389003276825",NA,NA,NA,NA,"186920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:32-03","EAO","IAN","174885","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Souza, MAD de; Brito, JM de","1924","Southern America","Brasil",NA,NA,"Crescendo em solo com muito liteira. Ra¡zes brancas, caule e estigma marrons. Formando popula¦Æo densa, s¢ vista nesse local.","IAN174885","Monocotiledônea",NA,"Miers","Cordeiro, MR","2001","04","17","Pará","Moju","Campo Experimental da Embrapa Amazônia Oriental, km 30 da rodovia PA-150, ramal do km 34.","-48.7689018249512","-1.88389003276825",NA,NA,NA,NA,"186920","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L 0050325","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Ule EHG",NA,"Southern America","Brazil",NA,NA,"Auf vermodertem Holz.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200050325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0050325",NA,"Pandanales","Miers","Maas PJM","1900","02","01","Rio de Janeiro",NA,"BrasilienseEstado de Rio de JaneiroSerra do Madre",NA,NA,NA,NA,"NL-L0050325","1977",NA,NA,"Magnoliopsidae","04","01","isotype","908247665",NA,NA,NA,NA,NA
"8","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.1167671","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Schultes",NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1167671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1167671",NA,"Pandanales","Miers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1167671",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.1167672","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Schultes",NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1167672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1167672",NA,"Pandanales","Miers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1167672",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.1204003","PreservedSpecimen","Plantae","Triuridaceae","Triuris","hyalina","Triuris hyalina","Alleizette AC d'",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1204003 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1204003",NA,"Pandanales","Miers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1204003",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"L 0109134",NA,NA,NA,NA,NA
