"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","identifiedBy","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4104352","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","B. Maguire","27599","1948","12","12","South America","Venezuela","Amazonas","on summit of Peak I, Cerro Sipapo (Paráque)","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424731' target='other'> <mi>dwc_moreinfo</mi></a>","NY04104352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04104348","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","B. Maguire","24344","1944","08","11","South America","Suriname",NA,"Saramacca River, high bush east of North Ridge",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424727' target='other'> <mi>dwc_moreinfo</mi></a>","NY04104348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4104349","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","B. Maguire","43891","1960","06","19","South America","Guyana",NA,"Upper Mazaruni River Basin, along trail between Partang Rapids and first falls of Partang River, Merume Mountains","460","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424728' target='other'> <mi>dwc_moreinfo</mi></a>","NY04104349","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4104351","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","J. J. Wurdack","43740","1959","08","03","South America","Venezuela","Amazonas","Occasional on right bank of Rio Orinoco just below nouth of Rio Atabapo","125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424730' target='other'> <mi>dwc_moreinfo</mi></a>","NY04104351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4104353","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","R. L. Liesner","25536","1988","10","28","South America","Venezuela","Amazonas","In saddle between Duida and Marahuaca near base of Duida and Marahuaca near base of Duida","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424733' target='other'> <mi>dwc_moreinfo</mi></a>","NY04104353","1200","Atabapo","-65.53","3.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1032147","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","P. K. H. Dusén","16659","1915","02","10","South America","Brazil","Paraná","Jacarehy",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191214' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032147",NA,NA,NA,NA,"P. K. H. Dusén","NY01032147_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","4104350","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","desvauxiana","Maxillaria desvauxiana","Rchb.f.","R. C. Ek","nr273","1986","09",NA,"South America","French Guiana","Cayenne","2 km SW of Saül, track Limonade","180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4424729' target='other'> <mi>dwc_moreinfo</mi></a>","NY04104350","210","Saül","-53.2","3.53",NA,"NY04104350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:48-03","EAO","IAN","195224","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb. f.) Carnevali & R.Singer","Gomes, DAA","PSACF339","2012","06","09","Southern America","Brasil","Pará","Sítio Canais e Diques. Lesto Oeste direita (UTM: 9634857N/ 400249E).",NA,NA,"Coletada em vegetação secundária inicial. Epífita; fixada ca. 20m altura, flores vináceas.","IAN195224",NA,"Vitória do Xingu","-52.0099983215332","-2.88000011444092","Silva, MQC",NA,"2014","01","79439","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-12 15:31:47-03","UFABC","HUFABC","001166","PreservedSpecimen","Plantae","Angiospermas",NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.B.Singer","Inglês (aviador)","s.n.",NA,NA,NA,NA,"Brasil","Rondonia","Rodovia Rondonia",NA,NA,"Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo sob o número de identificação Ibt10113","HUFABC001166",NA,NA,NA,NA,NA,"HUFABC001166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-12 15:31:47-03","UFABC","HUFABC","000937","PreservedSpecimen","Plantae","Angiospermas",NA,"Orchidaceae","Mapinguari","desvauxianus","Mapinguari desvauxianus","(Rchb.f.) Carnevali & R.B.Singer","Barros, F; Romanini, R P; Lacengo, J S","s.n.","2004",NA,NA,NA,"Brasil","São Paulo","Ilha do Cardoso",NA,NA,"Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo sob o número de identificação Ibt17934, coletada em 2018 por Moraes, A. P.","HUFABC000937",NA,"Cananéia","-47.9199981689453","-25.0100002288818",NA,"HUFABC000937",NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
