"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","preparationType","occurrenceRemarks","barcode","imagecode","day","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","relationshipType","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","807665","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","H. Luederwaldt","21315","1906","06","South America","Brazil","São Paulo","Ipiranga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807665","NY00807665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01112763","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","R. M. Harley","22609","1980","05","South America","Brazil","Bahia",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112763","NY01112763_01","25","Serras dos Lençois. Serra da Larguinha, ca. 2 km NE of Caeté-Açu (Capao Grande). West facing ridge","-41.48","-12.6","1000","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3903048","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","E. Hassler","5680",NA,NA,"South America","Paraguay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189801' target='other'> <mi>dwc_moreinfo</mi></a>","NY03903048","NY03903048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","908789","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","H. S. Irwin","25764","1970","01","South America","Brazil","Minas Gerais","Patrocínio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908789","NY00908789_01","31","Ca. 12 km N. of Patrocínio","-46.9925","-18.9439","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","3903050","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","J. A. Steyermark","901","1955","02","South America","Venezuela","Bolívar",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189803' target='other'> <mi>dwc_moreinfo</mi></a>","NY03903050","NY03903050_01","17","Chimantá Massif. Central Section. Swampy savanna along west branch of headwaters of Rio Tirica above Upper Falls.",NA,NA,"2090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3903052","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","J. A. Steyermark","901","1955","02","South America","Venezuela","Bolívar",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189805' target='other'> <mi>dwc_moreinfo</mi></a>","NY03903052","NY03903052_01","17","Chimantá Massif. Central Section. Swampy savanna along west branch of headwaters of Rio Tirica above Upper Falls.",NA,NA,"2090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2063392","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","F. B. Matos","600","2005","06","South America","Brazil","Paraná","Piraquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2463867' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063392","NY02063392_01","05","Mananciais da Serra, próximo ao Reservatório do Carvalho.","-48.98","-25.48","910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","807668","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","R. Schmalz","71","1901","07","South America","Brazil","Santa Catarina","Joinville","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00807668","NY00807668_01","21",NA,"-48.8456","-26.3044","25","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","908790","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","H. S. Irwin","28479a","1970","03","South America","Brazil","Minas Gerais","Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908790","NY00908790_01","28","Serra do Espinhaço, ca. 3 km N. of São João da Chapada, road to Campo do Sampaio","-43.7833","-18.0833","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3903047","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","lomariaceum","Lytoneuron lomariaceum","(Klotzsch) Yesilyurt","E. Hassler","6846",NA,NA,"South America","Paraguay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189800' target='other'> <mi>dwc_moreinfo</mi></a>","NY03903047","NY03903047_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
