"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","coordinatePrecision","geoFlag","imagecode","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","504141","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.","L. B. Smith","A. Lourteig","2236","1967","12","16","South America","Brazil","Santa Catarina","Lajes","Indios campos","-50.3258","-27.8161","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504140","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.","L. B. Smith","A. Lourteig","2246","1967","12","16","South America","Brazil","Santa Catarina","Lajes","Indios, campos","-50.3258","-27.8161","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504139","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.","L. B. Smith","R. Reitz","17592","1965","12","14","South America","Brazil","Paraná","Guarapuava","8 km ao oeste de Guarapuava, Guarapuava","-51.5632738","-25.394435","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","504142","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.","L. B. Smith; R. J. Downs","L. B. Smith","9483","1956","12","26","South America","Brazil","Santa Catarina","Chapecó","Fazenda Campo Sao Vicente, 24 km west of Campo Ere","-53.18","-26.37","900","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=304825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:30:16-03","UFRJ","RFA","8140","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.",NA,"P. Occhioni","3421","1966","11","09",NA,"Brasil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"Flor alva","RFA27394","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:38:21-03","EAO","IAN","5282","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","glechomaefolius","Croton glechomaefolius","Müll.Arg.",NA,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN005282",NA,NA,"IAN005282_ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:47:59-03","NBC","NL-BOTANY","U.1267684","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.",NA,"Hatschbach GG; Hatschbach M; Motta JT",NA,"1995","08","19","Southern America","Brazil","Sergipe",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1267684 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1267684",NA,NA,"NL-U1267684","Magnoliopsidae","U 0115461",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:47:59-03","NBC","NL-BOTANY","U.1267686","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.",NA,"Lindeman JC; Haas JH de",NA,"1966","10","11","Southern America","Brazil",NA,NA,"Flora Brasiliae Australis, Just s. of Curitiba, road side 5 km N. of the Iguaçú.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1267686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1267686",NA,NA,"NL-U1267686","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:47:59-03","NBC","NL-BOTANY","U.1267687","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.",NA,"Bornmüller A",NA,"1904","10","18","Southern America","Brazil",NA,NA,"Flora von Süd- Brasilien, Rio Grande do Sul, Neu- Wurtemberg:Estauma L-Gomek.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1267687 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1267687",NA,NA,"NL-U1267687","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:47:59-03","NBC","NL-BOTANY","U.1267688","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.",NA,"Lindeman JC; Irgang BE; Valls JFM",NA,"1971","10","30","Southern America","Brazil",NA,NA,"No campo 20 km W de passo Fundo.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1267688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1267688",NA,NA,"NL-U1267688","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:47:59-03","NBC","NL-BOTANY","WAG.1796623","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.",NA,"Smith LB; Klein RM",NA,"1964","12","06","Southern America","Brazil",NA,NA,"Santa Catarina. Mun. Campo Erê: 6 km west of Campo Erê.","-53.1","-26.366667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1796623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1796623",NA,NA,"NL-WAG1796623","Magnoliopsidae",NA,"-53.1","-26.366667",NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:07:28-03","ESALQ","ESA","63464","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","glechomaefolius","Croton glechomaefolius","Muell.Arg.","Cordeiro, I.","Scaramuzza, C.A.M. ; Souza, V.C.",NA,"1993","01","01",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA063464","27729","auto","ESA063464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:07:28-03","ESALQ","ESA","40496","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Muell. Arg.",NA,"Chung, F.; Matos, J.; Schmidt, M.; Gandara, F.; Ivanauskas, N.M.; Vanini, A.; Souza, J.P.; Souza, V.C.; Tamashiro, J.Y.; Rodrigues, R.R.","7.0","1997","12","10",NA,"Brasil","São Paulo","Bom Sucesso de Itararé","Fazenda Nicolau. Campo, área com afloramentos rochosos","-490.905","-241.611",NA,NA,NA,"Erva de 20 cm, flores brancas hermafroditas","ESA040496",NA,NA,"ESA040496",NA,NA,"-490,905","-241,611",NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:07:28-03","ESALQ","ESA","21160","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll.Arg.","Cordeiro, I.","Souza, V.C. et al.","7022.0","1994","11","12",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA021160","27729","auto","ESA021160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:07:28-03","ESALQ","ESA","11867","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Baill.","Cordeiro, I.","Souza, V.C. et al.","4175.0","1993","09","06",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,"ESA011867","27729","auto","ESA011867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-27 13:29:02-03","IAP","PACA-AGP","3047","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Croton","glechomifolius","Croton glechomifolius","Müll. Arg.","Emrich-Rambo","Rambo, B.",NA,"1937","12","16",NA,"Brasil","RS","Cruz Alta",NA,"-53.6063995361328","-28.638599395752",NA,NA,NA,"Habitat: in aerodromo Fenofase: estéril","PACA003047","44498","auto",NA,"Magnoliatae",NA,NA,NA,"1954","07","30",NA,NA,NA
