"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","coordinatePrecision","preparationType","geoFlag","typeStatus","class","eventTime","fieldNumber","individualCount","relatedCatalogItem","minimumDepthInMeters","maximumDepthInMeters"
"1","2021-04-05 14:25:30-03","UNESC","CRI","14537","PreservedSpecimen","Plantae","Melastomataceae","Leandra","pilonensis","Leandra pilonensis","Wurdack","Oliveira, AA de","2011","01","19","Stival-Santos, A.; Silveira, S.","3213","2010","07","08","Brasil","Santa Catarina","Antônio Carlos","RPPN Caraguatá. RPPN Caraguatá.","-48.87","-27.45","48º52'12''W","27º27'S","710","710","Florística IFFSC 388 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto; Fruto verde;","CRI013564","CRI013564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:30-03","UNESC","CRI","14934","PreservedSpecimen","Plantae","Melastomataceae","Leandra","pilonensis","Leandra pilonensis","Wurdack","Oliveira, AA de","2010","04","30","Stival-Santos, A.; Legal, E. & Silveira, S.","2373","2010","04","06","Brasil","Santa Catarina","Angelina","Linha do Chaves. Linha do Chaves.","-48.96","-27.54","48º57'36''W","27º32'24''S","718","718","Florística IFFSC 349 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbusto; Fruto verde;","CRI014317","CRI014317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02591366","PreservedSpecimen","Plantae","Melastomataceae","Leandra","brackenridgei","Leandra brackenridgei","(A.Gray) Cogn.","M. Reginato",NA,NA,NA,"E. A. da Anunciação","765","2000","01","07","Brazil","São Paulo","Iguape","Estaçao Ecológica Juréia-Itatins, Serra da Juréia, trilha para o alto do topo de morro","-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2855252' target='other'> <mi>dwc_moreinfo</mi></a>","NY02591366","NY02591366_01","Magnoliophyta","Myrtales","South America","55628","sheet","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03166904","PreservedSpecimen","Plantae","Melastomataceae","Leandra","brackenridgei","Leandra brackenridgei","(A.Gray) Cogn.",NA,NA,NA,NA,"M. Reginato","1317","2012","02","14","Brazil","São Paulo","São Paulo","P.E. da Serra do Mar, Núcleo Curucutu, estrada para o parque","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3432209' target='other'> <mi>dwc_moreinfo</mi></a>","NY03166904",NA,"Magnoliophyta","Myrtales","South America","53584","sheet","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02499168","PreservedSpecimen","Plantae","Melastomataceae","Leandra","brackenridgei","Leandra brackenridgei","(A.Gray) Cogn.","M. Reginato",NA,NA,NA,"M. Reginato","1317","2012","02","14","Brazil","São Paulo","São Paulo","P.E. da Serra do Mar, Núcleo Curucutu, estrada para o parque","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085128' target='other'> <mi>dwc_moreinfo</mi></a>","NY02499168","NY02499168_01","Magnoliophyta","Myrtales","South America","53584","sheet","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","685372","PreservedSpecimen","Plantae","Melastomataceae","Leandra","pilonensis","Leandra pilonensis","Wurdack","R. Goldenberg",NA,NA,NA,"R. Goldenberg","762","2005","10","19","Brazil","São Paulo","Apiaí","Estrada Apiaí - Capão Bonito, a 5 km de Apiaí","-48.8106","-24.508051",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685372","NY00685372_01","Magnoliophyta","Myrtales","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02012814","PreservedSpecimen","Plantae","Melastomataceae","Leandra","pilonensis","Leandra pilonensis","Wurdack",NA,NA,NA,NA,"R. Goldenberg","809","2005","10","26","Brazil","Paraná","Morretes","Parque Estadual do Pico Marumbi, Morro do Facãozinho","-48.953873","-25.42156",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499544' target='other'> <mi>dwc_moreinfo</mi></a>","NY02012814","NY02012814_01","Magnoliophyta","Myrtales","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","520495","PreservedSpecimen","Plantae","Melastomataceae","Leandra","pilonensis","Leandra pilonensis","Wurdack","J. J. Wurdack",NA,NA,NA,"B. Maguire","44564","1959","12","06","Brazil","São Paulo","Sao Paulo","Biological Station (Sao Paulo) at Paranapiacaba","-46.3","-23.75",NA,NA,"792","853","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520495","NY00520495_01","Magnoliophyta","Myrtales","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","228728","PreservedSpecimen","Plantae","Melastomataceae","Leandra","pilonensis","Leandra pilonensis","Wurdack",NA,NA,NA,NA,"L. B. Smith","7980","1956","11","29","Brazil","Santa Catarina",NA,"Mun. Palhoca, Piloes","-48.694057","-27.77489",NA,NA,"50","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228728","NY00228728_01","Magnoliophyta","Myrtales","South America",NA,"sheet",NA,"isotype",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","520494","PreservedSpecimen","Plantae","Melastomataceae","Leandra","pilonensis","Leandra pilonensis","Wurdack","J. J. Wurdack",NA,NA,NA,"R. Reitz","3200","1956","05","03","Brazil","Santa Catarina","Palhoça","Pilhoes","-48.6678","-27.6456",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520494","NY00520494_01","Magnoliophyta","Myrtales","South America",NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
