"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","day","verbatimLongitude","verbatimLatitude","locality","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","625703","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","F. C. Hoehne","C. Spannagel","25506","1928","08","South America","Brazil","Rio de Janeiro","Petrópolis","-43.22","-22.88","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=124934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 11:09:44-03","UNESP-IBB","BOTU","28431","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","Marcusso, G.M.","Marcusso, G.M.","17A","2011","08",NA,"Brasil","São Paulo","Botucatu","-48.457778","-22.923056",NA,NA,"BOTU028431","2011","08","24","12","48°27'28w","22°55'23 s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","27795","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","Kollmann, L.","Couto, D.R.","171","2004","08",NA,"Brasil","Espírito Santo","Mimoso do Sul",NA,NA,NA,NA,"BOTU027795","2005","05","20","21","9999","9999","Pedra dos Pontões",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:09:44-03","UNESP-IBB","BOTU","28432","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","Marcusso, G.M.","Marcusso, G.M.","17B","2011","08",NA,"Brasil","São Paulo","Botucatu","-48.457778","-22.923056",NA,NA,"BOTU028432","2011","08","24","12","48°27'28w","22°55'23 s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:35-03","UFRJ","RFA","37542","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","M. S. Wängler","M. S. Wängler; G. F. Mazoni; F. C. Alzer; A. M. Paiva","869","2011","10",NA,"Brasil","Rio de Janeiro","Paty do Alferes","-43.390833","-22.448333",NA,"Erva terrícola 70 cm; raízes espessas brancas; folhas verdes, lanceoladas, quilhadas; inflorescência verde; fruto imaturo, cápsula.","RFA38804","2011","10","18","18","43º23'27''W","22º26'54''S","APA Palmares, Zona de Vida Silvestre, Alameda Palmares",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:35-03","UFRJ","RFA","37527","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","M. S. Wängler","M. S. Wängler; G. F. Mazoni; F. C. Alzer; A. M. Paiva","853","2011","09",NA,"Brasil","Rio de Janeiro","Paty do Alferes","-43.391111","-22.448333",NA,"Erva 1,30m; raízes espessas, brancas; folhas verdes, lanceoladas, quilhadas; flores brancas, cálice verde, sépalas côncavas alvo-amarelas, labelo branco, cápsulas imaturas","RFA38806","2011","09","17","17","43º23'28''W","22º26'54''S","APA Palmares, Zona de Vida Silvestre, Alameda Palmares",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:35-03","UFRJ","RFA","37595","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","M. S. Wängler","M. S. Wängler; F. C. Alzer; V. S. Ferreira; D. F. Massunaga","941","2011","10",NA,"Brasil","Rio de Janeiro","Paty do Alferes","-43.381667","-22.446389",NA,"Erva terrícola 1m; raízes espessas, brancas; folhas verdes, lanceoladas, quilhadas; inflorescência verde, brácteas verdes; flores brancas, sépalas côncavas verdes, labelo branco.","RFA38808","2011","10","22","22","43º22'54''W","22º26'47''S","APA Palmares, Zona de Vida Silvestre. Alameda Palmares, antes da propriedade do Sr. Luciano e depois da nascente.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:35-03","UFRJ","RFA","37635","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","M. S. Wängler","M. S. Wängler; G. F. Mazzoni; R. C. Albuquerque","915","2011","10",NA,"Brasil","Rio de Janeiro","Paty do Alferes","-43.385833","-22.445833",NA,"Erva terrícola 80cm, terrícola; raízes espessas, brancas; folhas verdes, lanceoladas, quilhadas; brácteas verdes; frutos imaturos verdes com mais de 60 capsulas.","RFA38803","2011","10","09","09","43º23'9''W","22º26'45''S","APA Palmares, Zona de Vida Silvestre. Propriedade da Sra. Isabel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:35-03","UFRJ","RFA","37691","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","M. S. Wängler","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga","665","2011","06",NA,"Brasil","Rio de Janeiro","Paty do Alferes","-43.399722","-22.447778",NA,"erva terrícola de 20 cm; raízes espessas, brancas; 3 folhas verdes, lanceoladas, quilhadas. Estéril.","RFA38807","2011","06","18","18","43º23'59''W","22º26'52''S","APa Palmares, Zona de Vida silvestre, Alameda Palmares, próximo à nascente.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:35-03","UFRJ","RFA","37792","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","M. S. Wängler","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga","765","2011","07",NA,"Brasil","Rio de Janeiro","Paty do Alferes","-43.400278","-22.446111",NA,"Erva terrícola; raízes espessas; folhas verdes, lanceoladas, quilhadas; inflorescência imatura","RFA38805","2011","07","23","23","43º24'1''W","22º26'46''S","APA Palmares, Zona de Vida Silvestre, Divino Vale.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 11:31:49-03","UFRJ","RFA","37798","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Sauroglossum","nitidum","Sauroglossum nitidum","(Vell.) Schltr.","M. S. Wängler","M. S. Wängler; G. F. Mazzoni; R. C. Albuquerque",NA,"2011","10",NA,"Brasil","Rio de Janeiro","Paty do Alferes","-43.383889","-22.443056",NA,"Erva terrícola 77 cm; raízes espessas, brancas; folhas verdes lanceoladas, quilhadas; infrutescência em cacho, mais de 50 frutos cápsulas.","RFA38816","2011","12","20","08","43º23'2''W","22º26'35''S","APa Palmeares, Zonda de Vida Silvestre, Propriedade da Sra. Isabel",NA,NA,NA,NA,NA,NA,NA,NA,NA
