"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","phylum","order","scientificNameAuthorship","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","relationshipType","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:56-03","E","E","288688","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","Werdermann, Erich","930","Temperate South America","CL","Región IV [Coquimbo]","Ovalle, el Palqui, La Paloma","400","400","herbarium specimen of unspecif","BGBASE:303308","<a href=http://data.rbge.org.uk/herb/E00288688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00288688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:56-03","E","E","146930","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","Pott, A.;","6186","E. Tropical South America","BR",NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:171299","<a href=http://data.rbge.org.uk/herb/E00146930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00146930","1992","06","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929809","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","G. T. Prance","26228","South America","Brazil","Mato Grosso","Transpantaneira Highway, Fazenda Jofre",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929809","1979","06","14","Magnoliophyta","Lamiales","L.","NY00929809_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","929805","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","F. E. Drouet","2733","South America","Brazil","Ceará","Irrigation ditches below Lagoa Parangabuçu",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929805","1935","12","03","Magnoliophyta","Lamiales","L.","NY00929805_01","Fortaleza","-38.5431","-3.7172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400619","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","W. W. Thomas","9529","South America","Brazil","Bahia","Rapids and falls of the Rio feeding into the Lagoa Encantada, Caldeiras.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400619","1993","01","17","Magnoliophyta","Lamiales","L.","NY00400619_01","Ilhéus","-39.17","-14.6","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","400596","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","P. K. H. Dusén","s.n.","South America","Brazil","Paraná","Piraquara",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412896' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400596","1909","01","07","Magnoliophyta","Lamiales","L.","NY00400596_01","Piraquara","-49.0631","-25.4419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01922109","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","M. H. Nee","52230","South America","Bolivia","Santa Cruz","4.3 km (by dirt road) NW of bridge over Río Piraí at La Bélgica.","370","370","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=717735' target='other'> <mi>dwc_moreinfo</mi></a>","NY01922109","2002","04","21","Magnoliophyta","Lamiales","L.",NA,"Andrés Ibáñez","-63.2447222","-17.5230556","P. C. Baleeiro S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400594","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","J. E. Leite","647","South America","Brazil","Rio Grande do Sul","Vicinity of Sao Leopoldo",NA,NA,"sheet",NA,"label says Eugenio Leite <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400594","1941","09",NA,"Magnoliophyta","Lamiales","L.","NY00400594_01","Sao Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01173247","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","G. T. Prance","8063","South America","Brazil","Amazonas","Basin of Rio Purus area. Lago Preto, 3km. North of Lábrea. Flooded lake bank.",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387586' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173247","1968","10","29","Magnoliophyta","Lamiales","L.","NY01173247_01","Lábrea","-64.7982109","-7.23797","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3857288","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","gibba","Utricularia gibba","J. J. Wurdack","41219","South America","Venezuela","Bolívar","Extreme north base. Cerro Baraguan and vicinity","100",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133990' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857288","1956","01","12","Magnoliophyta","Lamiales","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
