"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","886562","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","P. H. Labiak E.","P. H. Labiak E.","4144","2007","07","16","South America","Brazil","Espírito Santo","Afonso Cláudio","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886562","NY00886562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886582","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","P. H. Labiak E.; F. B. Matos","P. H. Labiak E.","4204","2007","07","18","South America","Brazil","Espírito Santo",NA,"Santa Maria do Jetibá. Pedra do Garrafão.","-40.9228","-20.1772","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886582","NY00886582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:19:09-03","UFV","VIC","052679","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","Pena, N.T.L.","Pinto Júnior, H.V.; et al.","425","2018","04","30",NA,"Brasil","Espirito Santo","Mimoso do Sul","Pedra dos Pontões, Inselberg granitico, jardim dos Pontões.","-41.3664016723633","-21.0641994476318",NA,NA,NA,"Planta de 20 cm, ilha de vegetação,folhas verdes pilosas, soros marrons, sombra, abundante.","VIC052679","VIC052679","2019","09","17","29430","auto",NA,NA,NA,NA,NA,NA
"4","2020-04-27 16:11:16-03","UFES","VIES","20411","S","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","N.T.L. Pena","Couto, D.R.; Kollmann, L.J.C. & Leme, E.M.C.","1194","2009","06","05",NA,"Brasil","Espírito Santo","Alegre","Pedra da Caveira da Anta.","-41.5331001281738","-20.763599395752",NA,NA,NA,NA,"VIES020411","VIES020411","2020","01","07","26101","auto",NA,NA,NA,NA,NA,NA
"5","2016-03-09 17:11:54-03","MNHN","RECOLNAT_MNHN_P","P00846404","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Pleopeltis","alborufula","Pleopeltis alborufula","Salino",NA,"Salino, A.|Arruda, A.J.|Viveros, R.S.|Megale, M.",NA,"2008","12","5",NA,"Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul. Na trilha para as piscinas naturais","-41.04056","-20.40222","1470",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00846404' target='other'> <mi>dwc_moreinfo</mi></a>","P00846404","P00846404_01",NA,NA,NA,NA,NA,"14117",NA,NA,NA,NA,NA
"6","2020-09-29 14:53:39-03","UFPR","UPCB","66987","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","Labiak, P.H.","Labiak, P.H.","4605","2008","02","13",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1250","1250",NA,"Rupícola, em local exposto ao sol, entre populações de Alcantarea..","UPCB0007451","UPCB0007451","2008","10",NA,NA,NA,NA,"9999","9999",NA,NA,NA
"7","2020-09-29 14:53:39-03","UFPR","UPCB","66986","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","Labiak, P.H.","Labiak, P.H.","4604","2008","02","13",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1250","1250",NA,"Rupícola, em local exposto ao sol, entre populações de Alcantarea..","UPCB0007450","UPCB0007450","2008","10",NA,NA,NA,NA,"9999","9999",NA,NA,NA
"8","2020-09-29 14:53:39-03","UFPR","UPCB","70790","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","Pereira, J.B.S.","Kollmann, L.","11095","2008","07","16",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1119","1400",NA,"Rupícola no sol..","UPCB0007449","UPCB0007449","2010","02","17",NA,NA,NA,"9999","9999",NA,NA,NA
"9","2020-09-29 14:53:40-03","UFPR","UPCB","57466","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","Labiak, P.H. & Matos, F.B.","Labiak, P.H.","4204","2007","07","18",NA,"Brasil","Espírito Santo","Santa Maria do Jetibá","BLOQUEADO",NA,NA,"1400","1400",NA,"Rupícola em local exposto ao sol, próximo ao cume. Afloramentos rochosos, com pequenas matas úmidas nos vales..","UPCB0007452","UPCB0007452",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA
"10","2020-09-29 14:53:40-03","UFPR","UPCB","57527","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","Labiak, P.H.","Labiak, P.H.","4144","2007","07","16",NA,"Brasil","Espírito Santo","Afonso Cláudio","BLOQUEADO",NA,NA,"1050","1050",NA,"Rupícola em local exposto ao sol. Afloramentos rochosos, com pequenas matas secas nos vales..","UPCB0007455","UPCB0007455","2007","07",NA,NA,NA,NA,"9999","9999",NA,NA,NA
"11","2020-09-29 14:53:40-03","UFPR","UPCB","57552","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","Labiak, P.H.","Labiak, P.H.","4175","2007","07","17",NA,"Brasil","Espírito Santo","Itaguaçu","BLOQUEADO",NA,NA,"1360","1360",NA,"Rupícola, em local exposto ao sol. Afloramentos rochosos, com pequenas matas úmidas nos vales..","UPCB0007454","UPCB0007454","2007","07",NA,NA,NA,NA,"9999","9999",NA,NA,NA
"12","2020-09-29 14:53:40-03","UFPR","UPCB","57558","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","Labiak, P.H.","Labiak, P.H.","4183","2007","07","18",NA,"Brasil","Espírito Santo","Santa Maria do Jetibá","BLOQUEADO",NA,NA,"1490","1490",NA,"Rupícola, em local exposto ao sol, próximo ao cume. Afloramentos rochosos, com pequenas matas úmidas nos vales..","UPCB0007453","UPCB0007453","2007","07",NA,NA,NA,NA,"9999","9999",NA,NA,NA
"13","2020-09-29 14:53:40-03","UFPR","UPCB","58273","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","Labiak, P.H.","Taniguti, E.",NA,"1989","03","23",NA,"Brasil","Paraná","Guaraqueçaba","Antiga estrada para Superagüi.","-48.3288993835449","-25.3066997528076",NA,NA,NA,"Arvoreta 2m, frutos roxos. Em mata..",NA,NA,"2007","07",NA,"37295","auto",NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","24925",NA,"Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","P. Labiak/Agosto-2014","L. Kollmann; et al","8048","2005","07","13",NA,"Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul","-41.019167","-20.403889",NA,NA,NA,"Rupestre no sol.","MBML024925","MBML024925",NA,NA,NA,NA,NA,NA,"41W1'9","20S24'14",NA,NA,NA
"15","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","25200",NA,"Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","P. Labiak/Agosto-2014","A. P. Fontana; et al","1560","2005","07","16",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775","-19.797222",NA,NA,NA,"Rupestre, heliófila, folhas verdes com pêlos (?) brancos soros marrons.","MBML025200","MBML025200",NA,NA,NA,NA,NA,NA,"40W46'30","19S47'50",NA,NA,NA
"16","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","27410",NA,"Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","N.T.L. Pena/27-10-2019","V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen","2958","2006","10","18",NA,"Brasil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.665556","-18.977778","170","170",NA,"Rupícola soros marrom. Vegetação rupestre.","MBML027410","MBML027410",NA,NA,NA,NA,NA,NA,"40W39'56","18S58'40",NA,NA,NA
"17","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","33646",NA,"Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","N.T.L. Pena/27-10-2019","P. Labiak; et al","4604","2008","02","13",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.101667","-20.526944",NA,NA,NA,"Rupícola, em local exposto ao sol, entre populações de Alcantarea. Material prensado em álcool.","MBML033646","MBML033646",NA,NA,NA,NA,NA,NA,"41W6'6","20S31'37",NA,NA,NA
"18","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","34148",NA,"Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","N.T.L. Pena/27-10-2019","C. Esgario; et al","83","2006","08","27",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.775","-19.797222",NA,NA,NA,"Herbácea 30cm, heliófila, rupestre, soros marrons e tricomas brancos.","MBML034148","MBML034148",NA,NA,NA,NA,NA,NA,"40W46'30","19S47'50",NA,NA,NA
"19","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","38080",NA,"Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","N.T.L. Pena/27-10-2019","D.R. Couto; Couto, T.R.","548","2008","06","22",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pedra dos Pontões","-41.3664016723633","-21.0641994476318","800","800",NA,"Rupícola no sol; folhas verdes acizentadas. Jardim dos Pontões.","MBML038080","MBML038080",NA,NA,NA,"29430","auto",NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","30835",NA,"Plantae",NA,NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","L. Kollmann/19-07-2007","L. Kollmann; P. Labiak & F. B. Matos","9983","2007","07","19",NA,"Brasil","Espírito Santo","Castelo","Forno Grande, Parque Estadual de Forno Grande","-41.100556","-20.519167","1660","1660",NA,"Erva. Rupícola no sol.","MBML030835","MBML030835",NA,NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA
"21","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","31575",NA,"Plantae",NA,NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","F.B. Matos & P.Labiak/VII-2007","P. Labiak; et al","4204","2007","07","18",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944",NA,NA,NA,NA,"MBML031575","MBML031575",NA,NA,NA,NA,NA,NA,"40W55'27","20S10'37",NA,NA,NA
"22","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","31587",NA,"Plantae",NA,NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","P.Labiak/VII-2007","P. Labiak; et al","4144","2007","07","16",NA,"Brasil","Espírito Santo","Afonso Cláudio","Serra Pelada, Pedra dos Três Pontões.","-41.079722","-20.076667",NA,NA,NA,NA,"MBML031587","MBML031587",NA,NA,NA,NA,NA,NA,"41W4'47","20S4'36",NA,NA,NA
"23","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","31579",NA,"Plantae",NA,NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","P.Labiak/VII-2007","P. Labiak; et al","4183","2007","07","18",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944",NA,NA,NA,NA,"MBML031579","MBML031579",NA,NA,NA,NA,NA,NA,"40W55'27","20S10'37",NA,NA,NA
"24","2020-07-10 09:48:57-03","MBML","MBML-HERBARIO","31586",NA,"Plantae",NA,NA,"Polypodiaceae","Polypodium","alborufulum","Polypodium alborufulum","Brade","P.Labiak/VII-2007","P. Labiak; et al","4175","2007","07","17",NA,"Brasil","Espírito Santo","Itaguaçu","Morro do Caparaó","-40.981111","-19.741389",NA,NA,NA,NA,"MBML031586","MBML031586",NA,NA,NA,NA,NA,NA,"40W58'52","19S44'29",NA,NA,NA
"25","2020-07-23 12:19:28-03","CEPLAC","CEPEC","129188","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula",NA,"P. H. Labiak","P. H. Labiak","4604",NA,NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"23588","auto",NA,NA,NA,NA,NA,NA
"26","2020-07-23 12:19:28-03","CEPLAC","CEPEC","129272","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula",NA,"P. H. Labiak","P. H. Labiak","4605",NA,NA,NA,NA,"Brasil","Espírito Santo","castelo",NA,"-41.184700012207","-20.6035995483398",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,"23588","auto",NA,NA,NA,NA,NA,NA
"27","2019-12-19 16:20:56-03","UFMG","BHCB-SL","126393","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","Salino, A","Salino, A; Megale, ME; Viveros, RS; Arruda, AJ","14117","2008","12","05","América","Brasil","Espírito Santo","Domingos Martins","Parque Estadual da Pedra Azul, Na trilha para as piscinas naturais. Floresta Ombrófila Densa e afloramento rochoso.","-41.040556","-20.402222","1470","1470",NA,"Rupicola entre bromelias, em  area aberta. Prensado em álcool.","BHCB002296","BHCB002296","2008","12","05",NA,NA,NA,"-41.040556","-20.402222",NA,NA,NA
"28","2019-11-07 11:18:55-03","UFMG","BHCB-SL","122810","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino","Salino, A","Salino, A; Heringer, G; Dittrich, VAO","13652","2008","06","26","América","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande, Floresta Ombrófila Densa Montana e afloramentos rochosos","-41.095","-20.516944","1500","1500",NA,"Rupícola em afloramento rochoso",NA,NA,"2010","08",NA,NA,NA,NA,"-41.095","-20.516944",NA,NA,NA
"29","2015-02-26 09:31:24-03","NHMLondon","NHM-LONDON-BOT","BM000970131","S","Plantae","Pteridophyta",NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino",NA,"Paulo Henrique Labiak; Labiak","4175",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Filicales","NHMUK:ecatalogue:570599",NA
"30","2015-02-26 09:31:24-03","NHMLondon","NHM-LONDON-BOT","BM000970132","S","Plantae","Pteridophyta",NA,"Polypodiaceae","Pleopeltis","alborufula","Pleopeltis alborufula","(Brade) Salino",NA,"Paulo Henrique Labiak; Labiak","4144",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Filicales","NHMUK:ecatalogue:570721",NA
