"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00954959","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","hilaireana","Turnera hilaireana","Urb.","M. M. Arbo","H. S. Irwin","8645","1965","09","25","South America","Brazil","Distrito Federal","Brasília","Ca. 20 km S. of Brasília, rd. to Goiânia, near Rio Melchior","-48.0355","-15.87895","1125","1125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1019286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00954959","NY00954959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00954958","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","hilaireana","Turnera hilaireana","Urb.","M. M. Arbo","H. S. Irwin","8518","1965","09","21","South America","Brazil","Distrito Federal","Brasília","Ca. 5 km S. of Brasília, on road to Belo Horizonte (Rio Gama)","-47.98","-15.97","1175","1175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1019213' target='other'> <mi>dwc_moreinfo</mi></a>","NY00954958","NY00954958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00954957","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","hilaireana","Turnera hilaireana","Urb.","M. M. Arbo","H. S. Irwin","8337","1965","09","15","South America","Brazil","Distrito Federal","Brasília","Ca. 10 km E. of Brasília, near Rio Torto.","-47.87","-15.72","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00954957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00954960","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Turnera","hilaireana","Turnera hilaireana","Urb.","M. M. Arbo","E. P. Heringer","10584","1965","09","30","South America","Brazil","Distrito Federal","Brasília","Parque do Guará","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1019292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00954960","NY00954960_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-12 15:31:51-03","UFABC","HUFABC","001957","PreservedSpecimen","Plantae","Angiospermas",NA,"Turneraceae","Turnera","hilaireana","Turnera hilaireana","Urb.",NA,"Keller V.C.","42","2017","08","15",NA,"Brasil","São Paulo","Franco da Rocha","Parque Estadual do Juquery, Estrada para o ovo da pata, saída à esquerda para campo nativo 500m após torre de energia","-46.696694","-23.351414",NA,NA,NA,"Erva, flores amarelas","HUFABC001957",NA,"-46.696694","-23.351414",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:57:29-03","NBC","NL-BOTANY","U.1748937","PreservedSpecimen","Plantae",NA,"Malpighiales","Turneraceae","Turnera","hilaireana","Turnera hilaireana","Urb.",NA,"Ramos J; Sousa R",NA,"1967","10","01","Southern America","Brazil",NA,NA,"Mato Grosso, near the base camp of the expedition, 270 km N of Xavantina.","-51.866667","-12.9",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1748937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1748937","NL-U1748937","-51.866667","-12.9","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:20:19-03","ESALQ","ESA","82137","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Turneraceae","Turnera","hilaireana","Turnera hilaireana",NA,"Arbo, M.M.","Mazine, F.F. Araújo, A.O.; Duarte, A.R.; Tsuji, R.","737.0","2002","11","13",NA,"Brasil","Minas Gerais","Ouro Preto","Estrada entre Ouro Preto e Ouro Branco - 2 km após o Córrego do Falcão",NA,"-20.46",NA,NA,NA,"Erva. Flores amarelas.","ESA082137","ESA082137","-43,588,889","-20.46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:46:49-03","UFJF","CESJ","91","PreservedSpecimen","Plantae","Angiosperma",NA,"Turneraceae","Turnera","hilaireana","Turnera hilaireana","Urb.",NA,"s.col.","s.n.","1942","01","23","América do Sul","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"CESJ000091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:42:25-03","UNICAMP","UEC","202727","S","Plantae","Magnoliopsida",NA,"Turneraceae","Turnera","hilaireana","Turnera hilaireana","Urb.","Silva, BG","Silva, BG; Duarte, LSC; Lima, GM; Pires, TP","493","2018","12","06",NA,"Brazil","São Paulo","Jundiaí","Unidade de Desenvolvimento Ambiental (UNIDAM), Local: Pleno sol. Solo: Arenoso, em meio à braquiária.","-47.498025","-23.268664",NA,NA,NA,"Hábito: Herbáceo. Altura: 15cm. Látex: Ausente. Cor: Flor amarela e botões florais roxos. Odor: Ausente. Outros: Pilosidade no caule e nas folhas.","UEC190845","UEC190845 UEC190845_v01 UEC190845_v02 UEC190845_v03","-47.498025","-23.268664",NA,"2019","04","26",NA,NA,NA,NA,NA
"10","2021-03-01 16:42:25-03","UNICAMP","UEC","150493","S","Plantae","Magnoliopsida",NA,"Turneraceae","Turnera","hilaireana","Turnera hilaireana","Urb.","Cabreira, TN","Leitão Filho, HF; Gouvêa, LSK; Martins, FR; Tamashiro, JY; et al.","1413","1981","12","01",NA,"Brazil","Minas Gerais","Poços de Caldas","Morro do Ferro","-46.564722","-21.838889",NA,NA,NA,"Erva de flores amarelas.","UEC049564",NA,"-46.564722","-21.838889",NA,"2014","07","16",NA,NA,NA,NA,NA
