"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","sex","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","872435","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Hydrocharitaceae","Najas","conferta","Najas conferta","(A.Braun) A.Braun","R. M. Lowden","V. C. França","s.n.","1950","06","South America","Brazil","Ceará","Fortaleza","In hatchery tanks of Apaiari","-38.5431","-3.7172","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00872435","NY00872435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:28:22-03","UFBA","ALCB","045850","PreservedSpecimen","Plantae","Monocotyledon",NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","Al. Braun.","França, F","Melo, E; França, F; Bezerra, M","2015","1997","02","Southern America","Brasil","Bahia","Anguera","Paraguaçu, Lagoa 6","-39.2","-12.166667",NA,"fixa no lodo, entre a população de Eichornia crassipes. Gema ou fruto? amarelado.; litoral, solo submerso.","ALCB005988","ALCB005988","1998","03","16","-39.2","-12.166667","200","200",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:09-03","MN","R","234260","PreservedSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A. Braun) A. Braun","Matias, L.Q.","Dias, A.S.","s.n.","2013","06",NA,"Brasil","Ceará","Lavras da Mangabeira","Açude Rosário","-38.9644012451172","-6.75333023071289",NA,"EAC 54027","R010052313","R010052313","2015","11","27",NA,NA,NA,NA,"05","29929","auto",NA,NA,NA,NA
"4","2020-11-19 10:23:57-03","CPAP","CPAP","10322","PreserverdSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A.Braun) A.Braun",NA,"Bueno, N. C.","558","1996","02",NA,"Brasil","MT","Poconé","Fazenda Ipiranga, Sub-região de Poconé, Pantanal - tanques das araras","-56.616667","-16.360278",NA,"Erva aquática submersa fixa. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Raro. AMBIENTE: Aquático. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,NA,NA,"27","56°37' W","16°21'37'' S","100","100",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-19 10:23:57-03","CPAP","CPAP","10324","PreserverdSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A.Braun) A.Braun",NA,"Bueno, N. C.","560","1996","02",NA,"Brasil","MT","Poconé","10km na estrada MT-351, para Pirizal, próximo a ponte sobre o córrego Landi, Sub-região de Poconé, Pantanal","-56.485556","-16.275556",NA,"Erva aquática submersa fixa. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Raro. AMBIENTE: Aquático. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,NA,NA,"28","56°29'08'' W","16°16'32'' S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-19 10:23:57-03","CPAP","CPAP","13345","PreserverdSpecimen","Plantae",NA,NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A.Braun) A.Braun",NA,"Pott, V. J.","2571","1995","04",NA,"Brasil","MS","Corumbá","Estrada do Abobral, MS-184; Pantanal","-57.056667","-19.395",NA,"Erva aquática submersa fixa. FLOR: sem flor (estéril). FRUTO: . INTERESSE: . FREQUÊNCIA: Ocasional. AMBIENTE: Campo alagável de rio, com Reussia subovata, N.amazonum e Egeria najas. SUBSTRATO: solo argiloso. RELEVO: plano.",NA,NA,NA,NA,"05","57°03'24'' W","19°23'42'' S","89","89",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-27 13:49:32-03","UFS","ASE","18306","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A.Braun) A.Braun","Aona, LYS","Prata, AP; Costa, SM; Nascimento - Júnior, JE","2054","2009","11","Southern America","Brasil","Bahia","Pilão Arcado","Lagoa do Jatobá, Dourados","-42.504167","-10.003333",NA,"Comum nas lagoas da região.; Comum nas lagoas da região.","ASE0008644","ASE0008644","2014","03","12","-42.504167","-10.003333",NA,NA,"28",NA,NA,NA,NA,NA,NA
"8","2020-12-14 16:14:22-03","UFC","EAC","47726","PreservedSpecimen","Plantae","Monocotyledon",NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A. Braun) A. Braun","Matias, L.Q.; Sousa, D.J.L.; Normando, L.R.O.","Normando, L.R.O.; Matias, L.Q.; Sousa, D.J.L.","289","2010","05","Southern America","Brasil","Ceará","Iguatu","E18-Mocó/Lajes","-39.188444","-6.497028",NA,"Macrófita aquática; Lêntico/Caatinga","EAC0047726","EAC0047726","2010","07","16","-39.188444","-6.497028",NA,NA,"10",NA,NA,NA,NA,NA,NA
"9","2020-12-14 16:14:22-03","UFC","EAC","47725","PreservedSpecimen","Plantae","Monocotyledon",NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A. Braun) A. Braun","Matias, L.Q.; Sousa, D.J.L.; Normando, L.R.O.","Normando, L.R.O.; Matias, L.Q.; Sousa, D.J.L.","505","2010","05","Southern America","Brasil","Ceará","Iguatu","F26-Assis","-40.66","-6.403806",NA,"Macrófita aquática; Lêntico/Caatinga","EAC0047725","EAC0047725","2010","07","17","-40.66","-6.403806",NA,NA,"10",NA,NA,NA,NA,NA,NA
"10","2020-12-14 16:14:22-03","UFC","EAC","45469","PreservedSpecimen","Plantae","Monocotyledon",NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A. Braun) A. Braun","Matias, L.Q.","Matias, L.Q.; Normando, L.R.O.; et al.","s.n.","2009","09","Southern America","Brasil","Ceará","Iguatu","Lagoa do Baú","-39.175556","-6.404722",NA,"Macrófita aquática, submersa; Lagoa temporária","EAC0045469","EAC0045469","2009","09","06","-39.175556","-6.404722",NA,NA,"30",NA,NA,NA,NA,NA,NA
"11","2020-12-14 16:14:22-03","UFC","EAC","47718","PreservedSpecimen","Plantae","Monocotyledon",NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A. Braun) A. Braun","Matias, L.Q.; Sousa, D.J.L.; Normando, L.R.O.","Normando, L.R.O.; Matias, L.Q.; Sousa, D.J.L.","499","2010","05","Southern America","Brasil","Ceará","Iguatu","D14-Solidão","-39.217833","-6.501139",NA,"Macrófita aquática; Lêntico/Caatinga","EAC0047718","EAC0047718","2010","07","15","-39.217833","-6.501139",NA,NA,"10",NA,NA,NA,NA,NA,NA
"12","2020-12-14 16:14:22-03","UFC","EAC","47719","PreservedSpecimen","Plantae","Monocotyledon",NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A. Braun) A. Braun","Matias, L.Q.; Sousa, D.J.L.; Normando, L.R.O.","Normando, L.R.O.; Matias, L.Q.; Sousa, D.J.L.","491","2010","05","Southern America","Brasil","Ceará","Iguatu","D08-Lagoa do Muncuzá","-39.29925","-6.501528",NA,"Macrófita aquática; Lêntico/Caatinga","EAC0047719","EAC0047719","2010","07","15","-39.29925","-6.501528",NA,NA,"10",NA,NA,NA,NA,NA,NA
"13","2020-12-14 16:14:22-03","UFC","EAC","47720","PreservedSpecimen","Plantae","Monocotyledon",NA,"Hydrocharitaceae","Najas","conferta","Najas conferta","(A. Braun) A. Braun","Matias, L.Q.; Sousa, D.J.L.; Normando, L.R.O.","Normando, L.R.O.; Matias, L.Q.; Sousa, D.J.L.","178","2010","05","Southern America","Brasil","Ceará","Iguatu","D10-Lagoa Paredão","-39.281444","-6.502639",NA,"Macrófita aquática; Lêntico/Caatinga","EAC0047720","EAC0047720","2010","07","15","-39.281444","-6.502639",NA,NA,"10",NA,NA,NA,NA,NA,NA
