"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","stateProvince","yearIdentified","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","individualCount","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","1551908","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.","R. Romero","P. Clausen","386A","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1415792' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551908","NY01551908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1551907","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.","R. Romero","P. Clausen","127","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1415790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551907","NY01551907_01","1840","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1551906","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.","R. Romero","P. Clausen","127","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1415788' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551906","NY01551906_01","1840","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:31:25-03","UFRJ","RFA","12757","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.","J.J. Wurdack","P. Occhioni","5050",NA,"Brasil",NA,"Arbusto 3 - 4 m de altura; flor lilás","RFA45546",NA,"1972","Minas Gerais","1975","06","27","Minas Gerais","Estrada da Represa. Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:34:55-03","MBM","MBM","129231","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","Naudin","Wurdack, J.J.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","53054","Southern America","Brazil",NA,NA,"MBM129231","MBM129231",NA,"Minas Gerais",NA,NA,NA,"Diamantina","Conselheiro Mata","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:34:55-03","MBM","MBM","54972","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","Naudin","Wurdack, J.J.","Hatschbach, G.; et al.; et al.","51075","Southern America","Brazil",NA,NA,"MBM054972","MBM054972",NA,"Minas Gerais",NA,NA,NA,"Diamantina","20km S de Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA,NA,NA
"7","2013-01-12 05:18:00-02","MO","MOBOT","100335061","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","Cogn.","Cogniaux, Syntype","Peter Clausen","Clausen 1003","South America","Brazil",NA,NA,NA,NA,"1840","Minas Gerais",NA,"4",NA,NA,"Brasilia. Minas geraes.",NA,NA,NA,NA,"Syntype","1",NA,NA,NA,NA,NA
"8","2019-09-04 19:30:21-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla",NA,NA,"A. Saint-Hilaire",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA,NA,NA,NA
"9","2020-06-01 13:10:59-03","UFU","HUFU","78837","S","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.",NA,"Romero, R.; Lopes A.G.; Barbosa, B.D. & Queiroz, L.N.L.","9164",NA,"Brasil",NA,"Subarbusto, ca. 0,5 m. Hipanto e sépalas verdes; corola magenta; estames maiores com anteras vináceas; estames menores com anteras amarelas.; Campo rupestre.","HUFU00076531",NA,"2019","Minas Gerais",NA,"04","25","Diamantina","Rodovia MG - 220, Estrada Diamantina - Conselheiro Mata, Km 181, afloramentos rochosos próximo à estrada","-43.686667","-18.276667",NA,NA,NA,NA,NA,"-43.686667","-18.276667","1350","1350"
"10","2017-09-11 17:10:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.",NA,"Claussen, P","386A","Southern America","Brazil",NA,NA,NA,"P14P3N0011",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:10:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.",NA,"Claussen, P","3","Southern America","Brazil",NA,NA,NA,"P14P3N0011",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:10:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.",NA,"Claussen, P","1003","Southern America","Brazil",NA,NA,NA,"P14P3N0011",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:10:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.",NA,"Claussen, P","371A","Southern America","Brazil",NA,NA,NA,"P14P3N0011",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 17:10:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Melastomataceae","Microlicia","microphylla","Microlicia microphylla","(Naudin) Cogn.",NA,"Claussen, P","387A","Southern America","Brazil",NA,NA,NA,"P14P3N0011",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
