"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2020-09-23 10:40:56-03","E","E","312794","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Queiroz, R.F.","52064","1992","02","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314822","<a href=http://data.rbge.org.uk/herb/E00312794 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400588","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","R. Reitz","17493a","1965","12","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400588","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Paraná","Ponta Grossa","Rodovia do Café, Rio Tibagi","-49.891776","-25.299294","900","900","NY00400588_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929770","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","H. S. Irwin","27875","1970","03","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929770","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Minas Gerais","Diamantina","Serra do Espinhaço, Ca. 18 km E. of Diamantina","-43.5367","-18.1838","900","900","NY00929770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400586","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","A. C. Cervi","6043","1995","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400586","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","O. A. Guimarães","Paraná","Jaguariaíva","Recanto da Prainha","-49.68","-24.23",NA,NA,"NY00400586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400678","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","H. S. Irwin","22514","1969","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400678","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Minas Gerais",NA,"Ca. 20 km SW of Diamantina",NA,NA,"1300","1300","NY00400678_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929768","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","H. S. Irwin","20602","1968","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929768","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Minas Gerais",NA,"Serra do Cipó, km. 118 (ca. 153 km N. of Belo Horizonte).","-43.548872","-19.278562","1300","1300","NY00929768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","400592","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","J. E. Leite","644","1941","12",NA,"South America","Brazil","sheet",NA,"collector appears as Eugenio Leite <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400592","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Rio Grande do Sul","Sao Leopoldo","Vicinity of Sao Leopoldo","-51.143791","-29.75136",NA,NA,"NY00400592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400589","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","E. Richter","s.n.","1962","01","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400589","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","E. Fromm Trinta","Rio Grande do Sul","Canela","Canela","-50.8156","-29.3658",NA,NA,"NY00400589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-02-14 16:13:00-02","NY","NYBG","400679","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","E. Hassler","9526","1905","10",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79505' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400679","Magnoliophyta","Lamiales",NA,"P. G. Taylor",NA,NA,"In regione fluminis Yhú",NA,NA,NA,NA,"NY00400679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400587","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","praelonga","Utricularia praelonga","P. K. H. Dusén","10458","1910","12","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400587","Magnoliophyta","Lamiales","A.St.-Hil. & Girard","P. G. Taylor","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511",NA,NA,"NY00400587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
