"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","county","locality","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","375844","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","B. D. Sucre","7681","1971","09","19","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375844","NY00375844_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375263","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","S. A. Mori","10307","1978","07","25","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375263","NY00375263_01","Santa Cruz Cabrália","Estaçao Ecológica do Pau-Brasil e arredores, cerca de 16 km a W de Porto Seguro. Regiao de Mata Higrófila Sul Baiana. Fohla SE-24 (16-39c)","-39.1815805","-16.3721094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","375256","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","A. F. M. Glaziou","14056","1907",NA,NA,"South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375256","NY00375256_01",NA,NA,NA,NA,"T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","375261","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","H. C. de Lima","2188","1984","10","14","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375261","NY00375261_01","Magé","Paraiso, area do Centro de Primatologia do RJ.","-43.0406","-22.6531",NA,"190","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375257","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","R. de Lemos Fróes","20046","1942","12","04","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375257","NY00375257_01",NA,"Entre S. José dos Macucos e Itabuna, cabeceira do rio Una. Matas primitivas; terrenos grandemente acidentados; zona rigorosamente chuvosa",NA,NA,"T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375259","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","A. M. V. de Carvalho","4635","1994","09","17","South America","Brazil","Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375259","NY00375259_01","Ilhéus","Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao. Parcel no. 1","-39.06916667","-14.7819444","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2862046","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","W. W. Thomas","7169",NA,NA,NA,"South America","Brazil","Bahia","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617890' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862046","NY02862046_01","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","A. Alves-Araújo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1280609","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","H. C. de Lima","4338","1991","11","21","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1614563' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280609","NY01280609_01","Guapimirim","Estação Ecológica Estadual de Paraíso. Serra Queimada. Descida do Bananal do meio, prox. cabana dos cacdores. Área F03.","-42.883","-22.483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","375260","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","M. A. Nadruz Coelho","562","1989","12","28","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375260","NY00375260_01","Nova Friburgo","Resreva Ecológica Municipal de Macae de Cima, Picada para Pedra Bicuda","-42.05","-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","375264","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Micropholis","crassipedicellata","Micropholis crassipedicellata","(Mart. & Eichler) Pierre","S. A. Mori","10693","1978","09","19","South America","Brazil","Bahia","sheet","Frutos separados <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375264","NY00375264_01","Itamarajú","Fazenda Pau-brasil, ca. 5 Km a NW de Itamaraju. Folha SE-24 (17-40d)","-39.5676631","-16.9808834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
